Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2393.05	1080.62	1134.59	2402.17	1058.38	931.821	2231.6	1115.98	1074.72	2231.53	1109.3	990.371	2335.65	1167.29	1174.97	2350.79	1133.96	883.324	2441.77	798.111	1207.51	2511.83	714.157	1188.38	2391.1	762.802	1177.93	2455.95	675.898	1160.62	2375.1	373.859	1134.16	2345.65	297.241	1110.8	2348.97	393.13	1092.02	2321.82	319.825	1071.07	2266.06	253.759	1043.28	2234.42	216.464	1039.34	2270.95	216.806	1090.02	2168.17	773.785	885.07	2124.72	675.226	906.65	2120.2	804.948	926.095	2075.75	706.652	951.339	1933.1	362.879	910.025	1904.64	288.75	921.365	1897.88	382.425	945.64	1868.98	307.711	958.113	1817.7	259.372	976.404	1772.67	237.09	983.606	1800.53	210.459	939.537	2428.33	124.147	1019.78	2394.81	126.329	1130.1	1932.95	84.1593	1039.64	1890.52	81.6765	936.089
0.007	2394.21	1083.59	1135.09	2405.23	1062.3	932.872	2233.91	1120.63	1074.02	2234.49	1114.43	989.677	2336.83	1172.34	1174.91	2355.35	1138.52	884.071	2440.16	799.736	1204.92	2509.44	715.023	1186.34	2388.96	764.457	1176.61	2453.02	676.572	1159.91	2389.86	362.774	1132.99	2365.49	284.568	1109.82	2362.4	379.917	1090.94	2340.56	305.526	1070.24	2289.31	235.766	1041.83	2260.32	196.139	1037.98	2296.68	198.972	1088.77	2166.28	781.346	884.953	2120.58	683.686	906.088	2119.27	813.299	926.303	2072.44	715.973	950.847	1924.52	374.029	908.434	1895.89	299.649	919.821	1889.16	394.174	943.534	1859.16	319.685	955.733	1808.57	273.725	974.942	1762.79	253.339	983.024	1788.59	225.822	938.359	2460.15	117.547	1018.65	2426.5	117.398	1129.15	1917.75	92.9338	1035.21	1875.8	90.6108	934.699
0.013	2395.36	1086.27	1135.72	2407.84	1065.96	933.537	2235.83	1124.75	1073.44	2237.14	1118.98	988.896	2338.11	1176.39	1175.2	2359.35	1142.6	884.631	2437.99	800.086	1202.63	2506.18	714.42	1184.17	2386.19	765.12	1175.06	2449.08	676.329	1158.78	2403.94	352.491	1132.37	2384.86	273.135	1109.1	2375.8	367.882	1090.06	2359.11	292.275	1069.09	2312.7	218.441	1040.79	2286.72	176.673	1036.81	2322.61	182.022	1087.78	2165.78	787.396	884.489	2118.23	690.388	905.512	2119.44	820.163	925.647	2070.46	723.539	949.838	1916.03	384.41	906.754	1885.6	311.103	917.857	1881.1	405.227	941.611	1849.74	331.385	954.046	1799.24	288.287	975.299	1752.71	269.985	984.053	1776.28	241.761	938.483	2491.74	112.455	1018.12	2457.76	109.775	1128.49	1901.25	101.804	1031.56	1855.91	103.93	931.2
0.02	2396.49	1088.66	1136.27	2410.03	1069.25	933.945	2237.46	1128.23	1073.05	2239.41	1122.97	988.236	2339.89	1178.89	1176.01	2362.58	1146.08	885.113	2435.07	799.168	1200.96	2502.03	712.511	1182.48	2382.7	764.958	1173.61	2444.18	675.16	1157.53	2417.46	342.734	1132.11	2404.53	262.122	1108.34	2388.94	356.575	1089.7	2377.48	279.166	1067.98	2336.15	202.09	1040.03	2313.32	158.287	1036.77	2347.59	166.32	1087.31	2166.77	791.973	883.629	2117.52	695.628	904.651	2120.4	825.417	924.455	2069.9	729.709	948.457	1907.86	394.247	905.188	1874.69	322.203	916.332	1873.64	416.136	940.327	1840.37	343.14	953.066	1788.84	302.818	976.298	1741.72	286.341	985.562	1763.47	257.813	939.225	2522.73	109.107	1018.07	2488.3	103.461	1128.31	1883.67	111.608	1028.38	1837.55	117.399	928.389
0.027	2397.51	1090.68	1136.82	2411.91	1072.16	934.3	2238.9	1130.98	1072.86	2241.44	1126.42	987.838	2341.25	1180.96	1177.35	2365.13	1149.2	885.456	2431.29	797.229	1199.9	2496.88	709.53	1181.54	2378.41	763.908	1172.13	2438.73	673.235	1155.75	2429.87	334.124	1132.19	2422.79	252.375	1107.95	2401.75	345.601	1088.54	2395.2	268.049	1067.29	2360.11	186.071	1039.96	2340.1	141.11	1035.56	2373.37	151.315	1086.61	2168.7	795.037	882.456	2118.44	699.626	903.693	2122.19	829.249	922.401	2070.7	734.073	946.685	1899.7	404.127	904.013	1863.94	333.328	915.7	1866.75	427.311	939.551	1830.52	355.756	952.675	1777.82	317.2	977.329	1730.27	302.207	987.378	1750.34	273.556	940.254	2552.64	107.456	1018.52	2517.92	98.8002	1128.55	1866.75	122.074	1025.48	1819.71	130.896	926.577
0.033	2398.29	1092.16	1137.36	2413.43	1074.71	934.734	2239.85	1133.1	1072.76	2243.1	1129.49	987.631	2342.41	1182.09	1178.72	2366.93	1152.03	885.925	2426.67	794.608	1199.56	2490.81	705.759	1181.2	2373.67	762.663	1170.53	2432.42	671.046	1153.92	2441.85	325.788	1132.07	2440.37	243.721	1108.16	2413.65	336.243	1087.94	2412.33	257.809	1066.7	2383.28	171.632	1040.26	2366.63	125.549	1034.38	2398.68	137.799	1086.89	2171.66	797.079	881.381	2120.71	702.062	902.519	2124.26	831.777	919.987	2072.51	737.081	944.737	1891.65	413.79	903.808	1853.14	344.72	915.396	1859.53	438.545	938.985	1820.68	368.412	952.172	1766.62	331.403	978.201	1718.76	317.806	988.647	1737.01	289.158	940.916	2581.22	107.331	1019.42	2546.23	95.2224	1128.99	1850.03	133.035	1023.04	1801.99	144.387	924.767
0.04	2398.8	1093.14	1137.93	2414.97	1076.94	935.109	2240.73	1134.57	1072.6	2244.56	1131.97	987.461	2343.26	1182.43	1179.74	2368.24	1154.59	886.41	2421.07	791.304	1200.42	2484.14	701.466	1181.12	2368.46	760.916	1169.31	2425.63	668.557	1151.91	2452.75	318.244	1131.71	2456.7	236.302	1108.37	2424.19	326.46	1087.32	2428.24	248.408	1066.53	2405.88	158.836	1040.19	2392.5	111.731	1034.06	2423.35	125.604	1086.45	2175.43	798.029	880.353	2123.94	703.125	901.193	2126.94	833.189	917.213	2075.32	738.544	942.886	1884.12	423.599	903.638	1842.91	355.999	915.079	1852.6	449.508	938.604	1811.16	380.92	951.829	1755.63	345.721	978.62	1707.46	333.598	989.633	1724.33	304.707	941.371	2608.11	109.009	1020.63	2573.24	93.7149	1129.9	1833.24	144.429	1021.1	1784.59	158.306	923.066
0.047	2399.13	1093.58	1138.31	2416.38	1078.71	935.392	2241.33	1135.43	1072.53	2245.61	1133.94	987.251	2343.69	1181.78	1179.85	2369	1156.69	886.802	2415.63	787.771	1200.72	2476.93	696.872	1181.31	2363.01	758.994	1167.84	2418.68	665.944	1149.67	2462.62	311.191	1131.32	2471.67	229.706	1108.73	2433.8	317.588	1086.69	2442.98	239.899	1066.52	2426.82	147.722	1040.32	2417.26	99.9717	1034.46	2446.63	115.444	1086.66	2179.66	798.045	879.34	2128.07	703.061	899.981	2130	833.337	914.434	2079.14	738.547	941.27	1877.26	433.235	903.399	1833	367.345	914.608	1846.58	460.367	938.311	1802.59	393.345	951.682	1745.25	360.318	978.458	1696.83	349.652	989.712	1712.37	320.538	941.183	2632.8	112.595	1022.16	2598.29	93.821	1130.94	1817.26	156.347	1019.43	1767.99	172.615	921.887
0.053	2399.29	1093.63	1138.58	2417.8	1080.26	935.435	2241.76	1135.61	1072.33	2246.45	1135.11	987.007	2343.4	1180.58	1180.08	2369.43	1158.51	887.068	2410	783.733	1201.08	2468.89	691.987	1182.11	2356.88	757.32	1166.67	2412.18	663.175	1146.59	2471.01	305.013	1131.09	2485.1	223.966	1109.1	2442.33	309.514	1086.09	2456.05	232.374	1066.72	2446.24	138.205	1040.79	2440.14	89.893	1034.1	2468.01	107.037	1087.09	2184.14	796.97	878.106	2133.51	701.664	898.868	2133.41	832.166	911.925	2083.23	736.535	939.715	1872.05	443.104	902.871	1824.63	378.518	914.397	1841.71	470.867	937.802	1795.11	405.885	951.222	1735.95	375.188	977.811	1687.08	366.363	988.986	1701.63	336.712	940.451	2655.07	118.375	1023.91	2620.58	95.8932	1132.38	1801	169.298	1018.69	1751.8	186.685	921.387
0.06	2399.42	1093.34	1138.6	2418.89	1081.35	935.333	2242.11	1135.18	1071.93	2247.09	1135.56	986.757	2342.65	1178.92	1180.18	2369.37	1160.06	887.356	2404.64	779.411	1201.4	2461.98	686.994	1181.4	2352.2	754.768	1164.71	2405.43	660.041	1144.07	2478.01	299.822	1130.78	2496.52	219.437	1109.49	2449.22	302.57	1085.75	2467.13	225.879	1067.01	2463.2	130.114	1041.2	2460.89	81.3702	1033.3	2486.98	100.091	1087.48	2189.01	794.752	876.945	2138.88	698.945	897.746	2137.12	829.48	909.834	2088.44	733.534	938.475	1867.92	452.35	902.419	1817.12	389.77	913.829	1838.69	481.285	937.292	1789.08	418.303	950.828	1728.03	390.393	976.556	1678.75	383.522	987.369	1692.34	353.336	938.969	2673.13	125.349	1025.77	2639.63	99.588	1134.07	1785.25	182.755	1018.33	1737.17	201.474	920.585
