Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2285.92	999.15	1107.78	2300.5	974.361	891.23	2132.53	1041.67	1041.68	2137.3	1032.01	942.282	2229.86	1070.16	1134.53	2272.89	1045.03	859.685	2305.53	730.582	1159.93	2358.57	636.386	1137.67	2247.79	703.074	1135.05	2299.57	609.572	1107.49	2305.64	316.473	1107.8	2299.15	236.782	1091.98	2270.84	327.343	1068.03	2260.85	249.402	1053.33	2224.15	161.94	1031.23	2207.82	119.33	1030.6	2233.78	131.002	1072.79	2127.18	747.558	832.367	2090.1	645.855	849.551	2076.36	773.013	874.589	2037.12	672.531	892.802	1891.39	354.834	876.895	1858.67	282.166	892.477	1865.95	376.839	917.911	1829.8	301.145	930.213	1772.83	251.261	951.706	1730.37	229.856	958.739	1758.4	213.107	913.472	2407.9	106.849	1006.11	2372.84	97.8723	1107.45	1867.64	78.7386	991.275	1831.22	88.2918	891.631
0.007	2286.35	1000.24	1108.74	2301.76	976.191	892.65	2133.47	1044.08	1042.17	2138.81	1034.4	942.662	2230.37	1071.75	1135.64	2275.07	1046.53	861.126	2304.04	730.122	1160.96	2355.07	634.769	1138.81	2245.68	703.836	1135.98	2295.43	609.281	1108.69	2314.49	308.667	1108.92	2312.21	228.908	1092.36	2279.33	318.14	1068.96	2273.29	239.984	1053.8	2241.55	149.496	1031.59	2227.71	105.859	1031.73	2253.62	118.94	1073.21	2128.83	749.5	832.6	2091.48	647.83	849.766	2077.91	775.009	874.612	2038.55	674.572	892.978	1886.39	361.786	878.236	1851.64	289.931	893.559	1861.81	384.152	919.569	1823.94	309.269	931.98	1767.62	263.321	954.929	1724.17	244.379	962.966	1749.8	226.125	916.99	2427.9	106.19	1003.78	2395.1	94.2157	1105.69	1853.19	85.5738	991.793	1814.67	97.3682	892.583
0.013	2286.77	1000.83	1109.77	2303.2	977.845	894.032	2134.44	1045.77	1043.01	2140.08	1036.36	943.088	2230.67	1072.2	1136.72	2276.62	1047.97	862.52	2302.04	728.831	1162.22	2351.08	632.438	1139.88	2243.31	704.091	1136.7	2291	608.426	1109.41	2322.53	301.435	1109.84	2324.39	221.732	1092.63	2286.81	309.45	1070.21	2285.86	230.671	1053.78	2258.26	138.163	1032.5	2247.13	93.9775	1031.63	2272.82	108.034	1073.41	2131.07	750.536	832.767	2093.74	648.87	849.914	2079.88	776.051	874.414	2040.66	675.747	892.942	1881.31	368.599	879.749	1844.66	297.69	894.94	1858.04	391.348	921.596	1818.41	317.465	934.202	1762.25	275.033	958.367	1717.87	258.751	967.632	1741.01	239.534	920.41	2446.71	106.478	1001.61	2416.02	91.3249	1103.59	1838.85	92.7392	992.044	1797.95	107.117	894.449
0.02	2287.07	1000.94	1110.76	2304.44	979.231	895.175	2135.39	1046.8	1044.13	2141.16	1037.74	943.96	2230.81	1072.03	1138.19	2277.97	1049.31	863.95	2299.65	726.957	1163.6	2346.52	629.458	1141.2	2240.61	703.787	1137.42	2286.16	607.091	1110.05	2329.93	294.51	1110.51	2335.72	215.499	1092.83	2293.59	301.171	1071.2	2296.54	222.688	1054.09	2274.03	128.077	1032.77	2265.46	83.2671	1031.63	2291.47	97.9841	1073.11	2133.93	750.771	832.883	2097.1	649.225	850.379	2082.29	776.296	874.189	2043.67	676.013	893.109	1876.65	375.41	881.289	1837.7	305.925	896.73	1854.99	398.806	923.824	1812.92	326.189	936.677	1756.86	286.655	961.696	1712.08	272.631	972.16	1732.77	252.532	924.456	2463.63	107.905	998.756	2435.34	89.4705	1101.47	1824.46	100.453	992.506	1781.95	117.802	896.092
0.027	2287.33	1000.51	1111.51	2305.65	980.268	896.278	2136.31	1047.15	1045.51	2142.13	1038.6	945.269	2230.91	1071.25	1139.72	2278.77	1050.55	865.246	2296.87	724.578	1164.99	2341.56	626.153	1142.52	2237.58	703.05	1138.11	2280.85	605.471	1110.81	2336.65	288.256	1111.34	2346.32	209.639	1093.04	2299.34	293.307	1072.56	2306.16	215.127	1054.69	2288.41	118.988	1033	2282.35	73.8483	1031.32	2307.43	89.9115	1072.94	2137.08	750.367	833.219	2100.61	648.777	850.629	2085.05	775.798	873.975	2046.51	675.393	892.765	1872.52	382.452	882.85	1830.55	314.307	898.438	1852.54	406.298	926.14	1807.91	335.551	939.396	1751.55	298.222	965.031	1706.41	286.19	976.611	1724.9	265.38	928.283	2478.52	110.034	996.47	2452.42	88.2864	1098.95	1811.58	108.954	993.17	1767.61	128.764	897.783
0.033	2288.04	1000.07	1112.5	2306.84	980.956	897.175	2137.19	1046.75	1047	2142.92	1038.89	946.361	2230.99	1069.95	1141.15	2279.18	1051.67	866.544	2293.76	721.907	1166.34	2336.45	622.44	1143.77	2234.24	701.863	1138.73	2275.53	603.292	1111.5	2342.72	282.563	1112.2	2355.67	204.537	1092.94	2304.34	285.834	1074.27	2314.44	208.247	1055.77	2301.08	110.837	1032.99	2297.55	65.4407	1030.75	2322.2	82.3162	1072.38	2140.48	749.308	833.616	2104.44	647.5	851.005	2087.98	774.671	873.843	2050.05	673.796	892.825	1869.05	389.446	884.571	1824.65	323.127	900.453	1850.72	413.828	928.48	1803.49	344.957	942.021	1746.48	309.684	968.26	1701.12	299.355	980.779	1717.68	278.124	931.912	2491.04	112.897	994.434	2467.3	88.3149	1096.99	1799.52	118.055	994.019	1754.28	140.108	899.806
0.04	2288.04	998.782	1113.28	2308.11	981.129	898.003	2137.92	1045.68	1048.53	2143.61	1038.53	947.742	2231.14	1068.26	1142.52	2279.1	1052.58	867.645	2290.46	718.857	1167.65	2331.34	618.769	1144.91	2230.85	700.215	1139.2	2270.45	601.06	1111.8	2348.23	277.199	1113.05	2363.54	200.063	1092.9	2308.31	279.265	1076.27	2321.18	202.078	1056.98	2311.76	103.664	1032.9	2310.53	58.1897	1029.94	2334.71	75.6558	1071.72	2143.96	747.719	834.024	2108.44	645.552	851.218	2091.08	772.711	873.909	2053.93	671.498	893.021	1866.34	396.456	886.11	1819.68	331.691	902.577	1849.78	421.219	930.559	1800.07	353.917	944.29	1741.86	321.064	971.146	1696.35	312.474	984.475	1711.26	290.857	935.259	2500.96	116.055	992.709	2479.46	88.7253	1095.39	1788.36	127.574	995.089	1742.44	151.974	901.663
0.047	2287.89	997.04	1114.09	2309.37	980.81	898.811	2138.39	1043.92	1049.99	2144.19	1037.48	949.184	2231.34	1066.12	1143.4	2278.79	1053.07	868.711	2287.02	715.554	1168.81	2326.68	614.976	1145.82	2227.51	698.172	1139.43	2265.64	598.751	1112.01	2352.18	273.016	1113.98	2369.47	196.427	1093.06	2311.23	273.566	1077.71	2326.33	197.008	1058.34	2320.23	97.4072	1032.72	2320.95	51.9183	1029.16	2345.31	69.3585	1070.76	2147.56	745.543	834.501	2113.06	642.95	851.491	2094.17	769.982	874.322	2058.13	668.417	893.177	1864.56	402.867	888.008	1815.52	340.377	904.565	1849.75	428.322	932.474	1797.5	362.922	946.549	1738.27	332.784	973.672	1692.3	325.318	987.876	1705.77	303.539	938.271	2508.44	118.731	991.316	2488.84	88.8602	1094.09	1778.16	137.373	996.132	1731.42	163.654	903.781
0.053	2287.43	994.953	1115.01	2310.47	979.962	899.715	2138.59	1041.41	1051.29	2144.66	1035.84	950.391	2231.46	1063.71	1144.18	2278.06	1052.92	869.573	2283.6	712.251	1169.85	2322.37	611.334	1146.62	2224.4	695.787	1139.25	2262.08	596.014	1111.13	2354.05	269.194	1114.73	2373.1	193.221	1093.44	2312.91	268.825	1078.86	2329.71	192.739	1059.23	2326.27	91.9846	1032.83	2328.38	46.6648	1028.56	2352.54	64.4353	1070.22	2150.99	742.776	835.133	2117.71	639.815	851.626	2097.38	766.435	874.94	2062.55	664.357	893.341	1863.95	409.177	889.644	1812.62	348.672	906.42	1850.67	435.071	934.353	1795.87	372.061	948.702	1734.92	343.706	976.596	1689.26	338.128	991.127	1701.24	316.105	941.142	2513.31	120.436	990.169	2495.37	88.3598	1093.24	1769.03	147.424	997.058	1721.76	175.694	905.641
0.06	2286.79	992.64	1116.2	2311.49	978.567	900.733	2138.56	1038.22	1052.29	2145.12	1033.5	951.418	2231.4	1061	1144.94	2277.28	1051.94	870.301	2280.25	708.749	1170.66	2318.5	607.676	1147.19	2221.37	693.131	1138.93	2258.68	593.349	1110.4	2354.17	265.482	1115.21	2374.45	189.847	1093.87	2313.25	264.672	1078.91	2331.16	188.937	1059.75	2329.71	87.1453	1033.36	2332.92	41.8741	1028.72	2356.95	59.8216	1070.18	2154.46	739.32	835.948	2122.67	635.907	851.796	2100.57	762.207	875.802	2067.18	659.549	893.493	1864.44	415.21	891.258	1810.69	356.876	908.216	1853.44	441.448	935.799	1795.21	380.842	950.622	1732.95	354.925	978.937	1687.35	350.695	994.195	1697.94	328.627	944.027	2515.63	119.963	990.091	2499.72	87.0324	1091.57	1761.66	157.557	997.541	1713.36	187.812	907.386
