Nose,Neck,Right_Shoulder,Right_Elbow,Right_Wrist,Left_Shoulder,Left_Elbow,Left_Wrist,Right_Hip,Right_Knee,Right_Ankle,Left_Hip,Left_Knee,Left_Ankle,Right_Eye,Left_Eye,Right_Ear,Left_Ear
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=565.4505615234375, y=188.4375)","Coordinate(x=514.8131713867188, y=199.6875)","Coordinate(x=464.17584228515625, y=199.6875)","Coordinate(x=632.967041015625, y=188.4375)","Coordinate(x=661.0989379882812, y=188.4375)","Coordinate(x=717.3626708984375, y=188.4375)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=424.6875)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=616.0879516601562, y=357.1875)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=143.4375)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=154.6875)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=565.4505615234375, y=188.4375)","Coordinate(x=514.8131713867188, y=194.0625)","Coordinate(x=458.5494689941406, y=194.0625)","Coordinate(x=627.3406982421875, y=188.4375)","Coordinate(x=661.0989379882812, y=182.8125)","Coordinate(x=717.3626708984375, y=182.8125)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=419.0625)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=616.0879516601562, y=351.5625)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=143.4375)","Coordinate(x=604.835205078125, y=143.4375)","Coordinate(x=576.7033081054688, y=154.6875)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=514.8131713867188, y=188.4375)","Coordinate(x=464.17584228515625, y=188.4375)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=666.7252807617188, y=177.1875)","Coordinate(x=722.989013671875, y=182.8125)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=351.5625)","Coordinate(x=576.7033081054688, y=419.0625)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=616.0879516601562, y=351.5625)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=593.5824584960938, y=143.4375)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=149.0625)","Coordinate(x=610.4615478515625, y=143.4375)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=514.8131713867188, y=188.4375)","Coordinate(x=458.5494689941406, y=188.4375)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=666.7252807617188, y=177.1875)","Coordinate(x=722.989013671875, y=182.8125)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=351.5625)","Coordinate(x=576.7033081054688, y=419.0625)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=616.0879516601562, y=351.5625)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=143.4375)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=149.0625)","Coordinate(x=610.4615478515625, y=143.4375)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=514.8131713867188, y=188.4375)","Coordinate(x=458.5494689941406, y=182.8125)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=666.7252807617188, y=177.1875)","Coordinate(x=722.989013671875, y=182.8125)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=419.0625)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=610.4615478515625, y=357.1875)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=143.4375)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=149.0625)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=509.18682861328125, y=188.4375)","Coordinate(x=458.5494689941406, y=182.8125)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=666.7252807617188, y=177.1875)","Coordinate(x=722.989013671875, y=182.8125)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=424.6875)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=610.4615478515625, y=357.1875)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=149.0625)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=154.6875)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=509.18682861328125, y=188.4375)","Coordinate(x=458.5494689941406, y=182.8125)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=666.7252807617188, y=177.1875)","Coordinate(x=722.989013671875, y=182.8125)","Coordinate(x=576.7033081054688, y=284.0625)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=424.6875)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=610.4615478515625, y=357.1875)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=149.0625)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=154.6875)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=149.0625)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=509.18682861328125, y=188.4375)","Coordinate(x=458.5494689941406, y=182.8125)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=666.7252807617188, y=177.1875)","Coordinate(x=722.989013671875, y=182.8125)","Coordinate(x=576.7033081054688, y=289.6875)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=424.6875)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=616.0879516601562, y=357.1875)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=149.0625)","Coordinate(x=599.2088012695312, y=143.4375)","Coordinate(x=576.7033081054688, y=149.0625)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=154.6875)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=503.5604553222656, y=188.4375)","Coordinate(x=458.5494689941406, y=182.8125)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=661.0989379882812, y=177.1875)","Coordinate(x=717.3626708984375, y=182.8125)","Coordinate(x=571.0769653320312, y=289.6875)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=424.6875)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=610.4615478515625, y=357.1875)","Coordinate(x=616.0879516601562, y=424.6875)","Coordinate(x=587.9560546875, y=149.0625)","Coordinate(x=599.2088012695312, y=149.0625)","Coordinate(x=576.7033081054688, y=154.6875)","Coordinate(x=610.4615478515625, y=149.0625)"
"Coordinate(x=593.5824584960938, y=154.6875)","Coordinate(x=593.5824584960938, y=182.8125)","Coordinate(x=559.82421875, y=188.4375)","Coordinate(x=509.18682861328125, y=188.4375)","Coordinate(x=458.5494689941406, y=182.8125)","Coordinate(x=627.3406982421875, y=182.8125)","Coordinate(x=661.0989379882812, y=177.1875)","Coordinate(x=717.3626708984375, y=182.8125)","Coordinate(x=576.7033081054688, y=289.6875)","Coordinate(x=576.7033081054688, y=357.1875)","Coordinate(x=576.7033081054688, y=424.6875)","Coordinate(x=616.0879516601562, y=284.0625)","Coordinate(x=610.4615478515625, y=357.1875)","Coordinate(x=616.0879516601562, y=419.0625)","Coordinate(x=587.9560546875, y=149.0625)","Coordinate(x=599.2088012695312, y=149.0625)","Coordinate(x=576.7033081054688, y=154.6875)","Coordinate(x=610.4615478515625, y=149.0625)"
