,loss,mae,mse,msle,val_loss,val_mae,val_mse,val_msle
0,0.1885952651500702,0.33604297041893005,0.1885952651500702,0.07872618734836578,0.07959143817424774,0.2236357033252716,0.07959143817424774,0.037754811346530914
1,0.05373726040124893,0.1877792775630951,0.05373726040124893,0.025446252897381783,0.041818827390670776,0.15977869927883148,0.041818831115961075,0.018584568053483963
2,0.03291304409503937,0.14475031197071075,0.03291304409503937,0.015095338225364685,0.0299528855830431,0.13203118741512299,0.0299528855830431,0.01285212766379118
3,0.02529647946357727,0.1237911507487297,0.02529647946357727,0.011486725881695747,0.02511201985180378,0.121194988489151,0.02511201985180378,0.010647241026163101
4,0.02165801450610161,0.11410357803106308,0.02165801450610161,0.009853356517851353,0.022258957847952843,0.11498339474201202,0.022258957847952843,0.009446017444133759
5,0.019157160073518753,0.10750841349363327,0.019157160073518753,0.008765763603150845,0.020161833614110947,0.11013302952051163,0.020161833614110947,0.008601582609117031
6,0.017218925058841705,0.10211178660392761,0.017218925058841705,0.00793034490197897,0.01850568689405918,0.10593338310718536,0.01850568689405918,0.007951909676194191
7,0.01569892093539238,0.09751681238412857,0.01569892093539238,0.007277196738868952,0.01716003008186817,0.10213412344455719,0.01716003008186817,0.007428551092743874
8,0.014520641416311264,0.09361130744218826,0.014520641416311264,0.006770719774067402,0.01605074852705002,0.09868647158145905,0.01605074480175972,0.006989552639424801
9,0.013589804992079735,0.0902642011642456,0.01358980592340231,0.006368585862219334,0.015126037411391735,0.09558484703302383,0.015126037411391735,0.0066154105588793755
10,0.01282393466681242,0.08733320981264114,0.01282393466681242,0.006035636644810438,0.014345207251608372,0.09280823916196823,0.014345207251608372,0.006296059582382441
11,0.012174330651760101,0.08471936732530594,0.012174330651760101,0.005751702468842268,0.013677353970706463,0.09031312167644501,0.013677354902029037,0.006022743880748749
12,0.011615069583058357,0.08236650377511978,0.011615069583058357,0.0055060964077711105,0.013101174496114254,0.08806931227445602,0.013101174496114254,0.005788060836493969
13,0.011131087318062782,0.08024442195892334,0.011131087318062782,0.005292484071105719,0.012602133676409721,0.08605136722326279,0.012602133676409721,0.005586156155914068
14,0.01071187388151884,0.07833592593669891,0.01071187388151884,0.005106471944600344,0.012169520370662212,0.08424036204814911,0.012169519439339638,0.005412372760474682
15,0.010348997078835964,0.07662457972764969,0.010348997078835964,0.004944578278809786,0.011794586665928364,0.0826227068901062,0.011794586665928364,0.005262794438749552
16,0.0100350771099329,0.07509545981884003,0.0100350771099329,0.004803743213415146,0.011469785124063492,0.0811801329255104,0.011469785124063492,0.005134019069373608
17,0.009763471782207489,0.07373475283384323,0.009763471782207489,0.0046811774373054504,0.01118829008191824,0.07990388572216034,0.01118829008191824,0.0050229765474796295
18,0.009528106078505516,0.0725271925330162,0.009528106078505516,0.0045743416994810104,0.010943949222564697,0.0787760466337204,0.010943949222564697,0.004927005153149366
19,0.009323444217443466,0.07145602256059647,0.009323444217443466,0.004480896983295679,0.010731172747910023,0.07777895033359528,0.010731172747910023,0.004843704402446747
20,0.009144664742052555,0.07050518691539764,0.009144664742052555,0.004398760851472616,0.010545092634856701,0.07689729332923889,0.010545092634856701,0.004770971368998289
21,0.008987443521618843,0.06965942680835724,0.008987443521618843,0.004326099995523691,0.010381389409303665,0.07611612230539322,0.010381389409303665,0.004706992767751217
22,0.008848173543810844,0.0689050555229187,0.008848173543810844,0.004261324647814035,0.010236423462629318,0.0754203051328659,0.010236423462629318,0.004650244954973459
23,0.008723774924874306,0.06822897493839264,0.008723773993551731,0.004203099757432938,0.010107144713401794,0.07479919493198395,0.010107144713401794,0.004599470179527998
24,0.008611679077148438,0.06761927157640457,0.008611679077148438,0.004150318447500467,0.009990978054702282,0.07424236834049225,0.009990978054702282,0.004553631413727999
