,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(8, 327, 0.335525)","(8, 371, 0.266213)","(8, 366, 0.0808617)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(8, 486, 0.1358)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(8, 486, 0.520505)","(8, 571, 0.206412)","(8, 616, 0.0962967)","(8, 318, 0.120797)","(8, 318, 0.415819)","(0, 0, 0)","(8, 321, 0.433011)","(8, 624, 0.0839835)","(8, 622, 0.0723308)","(8, 624, 0.0684797)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1,"(8, 333, 0.531772)","(8, 368, 0.336626)","(8, 366, 0.0863465)","(0, 0, 0)","(0, 0, 0)","(21, 366, 0.810245)","(53, 433, 0.897713)","(0, 0, 0)","(8, 480, 0.262427)","(8, 480, 0.0962119)","(0, 0, 0)","(0, 0, 0)","(8, 480, 0.687431)","(8, 551, 0.332741)","(8, 616, 0.232989)","(8, 324, 0.261544)","(8, 318, 0.500271)","(0, 0, 0)","(8, 324, 0.311373)","(8, 630, 0.181463)","(8, 630, 0.17135)","(8, 622, 0.164736)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
2,"(8, 339, 0.532647)","(8, 366, 0.50086)","(8, 363, 0.139019)","(0, 0, 0)","(0, 0, 0)","(27, 365, 0.848681)","(56, 433, 0.923041)","(27, 468, 0.750726)","(8, 483, 0.394858)","(8, 483, 0.159385)","(8, 554, 0.0603321)","(0, 0, 0)","(8, 483, 0.794831)","(8, 557, 0.45061)","(8, 621, 0.222308)","(8, 333, 0.309079)","(8, 327, 0.547057)","(8, 339, 0.0818498)","(8, 336, 0.523575)","(8, 639, 0.164264)","(8, 639, 0.16293)","(8, 627, 0.152555)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
3,"(6, 336, 0.896874)","(8, 368, 0.73318)","(8, 365, 0.0925334)","(0, 0, 0)","(0, 0, 0)","(36, 368, 0.900661)","(59, 430, 0.934153)","(33, 466, 0.843234)","(8, 480, 0.557636)","(8, 480, 0.19605)","(8, 566, 0.0631179)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(8, 324, 0.876126)","(21, 321, 0.747548)","(8, 327, 0.354334)","(30, 327, 0.126644)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
4,"(30, 333, 0.857027)","(8, 368, 0.758713)","(8, 365, 0.0660121)","(0, 0, 0)","(0, 0, 0)","(39, 368, 0.879708)","(59, 433, 0.933842)","(36, 466, 0.868983)","(8, 483, 0.654484)","(8, 483, 0.222466)","(8, 560, 0.137684)","(8, 598, 0.200023)","(18, 483, 0.798744)","(8, 560, 0.730865)","(8, 598, 0.546154)","(0, 0, 0)","(33, 321, 0.854942)","(8, 321, 0.589114)","(0, 0, 0)","(6, 618, 0.428061)","(24, 616, 0.412724)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
5,"(33, 333, 0.925978)","(8, 368, 0.879348)","(8, 366, 0.226709)","(0, 0, 0)","(0, 0, 0)","(53, 368, 0.868755)","(62, 430, 0.884813)","(48, 468, 0.84362)","(8, 483, 0.731901)","(8, 483, 0.345103)","(8, 574, 0.241305)","(0, 0, 0)","(30, 483, 0.822039)","(6, 574, 0.829441)","(21, 604, 0.398366)","(30, 321, 0.862307)","(36, 321, 0.793852)","(8, 321, 0.842096)","(0, 0, 0)","(27, 624, 0.429715)","(33, 622, 0.500459)","(33, 607, 0.391195)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
6,"(42, 327, 0.847531)","(21, 366, 0.817496)","(8, 365, 0.360113)","(0, 0, 0)","(0, 0, 0)","(59, 368, 0.911045)","(62, 427, 0.837023)","(56, 466, 0.913611)","(8, 483, 0.786961)","(8, 480, 0.391082)","(8, 568, 0.0889409)","(8, 604, 0.081602)","(33, 483, 0.857045)","(0, 0, 0)","(0, 0, 0)","(36, 318, 0.95281)","(48, 318, 0.767098)","(8, 321, 0.941075)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
7,"(56, 321, 0.923995)","(30, 363, 0.841595)","(8, 360, 0.375656)","(0, 0, 0)","(0, 0, 0)","(62, 365, 0.910461)","(62, 430, 0.824072)","(59, 466, 0.849853)","(8, 477, 0.7824)","(8, 477, 0.418111)","(8, 554, 0.217727)","(8, 621, 0.172541)","(33, 480, 0.906728)","(30, 557, 0.85925)","(0, 0, 0)","(42, 315, 0.925205)","(56, 315, 0.829245)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(8, 633, 0.0609305)","(0, 0, 0)","(8, 624, 0.133548)"
8,"(59, 318, 0.95627)","(33, 362, 0.885848)","(8, 354, 0.474844)","(8, 418, 0.0935144)","(8, 445, 0.238204)","(74, 363, 0.900519)","(68, 430, 0.80004)","(65, 463, 0.852287)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(56, 315, 0.934771)","(62, 315, 0.78203)","(30, 315, 0.893232)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
9,"(77, 316, 0.95445)","(36, 357, 0.875445)","(8, 345, 0.773608)","(8, 404, 0.167213)","(8, 436, 0.539349)","(80, 360, 0.930217)","(74, 415, 0.785101)","(71, 463, 0.856066)","(27, 477, 0.806647)","(8, 474, 0.69588)","(8, 557, 0.375492)","(8, 639, 0.25263)","(45, 477, 0.822892)","(39, 557, 0.887166)","(8, 642, 0.901738)","(62, 310, 0.88647)","(80, 310, 0.599583)","(36, 312, 0.930932)","(0, 0, 0)","(33, 669, 0.877418)","(36, 668, 0.895306)","(8, 645, 0.669271)","(0, 0, 0)","(0, 0, 0)","(8, 648, 0.201064)"
10,"(86, 315, 0.936611)","(51, 351, 0.838885)","(8, 342, 0.873959)","(8, 407, 0.15496)","(8, 442, 0.45873)","(89, 360, 0.871672)","(80, 416, 0.850526)","(80, 474, 0.862293)","(33, 480, 0.867557)","(8, 477, 0.758558)","(8, 566, 0.450429)","(8, 648, 0.265417)","(56, 480, 0.88477)","(53, 566, 0.854645)","(8, 648, 0.909685)","(80, 307, 0.900568)","(86, 307, 0.637942)","(53, 310, 0.867096)","(0, 0, 0)","(33, 677, 0.800472)","(36, 672, 0.880718)","(8, 651, 0.569096)","(24, 672, 0.119807)","(0, 0, 0)","(8, 666, 0.214625)"
11,"(101, 318, 0.948128)","(56, 357, 0.906792)","(6, 342, 0.904767)","(8, 410, 0.394937)","(8, 460, 0.801552)","(101, 362, 0.913917)","(86, 418, 0.853863)","(86, 480, 0.944543)","(36, 483, 0.892782)","(8, 480, 0.852497)","(8, 574, 0.614305)","(8, 663, 0.304295)","(62, 486, 0.855259)","(56, 574, 0.954537)","(8, 654, 0.878029)","(89, 312, 0.876622)","(103, 312, 0.469946)","(59, 312, 0.927286)","(0, 0, 0)","(30, 692, 0.781257)","(33, 686, 0.848778)","(8, 666, 0.538834)","(24, 692, 0.132983)","(8, 683, 0.0991013)","(8, 675, 0.246877)"
12,"(107, 318, 0.966235)","(65, 360, 0.881974)","(30, 348, 0.816784)","(8, 416, 0.59556)","(8, 480, 0.864099)","(109, 365, 0.92796)","(103, 424, 0.893514)","(101, 480, 0.936953)","(45, 489, 0.803644)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(71, 495, 0.786807)","(57, 586, 0.902866)","(8, 666, 0.76003)","(103, 312, 0.922787)","(109, 312, 0.551812)","(74, 312, 0.87369)","(0, 0, 0)","(30, 692, 0.719631)","(33, 692, 0.715941)","(8, 671, 0.381883)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
13,"(124, 321, 0.913862)","(80, 363, 0.967976)","(33, 359, 0.892364)","(8, 424, 0.645362)","(8, 498, 0.682762)","(127, 368, 0.906593)","(112, 433, 0.844014)","(109, 480, 0.908274)","(56, 504, 0.877195)","(30, 501, 0.825149)","(0, 0, 0)","(0, 0, 0)","(80, 507, 0.88033)","(59, 598, 0.953705)","(8, 669, 0.776688)","(109, 315, 0.928287)","(127, 315, 0.464781)","(83, 315, 0.970372)","(0, 0, 0)","(30, 695, 0.794217)","(33, 692, 0.803882)","(8, 672, 0.447335)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
14,"(130, 321, 0.910517)","(86, 365, 0.93211)","(42, 362, 0.879565)","(8, 421, 0.799786)","(8, 489, 0.644709)","(133, 368, 0.895022)","(133, 433, 0.885195)","(130, 463, 0.892964)","(62, 507, 0.870453)","(36, 504, 0.881907)","(33, 598, 0.910337)","(8, 672, 0.425605)","(92, 510, 0.799305)","(59, 601, 0.909703)","(8, 669, 0.662231)","(127, 315, 0.983221)","(133, 315, 0.546476)","(98, 315, 0.896566)","(0, 0, 0)","(30, 695, 0.681847)","(33, 692, 0.653085)","(8, 672, 0.309448)","(30, 695, 0.377056)","(0, 0, 0)","(8, 689, 0.3199)"
15,"(150, 318, 0.961728)","(104, 363, 0.973991)","(57, 359, 0.887592)","(6, 410, 0.900801)","(8, 477, 0.700978)","(151, 366, 0.94005)","(154, 418, 0.828231)","(157, 457, 0.888085)","(80, 495, 0.817603)","(53, 483, 0.822751)","(56, 583, 0.875116)","(8, 675, 0.75264)","(103, 501, 0.82518)","(77, 598, 0.8713)","(8, 663, 0.759613)","(139, 315, 0.896749)","(151, 315, 0.395716)","(107, 315, 0.944031)","(0, 0, 0)","(33, 692, 0.500544)","(33, 686, 0.483048)","(8, 669, 0.373513)","(30, 698, 0.586148)","(6, 695, 0.578901)","(8, 689, 0.573724)"
16,"(165, 318, 0.916038)","(121, 360, 0.878213)","(74, 351, 0.829297)","(0, 0, 0)","(0, 0, 0)","(165, 365, 0.902986)","(177, 415, 0.849999)","(189, 439, 0.82701)","(89, 483, 0.840497)","(62, 480, 0.816591)","(80, 571, 0.939042)","(33, 672, 0.873844)","(112, 492, 0.775923)","(80, 583, 0.831382)","(6, 648, 0.835551)","(154, 310, 0.912817)","(171, 309, 0.447253)","(127, 310, 0.909092)","(0, 0, 0)","(6, 672, 0.321466)","(24, 674, 0.27098)","(8, 648, 0.56346)","(42, 710, 0.850545)","(33, 701, 0.842795)","(30, 680, 0.714567)"
17,"(180, 313, 0.898912)","(136, 354, 0.851577)","(89, 345, 0.850311)","(33, 389, 0.884648)","(8, 451, 0.658304)","(180, 362, 0.886507)","(201, 410, 0.854959)","(221, 436, 0.879159)","(106, 480, 0.891488)","(80, 474, 0.840391)","(103, 571, 0.919973)","(59, 689, 0.883897)","(130, 486, 0.842408)","(77, 580, 0.848617)","(0, 0, 0)","(174, 295, 0.95959)","(186, 298, 0.491528)","(145, 295, 0.898139)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(86, 713, 0.723853)","(65, 713, 0.70636)","(56, 698, 0.79521)"
18,"(201, 310, 0.910835)","(153, 351, 0.918978)","(104, 342, 0.923439)","(36, 386, 0.906632)","(8, 454, 0.843045)","(201, 360, 0.926685)","(236, 410, 0.834351)","(265, 433, 0.866402)","(124, 480, 0.844153)","(100, 471, 0.774519)","(115, 577, 0.892937)","(86, 695, 0.849411)","(148, 483, 0.826245)","(83, 577, 0.886874)","(30, 636, 0.819419)","(198, 295, 0.960199)","(204, 295, 0.315611)","(157, 295, 0.933627)","(0, 0, 0)","(33, 686, 0.816971)","(36, 675, 0.86369)","(8, 639, 0.649351)","(127, 704, 0.708965)","(112, 716, 0.700933)","(80, 716, 0.84581)"
19,"(221, 309, 0.920228)","(174, 345, 0.91227)","(124, 342, 0.904241)","(53, 383, 0.877727)","(6, 448, 0.870633)","(221, 357, 0.884361)","(262, 409, 0.881883)","(310, 433, 0.880138)","(139, 483, 0.823043)","(112, 480, 0.820107)","(130, 589, 0.89186)","(109, 707, 0.824478)","(162, 492, 0.758815)","(103, 580, 0.852409)","(36, 625, 0.944015)","(215, 295, 0.925492)","(224, 298, 0.239088)","(177, 295, 0.972868)","(0, 0, 0)","(39, 677, 0.771987)","(51, 672, 0.816024)","(24, 622, 0.68672)","(150, 713, 0.708192)","(133, 719, 0.716736)","(103, 722, 0.796369)"
20,"(245, 313, 0.910227)","(192, 351, 0.841837)","(148, 345, 0.849875)","(74, 386, 0.886908)","(33, 457, 0.881202)","(236, 360, 0.860436)","(289, 407, 0.877353)","(345, 430, 0.858339)","(156, 492, 0.812507)","(133, 486, 0.808027)","(150, 598, 0.901957)","(127, 719, 0.906333)","(180, 501, 0.809953)","(121, 598, 0.844659)","(45, 622, 0.910986)","(233, 298, 0.883669)","(248, 301, 0.15442)","(201, 295, 0.977639)","(0, 0, 0)","(51, 677, 0.766974)","(56, 672, 0.845761)","(33, 616, 0.768837)","(154, 725, 0.645673)","(142, 736, 0.654058)","(121, 736, 0.726655)"
21,"(268, 315, 0.95386)","(215, 359, 0.861859)","(171, 348, 0.834791)","(98, 398, 0.820824)","(56, 469, 0.877741)","(257, 362, 0.891968)","(312, 410, 0.911325)","(380, 430, 0.836821)","(180, 501, 0.829926)","(154, 492, 0.784393)","(165, 598, 0.874447)","(130, 730, 0.851929)","(204, 504, 0.8157)","(154, 613, 0.776953)","(62, 624, 0.929725)","(254, 298, 0.881994)","(268, 301, 0.434048)","(221, 298, 0.928611)","(0, 0, 0)","(56, 683, 0.835968)","(62, 675, 0.822352)","(51, 616, 0.722898)","(157, 742, 0.799631)","(142, 748, 0.767884)","(118, 742, 0.80725)"
22,"(289, 318, 0.957602)","(233, 363, 0.907225)","(192, 360, 0.85227)","(130, 413, 0.901407)","(109, 483, 0.915189)","(271, 365, 0.922418)","(318, 412, 0.948758)","(389, 430, 0.849498)","(201, 518, 0.819414)","(177, 510, 0.811585)","(174, 613, 0.914233)","(127, 739, 0.900547)","(224, 524, 0.818339)","(198, 639, 0.814251)","(89, 636, 0.855736)","(277, 312, 0.879279)","(292, 310, 0.184129)","(248, 307, 0.909354)","(0, 0, 0)","(80, 695, 0.878397)","(86, 689, 0.858837)","(77, 622, 0.879749)","(153, 766, 0.854468)","(130, 766, 0.858763)","(115, 745, 0.803765)"
23,"(315, 319, 0.960489)","(265, 365, 0.9224)","(224, 363, 0.897807)","(177, 413, 0.901679)","(180, 486, 0.888654)","(295, 366, 0.938511)","(330, 412, 0.883067)","(389, 424, 0.858614)","(224, 524, 0.818524)","(201, 518, 0.779604)","(192, 619, 0.840354)","(130, 739, 0.909255)","(248, 527, 0.821096)","(236, 648, 0.871879)","(130, 645, 0.855343)","(309, 315, 0.900001)","(0, 0, 0)","(271, 312, 0.895094)","(0, 0, 0)","(121, 695, 0.909708)","(127, 695, 1.0035)","(115, 625, 0.797779)","(153, 769, 0.788508)","(130, 769, 0.789225)","(121, 745, 0.860744)"
24,"(342, 318, 0.954044)","(292, 362, 0.956303)","(265, 360, 0.885582)","(227, 421, 0.859314)","(271, 483, 0.911638)","(318, 363, 0.911648)","(315, 410, 0.865713)","(366, 424, 0.826427)","(251, 524, 0.802337)","(224, 521, 0.757704)","(195, 636, 0.815997)","(130, 739, 0.883008)","(277, 527, 0.766992)","(286, 645, 0.896505)","(165, 668, 0.82527)","(339, 312, 0.919164)","(0, 0, 0)","(309, 304, 0.83491)","(0, 0, 0)","(183, 719, 0.919588)","(189, 716, 0.853539)","(136, 651, 0.745741)","(156, 775, 0.757491)","(136, 775, 0.784675)","(115, 742, 0.813596)"
25,"(380, 315, 0.935449)","(324, 360, 0.866444)","(304, 360, 0.837209)","(292, 433, 0.955818)","(360, 483, 0.897295)","(345, 362, 0.853666)","(339, 415, 0.61241)","(359, 433, 0.778879)","(292, 521, 0.784293)","(262, 518, 0.716597)","(201, 636, 0.804135)","(130, 736, 0.881708)","(315, 524, 0.783963)","(342, 625, 0.914589)","(227, 689, 0.847561)","(368, 301, 0.888067)","(386, 312, 0.0824082)","(339, 298, 0.925627)","(0, 0, 0)","(254, 739, 0.904225)","(260, 728, 0.81537)","(209, 689, 0.834035)","(153, 772, 0.829251)","(130, 769, 0.841465)","(115, 739, 0.797111)"
