,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(128.9255296875, 55.67405482954545, 0.850028)","(120.88336406250001, 79.22421221590909, 0.764831)","(116.865084375, 80.03694857954547, 0.805616)","(114.16520781249999, 115.79964204545455, 0.813549)","(133.386703125, 119.02153693181818, 0.862732)","(125.345471875, 77.61589801136364, 0.651603)","(126.23966875, 111.72746590909091, 0.312721)","(140.0931796875, 119.86757102272729, 0.342787)","(123.5622171875, 145.8321534090909, 0.62281)","(119.989634375, 145.86273295454546, 0.610675)","(119.51590625, 201.0825965909091, 0.770226)","(116.85620781250002, 257.96225, 0.71149)","(127.5716203125, 145.02689204545456, 0.531821)","(125.34500468750001, 198.6787045454545, 0.696028)","(124.00744687500001, 250.67327556818182, 0.725664)","(127.12592343749999, 51.60604090909091, 0.849735)","(129.8029078125, 50.78982187500001, 0.112881)","(120.43906874999999, 54.81060738636364, 0.802233)","(0.0, 0.0, 0)","(136.518728125, 260.4001193181818, 0.65689)","(136.0632203125, 257.15783806818183, 0.635933)","(123.12119218749999, 256.36192045454544, 0.225041)","(130.24439999999998, 270.11846875000003, 0.596485)","(126.23639843749999, 270.9475142045455, 0.58122)","(114.6179125, 264.45275852272727, 0.756356)"
1,"(129.7973015625, 55.680850284090916, 0.849442)","(121.75887343749999, 80.01061619318182, 0.759415)","(116.86555156249999, 80.03074772727274, 0.800031)","(114.1680109375, 115.79369602272727, 0.811294)","(133.38016249999998, 119.03597727272727, 0.855533)","(126.2261203125, 79.21316960227273, 0.665409)","(125.7953734375, 113.32864488636365, 0.248563)","(138.3001140625, 120.6787784090909, 0.289209)","(123.56175, 145.83640056818183, 0.621525)","(119.9919703125, 145.8559375, 0.603154)","(119.52057812500001, 200.27903409090908, 0.7755)","(116.8618140625, 257.9580028409091, 0.714387)","(127.143209375, 145.8228096590909, 0.539679)","(125.345471875, 198.6659630681818, 0.708304)","(124.4423984375, 251.44625852272728, 0.723984)","(127.13059531250002, 52.408584090909095, 0.851213)","(130.2299171875, 50.78710369318182, 0.0993007)","(120.44514218750001, 54.84492443181818, 0.813097)","(0.0, 0.0, 0)","(136.5107859375, 261.1900909090909, 0.68372)","(135.625465625, 257.16123579545456, 0.667301)","(123.547734375, 256.3695653409091, 0.231142)","(130.241596875, 270.1227159090909, 0.627241)","(126.22845625, 270.95430965909094, 0.61422)","(114.6239859375, 264.45275852272727, 0.766193)"
2,"(130.25934999999998, 55.688580113636355, 0.867369)","(123.0847515625, 80.05334261363636, 0.814004)","(117.7476015625, 80.80993153409092, 0.79284)","(114.62632187500002, 116.60830113636364, 0.799172)","(133.8179171875, 119.80386363636363, 0.867034)","(127.11704687499999, 80.02038465909091, 0.715512)","(126.681628125, 112.536125, 0.254118)","(137.8450734375, 119.81915340909092, 0.184287)","(124.00511093749998, 145.82875568181817, 0.609528)","(119.99991250000001, 145.84489488636362, 0.607005)","(119.54300312499998, 199.48311647727272, 0.78674)","(116.8678875, 257.9554545454546, 0.712027)","(128.46675156249998, 145.03623579545456, 0.526786)","(126.22845625, 197.86494886363636, 0.74088)","(125.33612812500002, 251.47089204545455, 0.699479)","(127.5725546875, 52.41809772727273, 0.82345)","(130.26916093749998, 51.59652727272727, 0.208686)","(120.44420781250001, 54.865565625, 0.787553)","(0.0, 0.0, 0)","(136.957884375, 261.2147244318182, 0.691034)","(136.5135890625, 257.9563039772727, 0.650055)","(123.57389687499999, 257.1204630681818, 0.284586)","(129.804309375, 270.1235653409091, 0.6517)","(125.34920937499999, 270.9373210227273, 0.636551)","(115.06127343749999, 263.67807670454545, 0.753296)"
3,"(130.68869531250002, 56.49571022727273, 0.838715)","(123.099234375, 80.84611732954546, 0.849837)","(118.187225, 80.84458835227272, 0.80928)","(115.5149125, 118.23326420454546, 0.833795)","(133.8510875, 119.86842045454547, 0.900019)","(127.133865625, 80.83813267045454, 0.746712)","(127.1287265625, 113.3447840909091, 0.262035)","(137.8618921875, 120.64395170454546, 0.189424)","(124.89043125, 145.86018465909092, 0.599456)","(120.42925781249998, 146.64930681818183, 0.612368)","(119.54907656249999, 201.8844602272727, 0.767102)","(117.749003125, 259.5685255681818, 0.675525)","(129.36515312499998, 145.83809943181816, 0.533351)","(126.66294062499999, 198.67785511363638, 0.726671)","(125.78089062500001, 253.09160795454545, 0.68636)","(127.5903078125, 54.023438920454545, 0.815542)","(130.6989734375, 53.24238636363636, 0.153663)","(121.3290609375, 55.63481107954545, 0.776726)","(0.0, 0.0, 0)","(137.4068515625, 262.8014630681818, 0.720993)","(136.96022031249998, 259.5659772727273, 0.649333)","(123.57623281250002, 257.17142897727274, 0.287025)","(129.8169234375, 270.14565056818185, 0.652228)","(125.79070156249999, 270.9814914772727, 0.620254)","(115.5004296875, 265.27500852272726, 0.725608)"
4,"(130.2420640625, 55.69486590909091, 0.852214)","(123.0968984375, 80.82929857954545, 0.833812)","(118.187225, 80.83600909090909, 0.803263)","(115.5013640625, 118.21457670454545, 0.817217)","(134.2626796875, 119.84973295454544, 0.883462)","(127.1310625, 80.05070937500001, 0.723486)","(127.12919374999998, 112.54546875, 0.30488)","(138.2991796875, 120.66009090909091, 0.251421)","(124.45080781249999, 145.83724999999998, 0.612707)","(120.42692187499999, 145.84574431818183, 0.620852)","(119.54907656249999, 201.07495170454547, 0.771549)","(117.7447984375, 258.78365056818177, 0.684526)","(128.9217921875, 145.82535795454547, 0.533433)","(126.234996875, 198.64982386363636, 0.731641)","(125.78042343749999, 253.07292045454548, 0.689807)","(127.15395468749999, 52.416059090909094, 0.822513)","(130.25374374999998, 51.591770454545454, 0.0767972)","(121.764946875, 54.84348039772726, 0.789728)","(0.0, 0.0, 0)","(137.3956390625, 261.9995994318182, 0.691817)","(136.9532125, 257.9664971590909, 0.646593)","(123.99716874999999, 257.1408494318182, 0.271215)","(130.699440625, 270.1490482954546, 0.648237)","(126.687234375, 271.76806534090906, 0.618036)","(115.49902812500001, 265.26396590909087, 0.754137)"
5,"(130.2486046875, 55.71032556818182, 0.859673)","(123.09830000000001, 80.05045454545454, 0.824551)","(117.75040468750001, 80.04748153409092, 0.794834)","(115.50183125, 117.4084659090909, 0.809975)","(133.85015312500002, 119.81575568181819, 0.879988)","(127.13479999999998, 80.01885568181817, 0.718486)","(127.14040625, 112.52168465909092, 0.290526)","(139.192909375, 120.63715624999999, 0.226103)","(124.45641406249999, 145.83640056818183, 0.601679)","(120.441871875, 145.84659375, 0.607756)","(119.96814375000001, 199.4601818181818, 0.788949)","(118.6333890625, 257.95120738636365, 0.691755)","(128.9180546875, 145.82535795454547, 0.524372)","(126.67135, 198.62688920454545, 0.7547)","(126.2214484375, 251.46919318181818, 0.704379)","(127.5781609375, 52.420730965909094, 0.824222)","(130.2644890625, 51.60306789772727, 0.0870534)","(121.76915156249999, 54.81561903409091, 0.78414)","(0.0, 0.0, 0)","(137.40451562500002, 261.19518750000003, 0.701573)","(136.96255624999998, 257.1731278409091, 0.686539)","(124.01258593749999, 257.11281818181817, 0.230775)","(130.6961703125, 270.1329090909091, 0.674506)","(126.68256250000002, 270.96875, 0.658226)","(115.51818281250002, 264.4408664772727, 0.78306)"
6,"(130.27243125, 56.467848863636355, 0.858095)","(123.1118484375, 80.04213011363636, 0.815835)","(117.75460937500002, 80.03499488636365, 0.781875)","(115.5125765625, 116.59386079545453, 0.825306)","(134.2720234375, 119.04362215909093, 0.875793)","(127.57302187499998, 80.03219176136365, 0.683214)","(127.57535781250002, 112.54546875, 0.331147)","(139.1957125, 119.83529261363637, 0.323527)","(124.459684375, 145.8559375, 0.611386)","(120.87635625000001, 145.86188352272728, 0.614319)","(119.97888906249999, 198.67700568181817, 0.805016)","(119.075815625, 257.16803125, 0.708331)","(128.912915625, 145.85338920454544, 0.536029)","(126.68116093749998, 197.85985227272724, 0.770374)","(126.2392015625, 251.45645170454546, 0.716705)","(128.0318, 52.41571931818182, 0.796489)","(130.69196562500002, 52.42795113636364, 0.0917427)","(122.22232343750001, 54.02862045454546, 0.772457)","(0.0, 0.0, 0)","(137.8441390625, 259.5923096590909, 0.700103)","(137.39984375000003, 257.1408494318182, 0.699062)","(125.3356609375, 257.11706534090905, 0.208484)","(130.7027109375, 269.3234005681818, 0.630317)","(126.69564375, 270.14225284090907, 0.658509)","(115.9484625, 263.66363636363633, 0.801878)"
7,"(130.2766359375, 55.6910434659091, 0.866759)","(123.1118484375, 80.03847755681818, 0.817858)","(118.19002812500001, 80.03737329545453, 0.786753)","(115.5144453125, 115.80219034090909, 0.831193)","(134.2720234375, 119.02153693181818, 0.86653)","(127.5716203125, 80.01273977272727, 0.695576)","(127.12545625, 113.32949431818183, 0.275714)","(138.7458109375, 119.82170170454546, 0.22744)","(124.4536109375, 146.65100568181816, 0.623277)","(120.869815625, 146.65695170454543, 0.624417)","(119.98496250000001, 199.4516875, 0.797863)","(119.5126359375, 257.1544403409091, 0.723668)","(128.4751609375, 146.65440340909092, 0.543335)","(126.6923734375, 197.86494886363636, 0.767093)","(126.242471875, 251.45815056818182, 0.713498)","(128.46628437500001, 51.60400227272727, 0.794246)","(130.6980390625, 51.61181704545454, 0.0814578)","(122.64559531249999, 54.02114545454546, 0.78129)","(0.0, 0.0, 0)","(137.8497453125, 260.39247443181813, 0.707792)","(137.406384375, 257.1510426136364, 0.703464)","(125.7888328125, 257.12301136363635, 0.191699)","(130.7176609375, 269.33359375, 0.586026)","(127.12592343749999, 270.14819886363637, 0.618984)","(115.97228906250001, 263.65938920454545, 0.798765)"
8,"(130.69430156250002, 55.69656477272727, 0.864164)","(123.12492968750001, 80.04603750000001, 0.830873)","(118.19516718749999, 80.04221505681818, 0.787506)","(115.52145312500001, 116.58536647727273, 0.839416)","(134.272490625, 119.02408522727274, 0.87426)","(128.0182515625, 80.03083267045453, 0.703847)","(127.12639062500001, 112.54037215909091, 0.263154)","(138.30245, 118.22986647727274, 0.213509)","(124.45874999999998, 145.84574431818183, 0.615054)","(120.87588906250001, 145.84574431818183, 0.61151)","(119.9929046875, 198.6863494318182, 0.809229)","(119.52151249999999, 257.15528977272726, 0.743486)","(128.4779640625, 145.8516903409091, 0.543624)","(126.6989140625, 198.62519034090909, 0.787194)","(126.6699484375, 251.46069886363637, 0.73686)","(128.47562812500001, 51.61597926136364, 0.786841)","(130.710653125, 52.398305965909096, 0.0905136)","(122.65540625000001, 54.02632698863636, 0.787504)","(0.0, 0.0, 0)","(137.8618921875, 259.5940085227272, 0.701768)","(137.41432656249998, 257.13405397727274, 0.703956)","(125.790234375, 257.11281818181817, 0.224397)","(130.7157921875, 269.32170170454543, 0.615303)","(127.12592343749999, 270.13460795454546, 0.650943)","(116.39649531250001, 263.65089488636363, 0.807233)"
9,"(130.6896296875, 55.70268068181819, 0.8657)","(123.1277328125, 80.81214005681818, 0.838936)","(118.19516718749999, 80.81494318181818, 0.796642)","(115.94565937499999, 118.20608238636363, 0.842213)","(134.2851046875, 119.81660511363637, 0.881547)","(128.02619375, 80.0465471590909, 0.701321)","(127.5837671875, 111.72576704545455, 0.286595)","(138.7546875, 119.02918181818181, 0.204731)","(125.3408, 145.85338920454544, 0.615449)","(121.32392187500001, 145.84404545454544, 0.609836)","(119.99710937500001, 199.48481534090908, 0.7863)","(119.52618437500001, 257.96140056818183, 0.748963)","(129.36094843749999, 145.86528125, 0.558846)","(127.12732500000001, 198.6863494318182, 0.79301)","(126.68910312499999, 252.26850852272727, 0.757419)","(128.4765625, 52.41147215909091, 0.789805)","(130.68869531250002, 51.61665880681818, 0.0697895)","(122.66054531249999, 54.05333892045454, 0.786299)","(0.0, 0.0, 0)","(137.85581875000003, 261.2181221590909, 0.713444)","(137.4133921875, 257.17482670454547, 0.695248)","(125.7776203125, 257.12640909090914, 0.256137)","(131.1549484375, 269.3480340909091, 0.655453)","(127.13479999999998, 270.16943465909094, 0.691382)","(116.4011671875, 264.4425653409091, 0.813506)"
10,"(131.592703125, 56.50530880681818, 0.7814)","(123.551471875, 80.85928352272727, 0.860994)","(119.07768437499999, 80.86811761363637, 0.83122)","(115.9564046875, 119.01219318181819, 0.86401)","(134.72612968750002, 119.86926988636363, 0.881921)","(128.464415625, 80.85027954545455, 0.722333)","(129.80898125, 113.32099999999998, 0.308046)","(140.986909375, 121.47639488636362, 0.321483)","(126.23639843749999, 145.03623579545456, 0.621727)","(122.2101765625, 145.82450852272729, 0.614491)","(120.8684140625, 199.4890625, 0.760885)","(119.96440624999998, 258.78110227272725, 0.747293)","(130.26402187500003, 144.230125, 0.562129)","(127.56835, 198.67700568181817, 0.777907)","(126.70031562499999, 253.07292045454548, 0.73897)","(129.7982359375, 54.04790255681819, 0.810934)","(131.59176875, 53.22896534090909, 0.142916)","(122.6624140625, 55.6873059659091, 0.784054)","(0.0, 0.0, 0)","(137.8740390625, 262.80061363636366, 0.693356)","(137.8544171875, 257.9817869318182, 0.654306)","(126.23639843749999, 257.1569886363637, 0.235474)","(131.5978421875, 269.3429375, 0.665086)","(127.1436765625, 270.1736818181818, 0.688597)","(116.84873281249999, 265.2690625, 0.756829)"
11,"(130.7288734375, 56.49766392045454, 0.824466)","(123.54259531250001, 80.85970823863636, 0.872963)","(118.6408640625, 80.86990142045455, 0.825259)","(115.95033124999999, 119.0155909090909, 0.865496)","(134.29024375, 119.85907670454544, 0.905496)","(128.0266609375, 80.84781619318183, 0.740162)","(129.8075796875, 113.31930113636365, 0.278989)","(140.5388765625, 120.68472443181818, 0.235966)","(126.24060312499999, 145.8321534090909, 0.627581)","(121.77335624999999, 145.84489488636362, 0.60634)","(120.441871875, 200.27818465909093, 0.76483)","(119.54160156249999, 258.77430681818186, 0.758242)","(130.6929, 145.04133238636365, 0.573115)","(127.14741406249999, 199.46952556818184, 0.77667)","(126.69844687500002, 253.89856818181818, 0.741504)","(129.3581453125, 54.038643750000006, 0.827305)","(131.14794062500002, 53.22259460227272, 0.139208)","(122.65867656250002, 55.66054886363636, 0.794421)","(0.0, 0.0, 0)","(137.866096875, 262.03442613636366, 0.707579)","(137.421334375, 257.97499147727274, 0.669875)","(126.2354640625, 257.18756818181816, 0.247305)","(130.7139234375, 269.3157556818182, 0.669737)","(127.12171875, 270.1549943181818, 0.71229)","(116.4142484375, 264.47484375000005, 0.780434)"
12,"(130.7148578125, 57.29825340909092, 0.825245)","(123.54259531250001, 80.86888210227272, 0.869122)","(118.1984375, 80.87788607954545, 0.817661)","(115.9423890625, 119.0070965909091, 0.844405)","(134.2813671875, 119.8624744318182, 0.899704)","(128.46721875, 80.86565426136364, 0.729956)","(128.9124484375, 113.34223579545454, 0.279202)","(139.647015625, 120.65669318181818, 0.190959)","(126.23873437499999, 145.03963352272729, 0.6332)","(121.7640125, 145.8219602272727, 0.609103)","(120.428790625, 200.2917755681818, 0.777122)","(119.54020000000001, 258.78195170454546, 0.756325)","(130.6933671875, 145.02519318181817, 0.590054)","(127.1436765625, 199.4788693181818, 0.780977)","(126.69470937499999, 253.09160795454545, 0.751597)","(128.9189890625, 54.806954829545454, 0.841025)","(131.15074375, 54.02428835227273, 0.174357)","(122.64466093749999, 55.64271079545454, 0.77651)","(0.0, 0.0, 0)","(138.294975, 262.7989147727273, 0.69556)","(137.8488109375, 257.9817869318182, 0.659681)","(126.22565312500001, 257.16123579545456, 0.262857)","(131.1484078125, 269.35482954545455, 0.690671)","(127.13293125000001, 270.9449659090909, 0.70318)","(116.41564999999999, 265.2554715909091, 0.777957)"
13,"(130.26402187500003, 55.6976690340909, 0.877389)","(123.1258640625, 80.81613238636365, 0.850694)","(118.6432, 80.82573096590909, 0.816271)","(115.9554703125, 117.42120738636365, 0.848785)","(134.29771875, 119.82934659090908, 0.881582)","(127.58096406250002, 80.04221505681818, 0.706496)","(128.472825, 112.54461931818182, 0.284854)","(140.08103281249998, 119.86077556818181, 0.218173)","(126.664809375, 145.82111079545456, 0.625215)","(122.21484843749998, 145.82111079545456, 0.608483)","(120.867946875, 199.46103125000002, 0.772636)","(119.96300468749999, 258.7607159090909, 0.746737)","(130.6952359375, 145.04303124999998, 0.562429)","(127.5688171875, 198.68295170454545, 0.776056)","(126.702184375, 252.2668096590909, 0.758939)","(128.0173171875, 52.43143380681818, 0.811297)","(130.69196562500002, 51.59508323863636, 0.164858)","(122.6460625, 54.81680823863636, 0.7842)","(0.0, 0.0, 0)","(138.3010484375, 262.00809375, 0.67271)","(137.8628265625, 257.94696022727277, 0.643052)","(125.7944390625, 257.1281079545455, 0.2616)","(132.495309375, 270.1329090909091, 0.665089)","(128.02619375, 270.9602556818182, 0.643933)","(116.84873281249999, 264.4790909090909, 0.793449)"
14,"(130.70785, 55.65766079545454, 0.878298)","(123.12399531250001, 80.0263306818182, 0.828113)","(118.6399296875, 80.05368238636363, 0.809708)","(115.9484625, 116.58706534090908, 0.844187)","(134.2897765625, 119.04277272727273, 0.871531)","(127.58189843749999, 79.20917727272727, 0.689577)","(127.57302187499998, 112.52848011363636, 0.242734)","(139.1980484375, 116.59725852272726, 0.185565)","(126.6676125, 145.0438806818182, 0.630182)","(122.646996875, 145.03963352272729, 0.604887)","(120.8702828125, 198.67021022727272, 0.775842)","(119.96440624999998, 257.9537556818182, 0.749723)","(130.69196562500002, 145.04303124999998, 0.568662)","(127.15208593750002, 198.65576988636363, 0.786457)","(127.12685781249999, 251.46494602272728, 0.772122)","(128.9180546875, 50.81309630681818, 0.785997)","(130.721865625, 50.803157954545455, 0.146791)","(122.65867656250002, 54.04739289772727, 0.764571)","(0.0, 0.0, 0)","(138.31553125000002, 259.58211647727273, 0.671128)","(137.86703125, 257.1187642045454, 0.665628)","(126.2354640625, 257.1187642045454, 0.271503)","(132.0496125, 269.3166051136364, 0.63572)","(128.02198906249998, 270.1363068181818, 0.669966)","(116.8524703125, 264.4417159090909, 0.797734)"
15,"(130.7055140625, 55.65528238636364, 0.880491)","(123.1127828125, 80.01002159090909, 0.80804)","(118.63712656249999, 80.045103125, 0.802774)","(115.95126562499999, 115.77840624999999, 0.858805)","(134.289309375, 119.03682670454545, 0.881682)","(127.1460125, 78.40162244318182, 0.673328)","(127.1296609375, 112.53782386363636, 0.203962)","(137.847409375, 119.85143181818181, 0.134119)","(126.22845625, 145.02689204545456, 0.619098)","(122.2111109375, 145.02264488636365, 0.600964)","(120.87215156250001, 198.65237215909093, 0.776474)","(119.9704796875, 257.95120738636365, 0.744295)","(130.24393281250002, 145.03198863636365, 0.561714)","(127.152553125, 198.6294375, 0.784315)","(127.137603125, 251.45220454545455, 0.766317)","(128.922259375, 50.78701875, 0.798168)","(131.146071875, 50.78625426136363, 0.0935925)","(122.66475, 53.24366051136363, 0.788444)","(0.0, 0.0, 0)","(138.30805625, 258.78704829545455, 0.699628)","(137.864228125, 256.35257670454547, 0.695267)","(126.6764890625, 257.1094204545455, 0.265773)","(132.4906375, 269.2919715909091, 0.600497)","(128.4742265625, 270.1227159090909, 0.62928)","(116.85620781250002, 264.45275852272727, 0.783698)"
16,"(130.718128125, 55.64364517045455, 0.857079)","(123.12025781250001, 80.00823778409091, 0.808945)","(118.63806093750001, 80.02429204545454, 0.794998)","(115.95126562499999, 115.77161079545456, 0.85923)","(134.2972515625, 119.04617045454545, 0.879606)","(127.57862812499998, 79.21435880681818, 0.675973)","(127.1287265625, 113.32609659090907, 0.232967)","(137.85114687499998, 119.03852556818184, 0.168198)","(126.23125937500001, 145.02434374999999, 0.620553)","(122.209709375, 145.02519318181817, 0.603801)","(120.871684375, 198.67021022727272, 0.777655)","(119.97842187500001, 257.16548295454544, 0.74933)","(130.2486046875, 145.0234943181818, 0.564194)","(127.5697515625, 198.6404801136364, 0.782536)","(127.130128125, 251.44880681818182, 0.76906)","(129.367021875, 50.00324801136364, 0.815841)","(131.15214531249998, 50.00375767045455, 0.0828966)","(122.66708593749999, 53.23168352272727, 0.774897)","(0.0, 0.0, 0)","(138.303384375, 257.9851846590909, 0.709012)","(137.85862187499998, 256.33303977272726, 0.702579)","(126.66807968750001, 257.1077215909091, 0.250634)","(132.054284375, 269.29282102272725, 0.614805)","(128.4714234375, 270.12016761363634, 0.638202)","(116.86601875000001, 263.67043181818184, 0.784134)"
17,"(130.72420156249999, 55.663521875, 0.847966)","(123.5407265625, 80.01741164772727, 0.826298)","(118.6483390625, 80.02921875, 0.802593)","(115.9489296875, 114.99183238636364, 0.871902)","(134.29818593750002, 119.03342897727273, 0.876516)","(128.0182515625, 79.23941704545456, 0.697175)","(127.58143125, 112.51403977272727, 0.284871)","(138.3094578125, 117.4050681818182, 0.231415)","(126.2317265625, 145.02434374999999, 0.625367)","(122.21344687499999, 145.02094602272726, 0.606645)","(120.8814953125, 198.65322159090908, 0.780493)","(119.98122499999998, 257.1366022727273, 0.749281)","(130.2476703125, 145.02434374999999, 0.573635)","(127.5716203125, 198.65237215909093, 0.787533)","(127.12592343749999, 250.6724261363636, 0.774781)","(129.368890625, 50.787358522727274, 0.801784)","(131.59924375, 50.811567329545454, 0.088571)","(122.66615156249999, 54.016388636363644, 0.775645)","(0.0, 0.0, 0)","(138.3150640625, 258.7641136363637, 0.712809)","(137.86749843750002, 256.33813636363635, 0.710777)","(126.6643421875, 256.3593721590909, 0.225836)","(132.05194843750002, 269.29367045454546, 0.606543)","(128.470021875, 270.11592045454546, 0.629975)","(116.86601875000001, 263.6500454545455, 0.793175)"
