,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(245.52992343749997, 114.18911931818181, 0.826599)","(257.59410625, 145.8194119318182, 0.775012)","(248.67736562499996, 146.64590909090907, 0.776145)","(247.76635, 179.13582670454548, 0.289956)","(237.04906875, 172.64956534090908, 0.504796)","(265.6470171875, 144.2258778409091, 0.742757)","(259.3923109375, 181.59832954545456, 0.842928)","(241.50276718749998, 172.63427556818183, 0.848733)","(258.04681093749997, 211.62914204545456, 0.642957)","(251.78603125000004, 207.5926420454545, 0.581064)","(223.1815421875, 218.1264460227273, 0.819702)","(227.21757499999998, 274.99335795454544, 0.74175)","(263.4204015625, 214.90030397727273, 0.59301)","(247.32812812500003, 224.62120170454546, 0.768941)","(249.114653125, 283.9582613636363, 0.649266)","(0.0, 0.0, 0)","(248.21858749999998, 112.50554545454547, 0.868865)","(0.0, 0.0, 0)","(255.80197499999997, 119.00624715909092, 0.872878)","(244.19096406249997, 289.6944744318182, 0.361097)","(248.2134484375, 296.95541761363637, 0.350285)","(252.23172812500002, 288.796625, 0.481081)","(214.7020890625, 282.30271875, 0.638018)","(215.58834375, 278.2764119318182, 0.570179)","(230.7920265625, 279.0850710227273, 0.652745)"
1,"(245.53506249999998, 114.13305681818181, 0.807234)","(257.5992453125, 145.8126164772727, 0.775086)","(248.68390624999998, 146.64421022727274, 0.771839)","(248.21298125, 178.33905965909088, 0.273283)","(237.03552031249998, 172.635125, 0.455184)","(265.649353125, 144.20209375, 0.741175)","(259.8272625, 181.6042755681818, 0.827322)","(241.52285625, 172.65890909090908, 0.837924)","(258.04447500000003, 211.62319602272729, 0.649612)","(251.7836953125, 207.59519034090908, 0.585716)","(223.1815421875, 218.1255965909091, 0.819205)","(227.2124359375, 274.9916590909091, 0.744577)","(263.4185328125, 214.09504261363634, 0.596768)","(247.329996875, 224.6220511363636, 0.771195)","(249.11605468750003, 283.9557130681818, 0.646036)","(0.0, 0.0, 0)","(248.23166875, 110.91880681818184, 0.856992)","(0.0, 0.0, 0)","(255.8286046875, 118.23581249999998, 0.862356)","(244.1928328125, 289.6927755681818, 0.354875)","(248.2134484375, 296.95541761363637, 0.343408)","(252.2349984375, 288.79492613636364, 0.474)","(214.266203125, 282.30271875, 0.63545)","(215.1571296875, 278.2798096590909, 0.567506)","(230.785953125, 279.079125, 0.647209)"
2,"(245.5523484375, 113.36517045454545, 0.82449)","(257.6057859375, 145.80667045454544, 0.772241)","(249.105309375, 145.874625, 0.768734)","(248.6750296875, 179.97336647727272, 0.22334)","(237.054675, 172.68439204545456, 0.324011)","(265.6507546875, 144.20973863636362, 0.74352)","(259.8529578125, 182.40104261363638, 0.8034)","(241.966684375, 172.68439204545456, 0.816287)","(258.0402703125, 211.63253977272726, 0.634321)","(251.77995781250002, 207.5994375, 0.570119)","(223.1768703125, 218.12729545454542, 0.813234)","(227.21056718749998, 275.00779829545456, 0.746874)","(263.4152625, 214.89605681818182, 0.588466)","(247.7546703125, 224.61780397727273, 0.766639)","(249.10624374999998, 283.9506164772727, 0.645241)","(0.0, 0.0, 0)","(248.6610140625, 111.70623011363637, 0.869598)","(0.0, 0.0, 0)","(256.25374531250003, 119.00879545454546, 0.856401)","(244.19516875, 289.68937784090906, 0.360768)","(248.2162515625, 296.95456818181816, 0.348029)","(251.8051859375, 288.0176960227273, 0.466134)","(214.2596625, 282.3001704545454, 0.616799)","(215.15105624999998, 278.27386363636367, 0.555577)","(230.78642031249998, 279.89033238636364, 0.646526)"
3,"(245.9896359375, 114.1390028409091, 0.801056)","(257.6029828125, 145.83130397727274, 0.785171)","(248.679234375, 146.6229744318182, 0.801485)","(248.660546875, 178.32631818181818, 0.32897)","(237.05187187500002, 172.6674034090909, 0.486361)","(266.07169062500003, 145.02944034090908, 0.765213)","(261.1760328125, 184.0073181818182, 0.815562)","(241.96621718750004, 173.4803096590909, 0.78766)","(257.6029828125, 210.85021306818183, 0.656328)","(251.3417359375, 207.58414772727272, 0.585623)","(222.75453281249997, 217.34157102272727, 0.808611)","(227.20542812500003, 275.0001534090909, 0.743783)","(263.412459375, 214.07380681818182, 0.604398)","(247.32672656249997, 223.83972443181815, 0.759405)","(249.10904687500002, 283.1614943181818, 0.65704)","(0.0, 0.0, 0)","(248.6740953125, 111.73511079545453, 0.866056)","(0.0, 0.0, 0)","(256.2691625, 119.0155909090909, 0.851496)","(244.19423437500004, 289.6910767045454, 0.365014)","(248.21718593750003, 296.95201988636364, 0.351898)","(252.2265890625, 288.00580397727276, 0.485887)","(214.26340000000002, 282.3001704545454, 0.632099)","(215.15759687500002, 278.2764119318182, 0.571993)","(230.778478125, 279.0893181818182, 0.653643)"
4,"(66.371459375, 59.721597443181814, 0.717296)","(61.43655781249999, 85.73230397727272, 0.807148)","(50.727218750000006, 80.88434176136364, 0.780371)","(47.152300000000004, 119.84888352272726, 0.859623)","(57.41734375000001, 150.72912784090911, 0.809512)","(70.39954999999999, 88.97033806818182, 0.79207)","(73.0760671875, 120.63121022727275, 0.842215)","(80.231978125, 126.30796306818182, 0.885623)","(59.662646875, 158.0316931818182, 0.656491)","(52.084865625, 157.22643181818182, 0.616921)","(51.614875, 210.0322102272727, 0.732834)","(47.58538281250001, 269.3267982954545, 0.731547)","(66.37753281250001, 158.83695454545452, 0.679827)","(61.45057343749999, 211.66991477272725, 0.692748)","(59.222089062500004, 261.2181221590909, 0.743112)","(63.6827953125, 54.85121022727272, 0.765704)","(68.149575, 55.64033238636364, 0.661154)","(56.097071875000005, 55.65018579545455, 0.916555)","(0.0, 0.0, 0)","(70.38833749999999, 272.5843693181818, 0.698283)","(70.3897390625, 270.1142215909091, 0.697537)","(56.54276875, 266.09471022727274, 0.554384)","(57.42014687500001, 280.69559375, 0.555201)","(52.9641125, 282.29932102272727, 0.516214)","(44.47344687500001, 275.7969204545455, 0.651999)"
5,"(247.7798984375, 114.16023863636363, 0.801916)","(258.49484375, 145.85084090909092, 0.819104)","(249.12025937500002, 146.6272215909091, 0.778056)","(249.1155875, 179.1400738636364, 0.296482)","(238.83559375, 173.47351420454547, 0.386707)","(266.10626249999996, 145.82111079545456, 0.783892)","(262.4963046875, 184.00561931818186, 0.840908)","(243.747603125, 176.69625852272728, 0.745835)","(257.6029828125, 211.63423863636362, 0.649108)","(251.3351953125, 208.40554829545457, 0.585136)","(222.2957546875, 218.12729545454542, 0.788413)","(227.203559375, 275.02053977272726, 0.73673)","(263.42227031249996, 214.88841193181818, 0.597105)","(247.32532500000002, 223.83717613636367, 0.762042)","(249.11652187500002, 283.95486363636365, 0.637826)","(248.23166875, 111.72576704545455, 0.0716912)","(249.56969375, 112.5318778409091, 0.82303)","(0.0, 0.0, 0)","(257.161490625, 119.80301420454543, 0.854398)","(244.190496875, 289.6885284090909, 0.359724)","(248.21485, 296.95456818181816, 0.349435)","(252.2349984375, 288.78898011363634, 0.482524)","(214.26340000000002, 282.2942244318182, 0.645311)","(215.15946562499997, 278.27726136363634, 0.590662)","(230.7780109375, 279.8962784090909, 0.636646)"
6,"(248.204571875, 114.19676420454545, 0.778721)","(258.923721875, 145.85763636363635, 0.825722)","(249.55474374999997, 146.6323181818182, 0.757076)","(250.44660468749998, 179.15196590909088, 0.281561)","(237.94233125, 173.47181534090907, 0.358182)","(266.5318703125, 145.83045454545456, 0.781584)","(262.5121890625, 184.80068749999998, 0.860322)","(242.41892187499997, 175.09507954545455, 0.752633)","(258.05195, 211.64358238636362, 0.639907)","(251.783228125, 208.40639772727272, 0.576144)","(222.74425468750002, 218.13154261363638, 0.804891)","(227.2030921875, 275.0171420454546, 0.745086)","(263.860025, 214.90879829545455, 0.593365)","(247.7593421875, 223.84312215909094, 0.761491)","(249.1272671875, 283.1546988636363, 0.67192)","(248.64886718750003, 112.50384659090908, 0.073181)","(250.00230937499995, 112.53952272727273, 0.819359)","(0.0, 0.0, 0)","(257.593171875, 119.03852556818184, 0.842069)","(244.1890953125, 289.6851306818182, 0.385401)","(248.21111249999998, 296.9511704545455, 0.365505)","(252.24013750000003, 288.00495454545455, 0.521459)","(214.69881875, 282.30526704545457, 0.655137)","(215.15946562499997, 279.06553409090907, 0.591214)","(230.7770765625, 279.8860852272727, 0.639963)"
7,"(248.2069078125, 114.16023863636363, 0.833281)","(258.93306562500004, 145.85423863636365, 0.834672)","(249.55754687499999, 146.63061931818183, 0.759666)","(251.3361296875, 178.33736079545454, 0.269525)","(239.72278281250001, 173.48540625, 0.354585)","(266.54448437499997, 145.82535795454547, 0.780023)","(262.95368125000005, 184.80833238636362, 0.858785)","(242.86415156249998, 175.8918465909091, 0.725267)","(258.4869015625, 211.63933522727274, 0.652573)","(251.78930156250001, 208.40639772727272, 0.589137)","(223.176403125, 218.12474715909087, 0.810426)","(227.2030921875, 275.0247869318182, 0.739078)","(264.30385312500005, 214.90030397727273, 0.597757)","(247.77008750000002, 223.8626590909091, 0.763321)","(249.12166093749997, 283.14365625, 0.673618)","(248.649334375, 111.70283238636364, 0.0874432)","(250.4550140625, 112.5174375, 0.823479)","(0.0, 0.0, 0)","(258.0384015625, 119.02748295454545, 0.836789)","(244.1918984375, 289.6927755681818, 0.369073)","(248.2181203125, 296.95201988636364, 0.355657)","(252.23406406249998, 287.99900852272725, 0.511248)","(214.7048921875, 282.30356818181815, 0.653491)","(215.5902125, 278.27811079545455, 0.589555)","(230.7789453125, 280.68794886363634, 0.640318)"
8,"(248.20176875, 114.1483465909091, 0.826072)","(258.9484828125, 145.8567869318182, 0.850552)","(250.011653125, 145.86443181818183, 0.7553)","(250.45828437499998, 178.32207102272727, 0.353905)","(234.80937187499998, 172.64956534090908, 0.477815)","(266.557565625, 145.85338920454544, 0.776175)","(262.53414687500003, 184.82617045454546, 0.86167)","(242.4072421875, 176.70645170454546, 0.751272)","(258.486434375, 211.6316903409091, 0.644456)","(251.7846296875, 208.40554829545457, 0.579428)","(223.1787390625, 217.3594090909091, 0.816627)","(227.2068296875, 275.8096619318182, 0.742746)","(264.3061890625, 214.09249431818182, 0.591499)","(247.76962031249997, 223.84567045454548, 0.749631)","(249.118390625, 283.9523153409091, 0.632066)","(248.23493906250002, 111.68924147727272, 0.0914434)","(250.452678125, 112.51149147727274, 0.816539)","(0.0, 0.0, 0)","(258.054753125, 119.02663352272727, 0.8437)","(244.19890625000002, 290.43942613636364, 0.346154)","(248.222325, 296.95456818181816, 0.345495)","(252.23266249999998, 288.7923778409091, 0.473249)","(214.26667031249997, 282.3001704545454, 0.629632)","(215.1580640625, 278.2755625, 0.575017)","(230.78268281249998, 280.7134318181818, 0.643337)"
9,"(248.20270312499997, 114.95700568181819, 0.824927)","(258.9531546875, 145.86358238636365, 0.855356)","(250.447071875, 146.63656534090907, 0.759928)","(251.80191562500002, 178.35349999999997, 0.312939)","(238.83419218749998, 175.08998295454546, 0.355001)","(266.97663281250004, 145.83300284090907, 0.774169)","(262.97236875, 185.64162499999998, 0.874396)","(242.41424999999998, 177.5320994318182, 0.753462)","(258.9269921875, 211.62489488636365, 0.659034)","(252.2293921875, 208.40894602272726, 0.57947)","(222.74238593750002, 218.13494034090908, 0.801356)","(227.2030921875, 275.8385426136364, 0.741737)","(264.7472140625, 213.28298579545455, 0.602033)","(247.7546703125, 223.81763920454543, 0.73906)","(249.12025937500002, 284.7754147727273, 0.591487)","(0.0, 0.0, 0)","(250.90117812500003, 112.53867329545454, 0.848777)","(0.0, 0.0, 0)","(258.92091875, 119.04532102272726, 0.874058)","(244.63712812500003, 290.4419744318182, 0.319671)","(248.66381718749997, 296.95881534090904, 0.322351)","(252.23266249999998, 288.8238068181818, 0.428619)","(213.81863750000002, 282.3171590909091, 0.62261)","(215.14545, 279.08167329545455, 0.565584)","(230.7770765625, 281.5127471590909, 0.626201)"
