,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
142,"(255.36889218750002, 86.54945738636364, 0.735554)","(258.93960625, 115.00372443181818, 0.817226)","(250.0027765625, 108.49367897727272, 0.720645)","(231.24192812500002, 131.21258238636364, 0.788117)","(233.015371875, 111.72151988636364, 0.682412)","(266.9771, 122.28505397727274, 0.734537)","(254.022925, 147.49703977272728, 0.763549)","(245.07301406250002, 120.69831534090909, 0.842482)","(244.63105468749998, 169.38944602272727, 0.673056)","(237.507846875, 163.71354261363638, 0.643609)","(213.3584578125, 171.81032670454545, 0.81623)","(209.3303671875, 223.80574715909088, 0.802419)","(250.90164531250002, 174.2660340909091, 0.625403)","(234.38937031249998, 182.38830113636362, 0.788831)","(226.30982968749998, 237.6727215909091, 0.704369)","(255.82486718750002, 81.67957982954546, 0.45295)","(258.9428765625, 85.73315340909092, 0.761448)","(0.0, 0.0, 0)","(266.5215921875, 93.85287215909091, 0.834205)","(219.629515625, 253.89432102272727, 0.620545)","(223.651065625, 254.70043181818184, 0.631059)","(225.428246875, 243.33163636363636, 0.474544)","(199.069528125, 231.1185056818182, 0.618138)","(199.067659375, 227.08795170454545, 0.58251)","(211.5836125, 228.71461363636362, 0.746501)"
143,"(255.82206406249998, 87.37510511363637, 0.6564)","(258.91905, 114.19931250000002, 0.842117)","(248.66007968750003, 107.65528977272726, 0.830525)","(231.23912499999997, 133.6496022727273, 0.68117)","(232.13846093749999, 123.09201420454546, 0.653822)","(267.43307500000003, 121.49678124999998, 0.729607)","(255.35954843750002, 151.53269034090908, 0.786292)","(245.07207968749998, 126.34788636363638, 0.851247)","(244.646471875, 168.5943778409091, 0.68062)","(237.935790625, 163.71863920454544, 0.645047)","(212.93985781249998, 171.82816477272726, 0.83216)","(208.915971875, 223.0361619318182, 0.796388)","(251.342203125, 173.47181534090907, 0.644285)","(234.3753546875, 184.01411363636365, 0.805374)","(226.3051578125, 238.4491022727273, 0.698466)","(255.83467812499998, 82.50573721590908, 0.471425)","(259.389975, 87.3224403409091, 0.685615)","(0.0, 0.0, 0)","(266.537009375, 93.83503409090909, 0.807237)","(219.63138437499998, 253.0805653409091, 0.616898)","(223.652934375, 253.90196590909093, 0.632968)","(225.43338593750002, 243.34182954545452, 0.46439)","(198.6392484375, 230.3557159090909, 0.617154)","(198.637846875, 227.0760596590909, 0.578352)","(211.5747359375, 228.71376420454544, 0.7461)"
144,"(255.3726296875, 84.9112431818182, 0.719087)","(258.4878359375, 114.13050852272725, 0.862285)","(248.67362812500002, 106.83813636363637, 0.84722)","(235.7087078125, 127.17183522727274, 0.490601)","(229.446059375, 127.9957840909091, 0.234925)","(266.9999921875, 120.68557386363638, 0.766274)","(255.836546875, 153.95442045454547, 0.813736)","(246.42645624999997, 130.40817045454546, 0.773836)","(244.65861874999996, 166.98555397727273, 0.70102)","(237.933921875, 162.08603125000002, 0.650386)","(213.35799062499999, 171.03904261363635, 0.80939)","(209.32803124999998, 223.01322727272725, 0.783137)","(251.78135937499997, 172.67080113636362, 0.66988)","(234.3856328125, 183.22414204545456, 0.79747)","(226.32945156250003, 237.65743181818183, 0.722304)","(255.827203125, 80.87771619318181, 0.372352)","(258.925590625, 83.30250426136362, 0.671073)","(0.0, 0.0, 0)","(266.08150156249997, 93.01618181818182, 0.81692)","(219.6299828125, 252.28379829545455, 0.603465)","(223.6543359375, 253.8841278409091, 0.617513)","(226.3229109375, 243.3197443181818, 0.469099)","(198.6345765625, 231.11595738636365, 0.627414)","(198.6308390625, 227.0896505681818, 0.575867)","(211.58174375000002, 228.697625, 0.723433)"
145,"(255.3511390625, 87.31819318181819, 0.748853)","(258.4812953125, 114.15259375000001, 0.860626)","(248.2335375, 106.8636193181818, 0.852698)","(235.7105765625, 132.81036363636363, 0.602439)","(233.921715625, 132.83414772727272, 0.704505)","(267.4288703125, 120.68727272727274, 0.771159)","(258.91905, 156.40673011363637, 0.788556)","(247.773825, 132.87152272727272, 0.85141)","(244.6450703125, 166.97451136363637, 0.710366)","(237.9315859375, 162.10132102272726, 0.661008)","(212.9440625, 171.03734375, 0.808096)","(209.33176874999998, 223.0140767045455, 0.787771)","(251.342203125, 172.65466193181817, 0.677316)","(234.3898375, 183.21989488636365, 0.798308)","(226.32945156250003, 237.67526988636365, 0.720027)","(255.37963749999997, 82.463265625, 0.371401)","(258.0430734375, 86.52567329545455, 0.692128)","(0.0, 0.0, 0)","(265.649353125, 93.01788068181818, 0.809796)","(219.6243765625, 253.07801704545454, 0.610205)","(223.6477953125, 253.89941761363636, 0.625405)","(226.327115625, 243.33758238636364, 0.489844)","(198.641584375, 230.3557159090909, 0.649856)","(198.6355109375, 227.08200568181817, 0.590758)","(211.5836125, 228.69252840909093, 0.725855)"
146,"(252.68583437499998, 84.90860994318183, 0.775224)","(258.0477453125, 114.19336647727272, 0.821118)","(248.226996875, 107.63065625, 0.845404)","(237.94092968750002, 132.82140625000002, 0.500621)","(234.3678796875, 133.65384943181817, 0.579786)","(266.98504218749997, 121.49253409090907, 0.739522)","(258.9335328125, 158.02234943181816, 0.803422)","(248.20130156250002, 137.72262784090907, 0.819137)","(244.63712812500003, 167.77297727272725, 0.691944)","(237.92644687499998, 162.89978693181817, 0.649743)","(213.37060468750002, 171.03054829545457, 0.796198)","(208.91503749999998, 223.0293664772727, 0.78938)","(251.33472812500003, 172.68778977272729, 0.653506)","(234.3898375, 184.01241477272725, 0.794582)","(226.32805, 237.66932386363638, 0.721721)","(254.91805625, 80.87372386363636, 0.202937)","(255.83607968750002, 84.11362670454544, 0.775315)","(0.0, 0.0, 0)","(262.98731875, 93.81379829545455, 0.869814)","(220.0569921875, 252.26511079545455, 0.611813)","(223.6599421875, 253.08396306818182, 0.624464)","(226.31964062499998, 243.3307869318182, 0.48575)","(198.18701093750002, 231.15163352272728, 0.607491)","(198.18654375, 228.70696875000002, 0.552909)","(211.57380156250002, 228.71376420454544, 0.723263)"
147,"(251.809390625, 88.17187215909091, 0.840589)","(257.59363906249996, 114.97654261363637, 0.802639)","(247.76074375, 107.69776136363636, 0.826219)","(241.53033125000002, 133.68697727272726, 0.457887)","(234.81778125, 135.27541477272726, 0.402548)","(266.992984375, 121.49763068181817, 0.753697)","(260.27622968750006, 158.00451136363637, 0.716466)","(245.9877671875, 140.13501420454546, 0.799103)","(244.63385781249997, 167.7908153409091, 0.700733)","(237.93859375, 163.72033806818183, 0.682748)","(213.36780156249998, 171.80183238636363, 0.809471)","(209.3303671875, 223.82698295454546, 0.80837)","(250.8932359375, 172.6809943181818, 0.662551)","(234.3898375, 184.00222159090907, 0.787741)","(226.7480515625, 238.45080113636365, 0.716712)","(252.23826875, 85.70851988636363, 0.435751)","(255.37403125, 87.38444886363635, 0.850745)","(0.0, 0.0, 0)","(262.95368125000005, 93.82908806818182, 0.895472)","(220.057459375, 251.4539034090909, 0.619757)","(223.65340156250002, 252.27020738636367, 0.627744)","(226.7564609375, 244.12160795454545, 0.476563)","(198.17392968750002, 231.94840056818182, 0.581893)","(198.17392968750002, 229.51817613636362, 0.545234)","(211.586415625, 229.51817613636362, 0.746745)"
148,"(250.89510468749998, 89.80278125000001, 0.742588)","(256.718596875, 115.78944886363637, 0.764386)","(247.77756250000002, 110.09061079545454, 0.749043)","(244.19703750000002, 138.51514772727273, 0.367849)","(237.4770125, 138.52703977272728, 0.538931)","(266.536075, 121.47044886363636, 0.749774)","(261.17369687499996, 158.0444346590909, 0.686013)","(245.09730781250002, 144.21823295454547, 0.793818)","(245.0823578125, 168.59013068181815, 0.692607)","(238.3969046875, 164.50351420454547, 0.664923)","(213.3776125, 171.8043806818182, 0.800564)","(209.3341046875, 223.82868181818185, 0.801901)","(251.34967812499997, 173.4531278409091, 0.658813)","(234.80750312499998, 184.80323579545455, 0.805562)","(226.75459218749998, 238.44740340909092, 0.729674)","(251.33753125, 87.34367613636364, 0.34132)","(253.1432109375, 88.1820653409091, 0.819857)","(0.0, 0.0, 0)","(262.05761562500004, 93.81889488636364, 0.862222)","(220.05932812499998, 251.46664488636364, 0.621205)","(223.6571390625, 252.28125, 0.626712)","(226.3285171875, 243.34437784090906, 0.48775)","(198.1795359375, 231.95604545454546, 0.578296)","(198.17906875, 229.52242329545453, 0.542344)","(212.0148265625, 229.519875, 0.749687)"
149,"(250.44380156250003, 88.98053125, 0.727266)","(256.2743015625, 114.98673579545455, 0.798073)","(247.31971875000002, 108.49877556818181, 0.765954)","(237.945134375, 133.67253693181817, 0.311749)","(235.261609375, 134.4608096590909, 0.326158)","(266.5215921875, 121.46110511363638, 0.766551)","(260.278565625, 158.8114715909091, 0.74876)","(244.19143125, 146.64251136363637, 0.798343)","(244.65020937500003, 169.39539204545454, 0.692706)","(237.95354375, 163.71354261363638, 0.663003)","(213.3790140625, 171.79758522727272, 0.800345)","(209.33270312500002, 223.82953124999997, 0.800136)","(251.34594062500003, 174.2660340909091, 0.642518)","(234.3800265625, 184.80748295454546, 0.814621)","(226.7517890625, 237.6591306818182, 0.73436)","(250.89510468749998, 86.52482386363637, 0.172608)","(252.69330937499996, 88.1480880681818, 0.794119)","(0.0, 0.0, 0)","(260.73220468750003, 93.82653977272727, 0.844175)","(220.0560578125, 251.47513920454546, 0.623)","(223.65667187500003, 252.28634659090906, 0.625939)","(226.3229109375, 243.32569034090906, 0.473297)","(198.18654375, 231.94925, 0.585079)","(198.1832734375, 229.51647727272726, 0.548325)","(212.01295781250002, 229.52582102272729, 0.744823)"
150,"(249.123996875, 89.78154545454545, 0.659106)","(255.7982375, 114.97739204545455, 0.824151)","(245.5551515625, 110.90691477272728, 0.74279)","(236.5982328125, 133.66064488636366, 0.255001)","(233.93246093750003, 132.8579318181818, 0.420498)","(265.1919765625, 120.6694346590909, 0.736529)","(259.831, 158.8199659090909, 0.788558)","(241.955471875, 152.36513352272726, 0.812232)","(244.64740625, 170.2006534090909, 0.65698)","(237.9334546875, 164.50436363636362, 0.627997)","(213.3593921875, 171.83920738636365, 0.833822)","(209.33690781250002, 224.62459943181815, 0.818187)","(251.34594062500003, 175.0882840909091, 0.605818)","(234.370215625, 184.82362215909092, 0.824622)","(226.75132187499997, 238.4711875, 0.710855)","(249.56595625, 87.33263352272728, 0.183155)","(252.24013750000003, 88.15743181818182, 0.719279)","(0.0, 0.0, 0)","(259.8295984375, 93.86136647727272, 0.885812)","(220.0840890625, 252.27530397727273, 0.618884)","(224.1056390625, 253.8900738636364, 0.639129)","(226.31543593749998, 244.11566193181818, 0.48001)","(198.18280625, 232.78424147727273, 0.636001)","(198.18794531249998, 230.33872727272728, 0.613622)","(212.0241703125, 230.3242869318182, 0.798248)"
151,"(59.6743265625, 28.84840340909091, 0.665519)","(46.7053884375, 60.54053465909091, 0.63348)","(44.47629671875001, 62.15555937500001, 0.732104)","(62.320009375000005, 106.8746619318182, 0.824448)","(90.9431859375, 106.88485511363636, 0.834903)","(49.380784375, 57.284067897727276, 0.473403)","(58.7614421875, 107.66038636363638, 0.0811348)","(0.0, 0.0, 0)","(51.6190796875, 145.84574431818183, 0.558484)","(46.259224375, 146.65780113636362, 0.514255)","(47.583046874999994, 203.52980965909092, 0.660261)","(41.78697859375001, 270.1515965909091, 0.673872)","(56.5394984375, 145.82790624999998, 0.477301)","(52.0591703125, 202.70755965909092, 0.658662)","(50.276849999999996, 246.5773153409091, 0.694874)","(58.3026640625, 23.195604545454547, 0.765606)","(0.0, 0.0, 0)","(48.932284375, 26.412317897727274, 0.82291)","(0.0, 0.0, 0)","(65.46324687500001, 256.3211477272727, 0.697602)","(64.571853125, 253.06782386363636, 0.587364)","(48.0497671875, 251.45560227272728, 0.531139)","(56.98753125, 283.1334630681818, 0.664848)","(53.852703125, 283.9642073863636, 0.552594)","(38.21533015625, 275.82665056818183, 0.668015)"
152,"(248.68203750000004, 89.80872727272727, 0.702074)","(255.83094062499998, 114.98248863636364, 0.805204)","(247.31831718749996, 110.10844886363637, 0.703345)","(234.81497812499998, 129.6029090909091, 0.26877)","(232.5757484375, 139.34674147727273, 0.167212)","(265.639075, 120.67283238636362, 0.754871)","(259.8454828125, 158.81401988636364, 0.791351)","(241.51865156249997, 159.64136647727273, 0.755486)","(244.655815625, 169.4106818181818, 0.611724)","(237.5055109375, 164.5205028409091, 0.591306)","(214.701621875, 171.85279829545453, 0.808581)","(209.799890625, 223.82528409090907, 0.780123)","(251.785096875, 174.27367897727274, 0.584224)","(234.81217500000002, 184.82107386363634, 0.795511)","(226.781221875, 238.44825284090905, 0.742247)","(248.6881109375, 87.35556818181819, 0.301441)","(252.22612187499996, 88.16677556818182, 0.737253)","(0.0, 0.0, 0)","(259.411465625, 93.82653977272727, 0.880779)","(220.089228125, 253.88327840909093, 0.645241)","(224.5419921875, 254.69873295454548, 0.668978)","(226.758796875, 243.34777556818185, 0.499934)","(199.95998749999998, 230.3608125, 0.623339)","(199.95811875, 227.08285511363636, 0.57881)","(212.903884375, 229.51732670454547, 0.806572)"
153,"(248.20971093749998, 93.02212784090909, 0.84472)","(256.257015625, 114.98248863636364, 0.800304)","(247.76121093750004, 109.29978977272728, 0.727082)","(237.0457984375, 128.80104545454546, 0.388191)","(233.4708796875, 139.35353693181818, 0.266143)","(265.643746875, 120.68047727272729, 0.755175)","(259.407728125, 159.628625, 0.830165)","(240.6235203125, 161.29351136363633, 0.718482)","(244.6460046875, 170.2244375, 0.62372)","(237.4802828125, 165.31896874999998, 0.604613)","(214.70068750000002, 172.62408238636365, 0.8093)","(209.7975546875, 223.82953124999997, 0.770956)","(251.78789999999998, 175.10187499999998, 0.576011)","(235.25740468749999, 184.0073181818182, 0.746485)","(226.78589374999999, 238.46014488636365, 0.739288)","(248.22139062499997, 88.15998011363638, 0.330438)","(250.90024375, 89.78749147727274, 0.783964)","(0.0, 0.0, 0)","(259.38483593750004, 93.85117329545454, 0.939966)","(220.51250000000002, 253.08226420454545, 0.641459)","(224.9811484375, 253.9028153409091, 0.658358)","(226.76440312500003, 243.3494744318182, 0.493249)","(199.08120781250003, 230.34297443181816, 0.62285)","(199.51989687499997, 227.07096306818184, 0.573244)","(212.90294999999998, 229.5326164772727, 0.799974)"
