,R2_X,R2_Y,R2_Z,R2_Avg,Pearson_X,Pearson_Y,Pearson_Z,Pearson_Avg,PVal_X,PVal_Y,PVal_Z,PVal_Avg
Training,0.7638078201704168,0.9408094078144242,0.3026064897629257,0.6691,0.8799291448156545,0.9707334868484268,0.5508766469273054,0.8005,0.0,0.0,0.0,0.0
Validation,0.6747261565206044,0.9467056863062285,0.31585775537170224,0.6458,0.8432564936375241,0.9741134831057007,0.6028890470088095,0.8068,0.0,0.0,0.0,0.0
Testing,0.7503925595522606,0.9469108896098913,0.05624480113926378,0.5845,0.8709426218848944,0.9737566184010189,0.37233555081991476,0.739,0.0,0.0,0.0,0.0
