Datetime,valueACC
2021-10-15 19:19:48.044480,"[20, 7, 61]"
2021-10-15 19:19:48.075730,"[22, 0, 57]"
2021-10-15 19:19:48.106980,"[15, 0, 57]"
2021-10-15 19:19:48.138240,"[16, 2, 58]"
2021-10-15 19:19:48.169490,"[23, 2, 63]"
2021-10-15 19:19:48.200740,"[21, 3, 62]"
2021-10-15 19:19:48.231990,"[15, 2, 59]"
2021-10-15 19:19:48.263240,"[10, 3, 60]"
2021-10-15 19:19:48.294490,"[10, 5, 61]"
2021-10-15 19:19:48.325740,"[17, 3, 61]"
2021-10-15 19:19:48.357000,"[17, 1, 61]"
2021-10-15 19:19:48.388250,"[15, 2, 59]"
2021-10-15 19:19:48.419500,"[19, 3, 57]"
2021-10-15 19:19:48.450750,"[22, 4, 61]"
2021-10-15 19:19:48.482000,"[15, 1, 62]"
2021-10-15 19:19:48.513250,"[16, 5, 58]"
2021-10-15 19:19:48.544500,"[19, 8, 59]"
2021-10-15 19:19:48.575760,"[17, 3, 64]"
2021-10-15 19:19:48.607010,"[15, 7, 63]"
2021-10-15 19:19:48.638260,"[17, 6, 66]"
2021-10-15 19:19:48.669510,"[14, 7, 69]"
2021-10-15 19:19:48.700760,"[13, 5, 67]"
2021-10-15 19:19:48.732010,"[15, 4, 58]"
2021-10-15 19:19:48.763260,"[14, 5, 56]"
2021-10-15 19:19:48.794520,"[11, 0, 57]"
2021-10-15 19:19:48.825770,"[11, 1, 56]"
2021-10-15 19:19:48.857020,"[12, 2, 56]"
2021-10-15 19:19:48.888270,"[10, 5, 53]"
2021-10-15 19:19:48.919520,"[7, 0, 47]"
2021-10-15 19:19:48.950770,"[9, 0, 52]"
2021-10-15 19:19:48.982020,"[7, 10, 54]"
2021-10-15 19:19:49.013280,"[5, 6, 62]"
2021-10-15 19:19:49.044530,"[5, 13, 71]"
2021-10-15 19:19:49.075780,"[7, 11, 83]"
2021-10-15 19:19:49.107030,"[17, 13, 79]"
2021-10-15 19:19:49.138280,"[14, 12, 75]"
2021-10-15 19:19:49.169530,"[18, 13, 70]"
2021-10-15 19:19:49.200780,"[25, 12, 67]"
2021-10-15 19:19:49.232040,"[27, 10, 65]"
2021-10-15 19:19:49.263290,"[21, 8, 55]"
2021-10-15 19:19:49.294540,"[26, 7, 54]"
2021-10-15 19:19:49.325790,"[25, 1, 50]"
2021-10-15 19:19:49.357040,"[19, 2, 47]"
2021-10-15 19:19:49.388290,"[17, 1, 47]"
2021-10-15 19:19:49.419540,"[23, 3, 52]"
2021-10-15 19:19:49.450800,"[19, 4, 54]"
2021-10-15 19:19:49.482050,"[16, 1, 56]"
2021-10-15 19:19:49.513300,"[14, 8, 61]"
2021-10-15 19:19:49.544550,"[12, 7, 61]"
2021-10-15 19:19:49.575800,"[10, 6, 63]"
2021-10-15 19:19:49.607050,"[11, 6, 63]"
2021-10-15 19:19:49.638310,"[13, 8, 63]"
2021-10-15 19:19:49.669560,"[17, 8, 63]"
2021-10-15 19:19:49.700810,"[14, 6, 61]"
2021-10-15 19:19:49.732060,"[13, 4, 57]"
2021-10-15 19:19:49.763310,"[9, 8, 47]"
