Datetime,valueACC
2021-10-15 19:18:14.665160,"[-7, 9, 9]"
2021-10-15 19:18:14.696410,"[61, 11, -27]"
2021-10-15 19:18:14.727660,"[111, -7, -1]"
2021-10-15 19:18:14.758910,"[127, -7, 9]"
2021-10-15 19:18:14.790160,"[106, 9, 1]"
2021-10-15 19:18:14.821420,"[64, 3, 4]"
2021-10-15 19:18:14.852670,"[8, -13, 21]"
2021-10-15 19:18:14.883920,"[19, -9, 31]"
2021-10-15 19:18:14.915170,"[46, 2, 36]"
2021-10-15 19:18:14.946420,"[55, 2, 39]"
2021-10-15 19:18:14.977670,"[53, 3, 46]"
2021-10-15 19:18:15.008920,"[41, 9, 43]"
2021-10-15 19:18:15.040180,"[59, -2, 46]"
2021-10-15 19:18:15.071430,"[56, -2, 49]"
2021-10-15 19:18:15.102680,"[40, 8, 52]"
2021-10-15 19:18:15.133930,"[43, -4, 43]"
2021-10-15 19:18:15.165180,"[37, -2, 36]"
2021-10-15 19:18:15.196430,"[34, 2, 44]"
2021-10-15 19:18:15.227680,"[33, -3, 47]"
2021-10-15 19:18:15.258940,"[31, 1, 53]"
2021-10-15 19:18:15.290190,"[37, 9, 50]"
2021-10-15 19:18:15.321440,"[40, -2, 54]"
2021-10-15 19:18:15.352690,"[39, 6, 58]"
2021-10-15 19:18:15.383940,"[41, 2, 56]"
2021-10-15 19:18:15.415190,"[42, 0, 52]"
2021-10-15 19:18:15.446440,"[23, 4, 49]"
2021-10-15 19:18:15.477700,"[-10, 0, 49]"
2021-10-15 19:18:15.508950,"[-5, 1, 39]"
2021-10-15 19:18:15.540200,"[55, 5, 34]"
2021-10-15 19:18:15.571450,"[68, 1, 27]"
2021-10-15 19:18:15.602700,"[96, -5, 25]"
2021-10-15 19:18:15.633950,"[104, 3, 27]"
2021-10-15 19:18:15.665200,"[77, 5, 16]"
2021-10-15 19:18:15.696460,"[34, -8, 18]"
2021-10-15 19:18:15.727710,"[61, -1, 36]"
2021-10-15 19:18:15.758960,"[50, 4, 33]"
2021-10-15 19:18:15.790210,"[44, -2, 41]"
2021-10-15 19:18:15.821460,"[54, -1, 46]"
2021-10-15 19:18:15.852710,"[35, 4, 47]"
2021-10-15 19:18:15.883960,"[20, 2, 46]"
2021-10-15 19:18:15.915220,"[24, 1, 50]"
2021-10-15 19:18:15.946470,"[19, 4, 57]"
2021-10-15 19:18:15.977720,"[16, 1, 60]"
2021-10-15 19:18:16.008970,"[19, 3, 64]"
2021-10-15 19:18:16.040220,"[13, 3, 67]"
2021-10-15 19:18:16.071470,"[8, 5, 61]"
2021-10-15 19:18:16.102720,"[16, 3, 61]"
2021-10-15 19:18:16.133980,"[14, 5, 63]"
2021-10-15 19:18:16.165230,"[12, 2, 61]"
2021-10-15 19:18:16.196480,"[18, 5, 62]"
2021-10-15 19:18:16.227730,"[15, 3, 61]"
2021-10-15 19:18:16.258980,"[14, 1, 58]"
2021-10-15 19:18:16.290230,"[17, 6, 51]"
2021-10-15 19:18:16.321480,"[23, 1, 51]"
2021-10-15 19:18:16.352740,"[22, 3, 57]"
2021-10-15 19:18:16.383990,"[25, 3, 60]"
2021-10-15 19:18:16.415240,"[36, 5, 60]"
2021-10-15 19:18:16.446490,"[31, 5, 34]"
2021-10-15 19:18:16.477740,"[-2, 12, -10]"
2021-10-15 19:18:16.508990,"[-5, 19, -8]"
2021-10-15 19:18:16.540250,"[23, 15, 15]"
