Datetime,valueACC
2021-10-15 18:57:51.444650,"[50, 1, 35]"
2021-10-15 18:57:51.475900,"[53, 0, 36]"
2021-10-15 18:57:51.507150,"[54, 1, 37]"
2021-10-15 18:57:51.538410,"[52, 1, 39]"
2021-10-15 18:57:51.569660,"[52, 0, 39]"
2021-10-15 18:57:51.600910,"[52, 1, 39]"
2021-10-15 18:57:51.632160,"[50, 0, 39]"
2021-10-15 18:57:51.663410,"[48, 1, 39]"
2021-10-15 18:57:51.694660,"[51, 0, 38]"
2021-10-15 18:57:51.725910,"[51, 2, 38]"
2021-10-15 18:57:51.757170,"[50, 1, 38]"
2021-10-15 18:57:51.788420,"[51, 1, 38]"
2021-10-15 18:57:51.819670,"[51, 1, 38]"
2021-10-15 18:57:51.850920,"[51, 2, 37]"
2021-10-15 18:57:51.882170,"[50, 1, 37]"
2021-10-15 18:57:51.913420,"[50, 1, 37]"
2021-10-15 18:57:51.944670,"[51, 1, 37]"
2021-10-15 18:57:51.975930,"[51, 2, 37]"
2021-10-15 18:57:52.007180,"[51, 2, 37]"
2021-10-15 18:57:52.038430,"[54, 2, 38]"
2021-10-15 18:57:52.069680,"[52, 0, 37]"
2021-10-15 18:57:52.100930,"[47, 0, 36]"
2021-10-15 18:57:52.132180,"[47, 0, 39]"
2021-10-15 18:57:52.163430,"[45, -1, 40]"
2021-10-15 18:57:52.194690,"[50, -1, 44]"
2021-10-15 18:57:52.225940,"[48, 1, 43]"
2021-10-15 18:57:52.257190,"[49, 1, 45]"
2021-10-15 18:57:52.288440,"[48, 1, 42]"
2021-10-15 18:57:52.319690,"[47, 2, 40]"
2021-10-15 18:57:52.350940,"[46, 1, 39]"
2021-10-15 18:57:52.382190,"[46, 2, 40]"
2021-10-15 18:57:52.413450,"[49, 2, 40]"
2021-10-15 18:57:52.444700,"[51, 3, 39]"
2021-10-15 18:57:52.475950,"[48, 2, 39]"
2021-10-15 18:57:52.507200,"[47, 2, 39]"
2021-10-15 18:57:52.569700,"[50, 2, 39]"
2021-10-15 18:57:52.600950,"[50, 2, 39]"
2021-10-15 18:57:52.632210,"[50, 2, 38]"
2021-10-15 18:57:52.663460,"[53, 2, 40]"
2021-10-15 18:57:52.694710,"[52, 2, 40]"
2021-10-15 18:57:52.725960,"[51, 2, 39]"
2021-10-15 18:57:52.757210,"[50, 1, 38]"
2021-10-15 18:57:52.788460,"[50, 2, 37]"
2021-10-15 18:57:52.819710,"[49, 2, 37]"
2021-10-15 18:57:52.850970,"[47, 1, 37]"
2021-10-15 18:57:52.882220,"[53, 3, 34]"
2021-10-15 18:57:52.913470,"[56, 2, 34]"
2021-10-15 18:57:52.944720,"[56, 3, 34]"
2021-10-15 18:57:52.975970,"[56, 3, 33]"
2021-10-15 18:57:53.007220,"[55, 3, 32]"
2021-10-15 18:57:53.038480,"[54, 2, 32]"
2021-10-15 18:57:53.069730,"[54, 3, 33]"
