Datetime,valueACC
2021-10-15 18:56:17.502800,"[14, 48, -43]"
2021-10-15 18:56:17.534050,"[15, 95, -33]"
2021-10-15 18:56:17.565300,"[14, 103, -21]"
2021-10-15 18:56:17.596560,"[-4, 123, -14]"
2021-10-15 18:56:17.627810,"[-1, 127, 23]"
2021-10-15 18:56:17.659060,"[-8, 127, 37]"
2021-10-15 18:56:17.690310,"[16, 127, 89]"
2021-10-15 18:56:17.721560,"[31, 127, 127]"
2021-10-15 18:56:17.752810,"[0, 127, 127]"
2021-10-15 18:56:17.784070,"[-83, 127, 127]"
2021-10-15 18:56:17.815320,"[-76, 127, 127]"
2021-10-15 18:56:17.846570,"[-38, 127, 127]"
2021-10-15 18:56:17.877820,"[41, 127, 95]"
2021-10-15 18:56:17.909070,"[36, 127, 82]"
2021-10-15 18:56:17.940320,"[41, 127, 21]"
2021-10-15 18:56:17.971570,"[78, 127, -1]"
2021-10-15 18:56:18.002830,"[73, 127, -6]"
2021-10-15 18:56:18.034080,"[93, 127, -30]"
2021-10-15 18:56:18.065330,"[107, 127, 8]"
2021-10-15 18:56:18.096580,"[86, 127, -10]"
2021-10-15 18:56:18.127830,"[29, 127, -46]"
2021-10-15 18:56:18.159080,"[-7, 127, -54]"
2021-10-15 18:56:18.190330,"[-128, 93, -128]"
2021-10-15 18:56:18.221590,"[-128, 63, -128]"
2021-10-15 18:56:18.252840,"[-128, 62, -128]"
2021-10-15 18:56:18.284090,"[-128, 65, -122]"
2021-10-15 18:56:18.315340,"[-128, 127, -108]"
2021-10-15 18:56:18.346590,"[-77, 127, -106]"
2021-10-15 18:56:18.377840,"[73, 127, -94]"
2021-10-15 18:56:18.409090,"[108, 127, -81]"
2021-10-15 18:56:18.440350,"[124, 127, -93]"
2021-10-15 18:56:18.471600,"[127, 127, -76]"
2021-10-15 18:56:18.502850,"[127, 127, -75]"
2021-10-15 18:56:18.534100,"[127, 127, 57]"
2021-10-15 18:56:18.565350,"[127, 127, 127]"
2021-10-15 18:56:18.596600,"[127, 127, 127]"
2021-10-15 18:56:18.627850,"[127, 127, 127]"
2021-10-15 18:56:18.659110,"[127, 127, 127]"
2021-10-15 18:56:18.690360,"[125, 127, 127]"
2021-10-15 18:56:18.721610,"[99, 127, 78]"
2021-10-15 18:56:18.752860,"[127, 127, 69]"
2021-10-15 18:56:18.784110,"[114, 127, 18]"
2021-10-15 18:56:18.815360,"[96, 127, -19]"
2021-10-15 18:56:18.846610,"[75, 127, -27]"
2021-10-15 18:56:18.877870,"[56, 127, -16]"
2021-10-15 18:56:18.909120,"[37, 127, -19]"
2021-10-15 18:56:18.940370,"[32, 127, -16]"
2021-10-15 18:56:18.971620,"[2, 120, -8]"
2021-10-15 18:56:19.002870,"[-25, 113, -17]"
