Datetime,Subject,Movimiento,Repetition,Nose_X,Nose_Y,Neck_X,Neck_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Right_Hip_X,Right_Hip_Y,Right_Knee_X,Right_Knee_Y,Right_Ankle_X,Right_Ankle_Y,Left_Hip_X,Left_Hip_Y,Left_Knee_X,Left_Knee_Y,Left_Ankle_X,Left_Ankle_Y,Pierna_acc_z,Pierna_acc_y,Pierna_acc_x,Brazo_acc_x,Brazo_acc_y,Brazo_acc_z
2022-05-11 18:02:22.120,15,1,2,0.2498650836374611,1.1268599803597896,0.14974263649576908,0.9806580243728171,0.04090217593346461,0.974081300481743,0.08069343480621463,0.7760195554074873,0.2415479239774332,0.654943892025005,0.22477707981607636,0.9699813881595887,0.25615408291967534,0.8033410180545388,0.29586970622796654,0.6553946503315671,0.07947030816886741,0.6194361054408308,0.23259985603130956,0.3639464872350786,0.3998849053726825,0.04204697112309175,0.18402198229588118,0.6029304658343557,0.19343285298096613,0.38192846155732085,0.2728210582991673,0.17956646151574462,1.8332642582781808,9.566984626656533,-1.3859464286330854,0.52048124908061,9.995871554722152,0.31892188920753456
2022-05-11 18:02:22.130,15,1,2,0.2587943449613181,1.126779848126012,0.15936774366756573,0.9802745175449283,0.05488454045506551,0.9729522143979286,0.09504865556793755,0.7755396635463967,0.2580761260437731,0.6582147004583374,0.2314881242497991,0.9714649076615429,0.2666134267931948,0.8047414109736399,0.3099390381941096,0.6565185354620715,0.09331554413087498,0.6199247504166734,0.24910684750775178,0.36235882530187635,0.41070380629534464,0.048828933177957,0.19185816376259618,0.6063374892655946,0.19357875018452317,0.38164436932690715,0.27421620406627906,0.18811083811741502,2.2350067921737766,9.67216450299727,-0.953408791734456,0.4092398972120997,9.949728137845348,0.4258599570838835
2022-05-11 18:02:22.140,15,1,2,0.26752167420507883,1.1267236141515335,0.16874164139358694,0.9801491668417297,0.0704742117810316,0.9718114145804173,0.11009009711446022,0.774715744348915,0.27344156820571186,0.6609289174519679,0.23849019364001545,0.973104494003977,0.2772634657590451,0.8061398874809704,0.32403400408954675,0.657510269281115,0.10763448297506056,0.6204116752976008,0.264493715705082,0.36033996600710005,0.41539279084285047,0.05580404855393928,0.2005261468163995,0.6099554186856082,0.1963332165468648,0.38044229648169314,0.27649934625678096,0.1944375549723194,2.606889013535733,9.838118545375282,-0.4088879516811756,0.2665746305787688,9.806700464082676,0.5895832652387466
2022-05-11 18:02:22.150,15,1,2,0.2761281835980379,1.1267003310723844,0.1780965146711309,0.9802692279017706,0.08732093310893971,0.97077061389321,0.12547585617496584,0.7736316132965242,0.2877654834914085,0.6630527677556366,0.24597588901319004,0.9748289457550436,0.2881677015696805,0.8073905586787027,0.3380425602731393,0.65847645566222,0.1220780280801991,0.6209591388493929,0.27757173977803185,0.3580152099105216,0.41323111561370024,0.06270521654333772,0.210153745323248,0.6135739914110678,0.20234540077737087,0.37842462589834724,0.2805007354613097,0.1980778034121573,2.9103110100128347,10.053500533927519,0.23470719036228582,0.11063585759425074,9.550621855871466,0.8111379876999333
2022-05-11 18:02:22.160,15,1,2,0.2847007733649453,1.1267168116076378,0.18765288424301332,0.9806123747791871,0.10504557120392559,0.9699285709537295,0.14087391565947385,0.7723779428789177,0.30118448769017536,0.6645549394422563,0.2541131567002085,0.9765592551994691,0.2993578411515293,0.8083653263231003,0.3518520817334484,0.6595264174342241,0.1363266538930416,0.6216053309622445,0.2873336400887391,0.35548564764770507,0.40376485398609546,0.06928303184473128,0.22081953147075514,0.6169730015243462,0.212085295623959,0.3757207198463026,0.28690677328180325,0.19868335130042292,3.1216523208533387,10.29198302380858,0.9608475094283262,-0.04684202235722383,9.19194229590549,1.083786476468628
2022-05-11 18:02:22.170,15,1,2,0.29332798758153955,1.1267766248787685,0.19760198092862394,0.9811473931650232,0.12326143294897958,0.9693635763585604,0.15598310724177178,0.7710477934855198,0.31384059496236216,0.6654092201119624,0.26303102411145407,0.9782134541360148,0.31082814147823934,0.8089654012519287,0.36535514435540384,0.6607627656492678,0.15011354895563161,0.6223599416359722,0.29304484708338085,0.35282077320295024,0.38687049627643255,0.0753224704662454,0.23254177293047812,0.6199369214388764,0.2257927925292576,0.37248072207551397,0.29619809096521965,0.19606181151669544,3.257550939995509,10.526615284952523,1.7436510756559604,-0.20307129984701283,8.779549456378746,1.3884732752329592
2022-05-11 18:02:22.180,15,1,2,0.30209636343526436,1.1268792959315717,0.2080908313919308,0.9818353960081039,0.1415944134006138,0.9691281392222852,0.17054957020694794,0.7697328119408002,0.3258718262619966,0.6655979096169142,0.2728088090334374,0.9797119490568691,0.3225334707240056,0.8091302468950774,0.3784547664087474,0.6622715465724076,0.16324160164669327,0.6232029012968694,0.2943108640266372,0.3500557267258253,0.36279606931456065,0.08065553488980104,0.2452722999117143,0.6222695743073294,0.2434465103735517,0.36886824528885276,0.30860734081913777,0.19019925555558848,3.3889593923821164,10.738118379540246,2.530618595195368,-0.3581135483824013,8.399910079732916,1.694430164828972
2022-05-11 18:02:22.190,15,1,2,0.31108731386965227,1.1270198168859449,0.2192112105790037,0.9826315404562149,0.15970075592142213,0.9692462111962765,0.18437778138407684,0.7685201146979175,0.33740389888826494,0.6651156807104721,0.28346967858128336,0.98098297680811,0.3343913919261775,0.8088431330216208,0.3910687956231029,0.6641127809197545,0.17559312211981865,0.6240864106061865,0.2911149587877936,0.3471933764351145,0.3321754404908538,0.0851690515554755,0.25889606559427253,0.6238077906685398,0.2647553427573413,0.36505229745685885,0.3241000702556437,0.1812680807227416,3.6195175334184024,10.908803089539637,3.2316105232520904,-0.5055151478163875,8.159089505849723,1.9646207188962208
2022-05-11 18:02:22.200,15,1,2,0.32037449102845617,1.1271885599827738,0.2309932851626511,0.9834871907528093,0.17728146636427505,0.9697130206692965,0.19733583360467583,0.7674897431643495,0.3485433604574081,0.663973450745523,0.29497901207417576,0.9819677716456909,0.3462881798913091,0.8081327797496565,0.40313321692028636,0.6663122701449673,0.18713196460141035,0.6249400303225454,0.28382322313021796,0.34421090925213216,0.2960138889632479,0.08880732812285386,0.27323663679744825,0.6244330274553398,0.28917342840017024,0.36119888240046505,0.3423796734112431,0.16961948468417765,4.023443364268494,11.010402580445586,3.7333889012674257,-0.6274737288693494,8.150146401748998,2.163973332234961
2022-05-11 18:02:22.210,15,1,2,0.3300215208980364,1.1273716531587565,0.24340438410404996,0.9843524348601531,0.19409275079040025,0.9704973358008067,0.20935521821272776,0.7667125002413622,0.3593724067487857,0.662201764736071,0.3072475718878773,0.9826250290688514,0.3580882912862411,0.807070914430394,0.4146042652453946,0.6688555231105522,0.19789847440832464,0.6256782817443571,0.2731570646218539,0.341070094311795,0.2556456128107333,0.09156988742917038,0.2880672973475099,0.6240800574216494,0.31593699334912206,0.357462770013798,0.3629150332801283,0.15576137929059897,4.573196231823648,11.007765183644324,3.9408892330931815,-0.6988286385872953,8.417151130600294,2.2680266740518014
