,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
1469,"(168.08214921874998, 93.00145833333333, 0.878372)","(174.09181562499998, 101.32985416666666, 0.890087)","(168.05481875, 115.58675555555556, 0.839889)","(172.75285624999998, 134.64094583333335, 0.71859)","(174.76877031249998, 140.58938472222223, 0.753309)","(179.43690781249998, 89.44128194444446, 0.887952)","(189.49241796875, 94.18250833333333, 0.871471)","(179.45349296875, 109.64952916666667, 0.7379)","(200.85184843749997, 128.68959999999998, 0.781981)","(198.1795359375, 138.19157083333334, 0.777231)","(202.8752375, 178.6529152777778, 0.839097)","(213.57546640625, 215.52335277777777, 0.779491)","(202.85958671875, 119.17475555555555, 0.751054)","(203.53724218750003, 177.4589916666667, 0.428392)","(214.24307734375, 217.89998749999998, 0.393947)","(166.72053125, 92.98775416666668, 0.85354)","(168.08308359375, 88.23240833333334, 0.867627)","(162.7302828125, 95.39595, 0.642611)","(170.74581875, 83.4641888888889, 0.659151)","(208.22196484375, 234.55636388888888, 0.371093)","(210.22619921875, 234.55470277777778, 0.361197)","(218.92219375, 220.27288472222222, 0.38738)","(208.8865390625, 233.35704166666665, 0.601504)","(207.55925937499998, 230.99120416666665, 0.577664)","(217.57996406249998, 217.91327638888887, 0.701095)"
1470,"(168.732240625, 95.36895694444445, 0.846588)","(174.10139296875, 103.7044125, 0.862768)","(168.06369531250002, 116.77818749999999, 0.814786)","(170.075871875, 132.24645416666664, 0.658198)","(174.75592265625002, 141.77168055555555, 0.679541)","(179.44998906250004, 91.81833194444444, 0.852869)","(189.49522109375002, 96.5637111111111, 0.802529)","(180.11316171875, 110.85341944444444, 0.73998)","(200.18680703125, 128.69043055555554, 0.764033)","(198.18000312499998, 138.1978, 0.763251)","(203.5330375, 182.2155833333333, 0.826816)","(212.8992125, 219.08186805555553, 0.772112)","(201.52156171875, 119.17475555555555, 0.736035)","(204.20111562500003, 179.83313472222224, 0.435337)","(212.902015625, 219.09640277777777, 0.394548)","(166.7406203125, 94.18583055555554, 0.804204)","(168.74111718749998, 90.60239861111111, 0.851834)","(163.40303281250002, 97.73977777777777, 0.604527)","(172.74561484375002, 87.05135833333334, 0.706866)","(206.212825, 235.74198194444443, 0.379743)","(208.88490390624997, 235.74987222222225, 0.380347)","(218.25575078125001, 221.47760555555556, 0.381244)","(206.2207671875, 234.55470277777778, 0.60936)","(206.21679609375002, 233.33295555555554, 0.59239)","(216.921696875, 221.44936666666663, 0.687802)"
1471,"(169.40288828124997, 95.3901361111111, 0.86127)","(174.75685703125, 106.0590375, 0.884317)","(168.07514140625, 117.95799166666667, 0.84863)","(169.40615859374998, 132.24437777777777, 0.731393)","(174.75592265625002, 144.12589027777778, 0.785692)","(180.116665625, 94.16714305555556, 0.875056)","(190.14834921875, 97.76552500000001, 0.846052)","(180.12951328125, 113.22091805555557, 0.734969)","(200.19428203125, 131.05211527777777, 0.785952)","(198.84270859375, 140.5669597222222, 0.770833)","(203.52906640625, 183.3937263888889, 0.815928)","(211.56866250000002, 220.27952916666663, 0.797751)","(201.52997109375, 120.36037361111111, 0.76986)","(204.20415234375, 179.8293972222222, 0.426976)","(211.5635234375, 219.10097083333332, 0.401181)","(167.40005546875003, 95.36397361111112, 0.876708)","(169.4096625, 90.62025555555556, 0.861748)","(164.7233046875, 98.92165833333333, 0.654405)","(172.76009765625003, 88.23573055555555, 0.649725)","(204.20415234375, 235.74862638888885, 0.361784)","(207.55271875, 236.92552361111112, 0.365342)","(217.58393515625, 222.6599013888889, 0.377144)","(205.54988593750002, 235.7328458333333, 0.621473)","(205.54124296875, 233.36036388888888, 0.613786)","(216.25175, 222.63623055555558, 0.668054)"
1472,"(172.08174140625002, 97.74309999999998, 0.786804)","(174.7575578125, 108.42778194444443, 0.875577)","(168.0823828125, 119.18638333333334, 0.813551)","(170.0782078125, 136.994325, 0.657288)","(174.77671249999997, 145.35885000000002, 0.709641)","(180.1180671875, 96.5711861111111, 0.846736)","(190.1439109375, 100.11765833333334, 0.794713)","(181.4560921875, 114.41857916666667, 0.734287)","(200.19942109375003, 133.45449722222224, 0.736117)","(199.50798359375, 142.96394305555555, 0.731291)","(203.52789843749997, 184.57311527777776, 0.811961)","(210.89708046875, 221.48591111111114, 0.798518)","(201.536278125, 122.73825416666666, 0.70724)","(203.54354921875, 183.40161666666668, 0.611728)","(210.891240625, 222.65367222222218, 0.57588)","(168.080046875, 96.56827916666666, 0.788015)","(172.7435125, 92.98110972222221, 0.79973)","(165.39535390625, 100.11682777777779, 0.685253)","(174.08737734375, 90.60281388888889, 0.459208)","(203.53467265625, 236.9371513888889, 0.561591)","(207.5503828125, 236.9371513888889, 0.540997)","(213.5771015625, 225.03985833333337, 0.513739)","(203.53934453125004, 238.1331513888889, 0.53886)","(203.54168046875, 235.7316, 0.503893)","(215.56778749999998, 223.85880833333331, 0.587738)"
1473,"(173.42537265625, 98.9278875, 0.875144)","(174.75078359375, 108.46723333333334, 0.894924)","(168.07093671874998, 121.54848333333334, 0.859466)","(171.4115609375, 141.7712652777778, 0.735151)","(175.43427890625, 146.55609583333333, 0.779994)","(180.11783359375, 97.75140555555555, 0.867796)","(190.16400000000002, 100.1554486111111, 0.810288)","(181.460296875, 116.79729027777776, 0.716778)","(200.850446875, 132.26348055555556, 0.746958)","(198.85345390625, 144.13710277777778, 0.74175)","(202.86963125, 184.5872347222222, 0.799767)","(210.23787890625, 222.6823263888889, 0.810851)","(201.53370859375, 121.53436388888889, 0.747557)","(203.53841015625, 181.0166763888889, 0.400271)","(209.560690625, 222.65865555555555, 0.384364)","(168.7513953125, 97.74932916666667, 0.871861)","(173.43495000000001, 93.01184027777778, 0.861175)","(165.39488671874997, 100.13676111111111, 0.821634)","(174.76666796874997, 89.43297638888889, 0.289408)","(200.86025781249998, 238.11737083333335, 0.338262)","(205.54007499999997, 238.1273375, 0.336018)","(212.90551953124998, 230.9828986111111, 0.3415)","(202.85818515625, 240.4910986111111, 0.616891)","(202.19618046875001, 235.75194861111112, 0.600654)","(212.90481875, 226.2362736111111, 0.654665)"
1474,"(174.07709921875, 100.1351, 0.867415)","(174.75545546875, 109.66323333333334, 0.868459)","(168.07210468749997, 122.74614444444445, 0.84811)","(170.74278203125, 142.94317916666665, 0.730762)","(175.43684843749998, 147.72261111111112, 0.791962)","(180.12484140625, 100.13011666666668, 0.869587)","(190.16656953125, 102.51298055555556, 0.800883)","(181.46543593750002, 119.1776625, 0.767584)","(200.86492968750002, 134.6338861111111, 0.761583)","(199.51966328125, 145.32895000000002, 0.755889)","(202.87313515625, 185.78655694444444, 0.792188)","(209.55718671875, 223.87541944444442, 0.79457)","(202.2024875, 122.73908472222223, 0.752328)","(204.20461953125, 182.2089388888889, 0.412723)","(208.89237890625, 225.03819722222224, 0.39131)","(169.4194734375, 98.94491388888889, 0.843409)","(174.09018046875, 96.54502361111112, 0.878526)","(166.727071875, 102.49512361111111, 0.731217)","(176.76342734375, 92.99190694444445, 0.366709)","(200.19147890624998, 240.4969125, 0.350963)","(204.87199687499998, 240.50231111111108, 0.350288)","(211.56282265625, 233.36410138888888, 0.352534)","(201.52856953124999, 241.69374305555553, 0.641158)","(201.52343046875, 238.12858333333332, 0.61733)","(211.56772812499997, 229.7981111111111, 0.694328)"
1475,"(174.75241875, 101.3257013888889, 0.875781)","(174.76339765625, 112.0294861111111, 0.865317)","(168.07934609375, 125.11862638888888, 0.867151)","(170.75306015625, 145.32022916666668, 0.771328)","(176.10212343749998, 151.2769736111111, 0.767012)","(180.776334375, 101.31988750000001, 0.872985)","(190.82250078125, 104.87964861111112, 0.802435)","(182.78500703125, 120.3587125, 0.721826)","(200.85511874999997, 137.00013888888887, 0.744192)","(199.50775000000002, 146.52079722222223, 0.742498)","(202.86379140625002, 185.7981847222222, 0.806432)","(208.88303515625003, 227.4081875, 0.791512)","(202.19875000000002, 125.11821111111112, 0.725282)","(204.20228359375, 183.40701527777776, 0.438993)","(208.88373593749998, 228.60501805555555, 0.388409)","(172.079171875, 100.12762500000001, 0.848912)","(174.7584921875, 96.57741527777779, 0.872152)","(167.38533906249998, 103.6969375, 0.801006)","(176.76856640625002, 91.80878055555556, 0.239548)","(199.52386796875, 241.69498888888893, 0.340076)","(204.206721875, 241.6987263888889, 0.336558)","(210.22503125000003, 235.73616805555554, 0.351725)","(200.1959171875, 244.06539444444445, 0.645514)","(200.19895390625, 241.6758861111111, 0.631456)","(210.90899375, 232.16104166666665, 0.718261)"
1476,"(174.76386484375, 103.70316666666666, 0.853066)","(174.7753109375, 115.58717083333333, 0.848694)","(168.73340859375, 126.30590555555555, 0.833037)","(170.75329374999998, 145.35095972222223, 0.720703)","(176.10866406249997, 153.66689722222225, 0.71078)","(180.79221875, 103.70690416666667, 0.850048)","(191.4903453125, 107.26126666666667, 0.789958)","(182.12907578125, 122.73327083333334, 0.736949)","(201.53183984375002, 138.19281666666666, 0.717903)","(200.19147890624998, 146.52121250000002, 0.720152)","(202.8719671875, 189.34299583333333, 0.728434)","(207.5550546875, 229.79520416666665, 0.727198)","(202.87313515625, 127.49069305555555, 0.708962)","(203.5428484375, 188.15654722222223, 0.590315)","(206.88907890624998, 230.9945263888889, 0.563338)","(172.74911874999998, 101.33982083333333, 0.817464)","(174.77110625, 98.93577777777779, 0.843202)","(167.407296875, 104.90622638888888, 0.748362)","(176.77370546875, 94.19081388888888, 0.2895)","(200.17839765624998, 244.07868333333334, 0.564338)","(202.86098828124997, 244.08200555555555, 0.544302)","(209.55671953125002, 233.38320416666667, 0.545693)","(200.18633984374998, 245.25682638888892, 0.470738)","(200.190778125, 242.88185277777777, 0.460242)","(210.23601015625, 233.36036388888888, 0.624525)"
1477,"(175.42283281250002, 106.06485138888888, 0.865611)","(175.4293734375, 117.97003472222222, 0.861749)","(168.74135078125, 128.68004861111112, 0.829405)","(171.42183906250003, 146.547375, 0.641281)","(176.76809921875, 154.86580416666666, 0.613298)","(181.44511328125, 106.07440277777778, 0.84748)","(191.49478359375, 108.47097083333334, 0.791714)","(182.13281328124998, 123.92844027777778, 0.702146)","(202.20272109375, 140.5694513888889, 0.710656)","(200.85208203125, 147.72136527777778, 0.711594)","(202.86799609375, 192.91729166666667, 0.73961)","(206.890246875, 232.1697625, 0.753174)","(203.54354921875, 129.87231111111112, 0.699227)","(203.54448359375, 192.91147777777778, 0.555424)","(206.2123578125, 233.36036388888888, 0.499398)","(173.415328125, 103.69236944444444, 0.830461)","(175.4359140625, 100.12637916666667, 0.84395)","(168.0566875, 107.2384263888889, 0.734114)","(178.77396875000002, 95.37933888888888, 0.284149)","(198.85205234375002, 244.08740416666666, 0.508922)","(201.53604453125, 245.2580722222222, 0.488636)","(208.22149765625, 234.5783736111111, 0.476582)","(199.51078671875, 246.4395375, 0.513345)","(199.51942968749998, 244.0591652777778, 0.505442)","(210.22152734375, 234.56259305555554, 0.65492)"
1478,"(176.0923125, 107.27330972222222, 0.821556)","(175.4387171875, 119.15150000000001, 0.85192)","(168.75349765625, 129.86649722222222, 0.800144)","(170.0838140625, 147.72385694444444, 0.683212)","(177.43010390625, 156.06221944444445, 0.734566)","(181.45352265625002, 108.44148611111112, 0.850566)","(192.15421875, 109.66115694444446, 0.777443)","(182.79528515625, 126.3162875, 0.754774)","(202.19571328125, 141.75880694444444, 0.723525)","(200.19311406250003, 150.08595694444443, 0.713957)","(202.87103281249998, 194.09792638888888, 0.761843)","(206.21819765625, 233.34998194444444, 0.785124)","(203.5391109375, 131.0703875, 0.707313)","(203.54004531249998, 194.10955416666667, 0.564498)","(206.20651796875, 234.55387222222222, 0.513753)","(174.0838734375, 106.07440277777778, 0.791361)","(176.10772968749998, 102.50758194444444, 0.763122)","(168.0842515625, 108.4227986111111, 0.690571)","(178.11173046875, 97.75721944444444, 0.272581)","(199.514290625, 245.26596249999997, 0.495858)","(201.52997109375, 246.4449361111111, 0.469594)","(207.549915625, 236.9371513888889, 0.478988)","(198.85181875, 247.6276472222222, 0.525835)","(199.5166265625, 245.24644444444442, 0.50326)","(209.549478125, 235.74613472222222, 0.668513)"
