,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
231,"(506.734, 303.647, 0.894653)","(439.087, 341.85, 0.888891)","(459.527, 341.787, 0.916697)","(456.688, 412.449, 0.949652)","(500.905, 477.354, 0.893845)","(427.298, 341.835, 0.832374)","(389.073, 415.603, 0.823487)","(389.073, 462.674, 0.804488)","(439.118, 524.388, 0.758405)","(427.276, 524.367, 0.714946)","(347.878, 624.418, 0.863746)","(221.099, 597.956, 0.846158)","(459.575, 527.252, 0.746423)","(536.229, 609.727, 0.82066)","(568.532, 730.439, 0.808084)","(503.698, 291.973, 0.954391)","(0, 0, 0)","(474.294, 291.858, 0.863204)","(0, 0, 0)","(630.392, 745.189, 0.753709)","(624.569, 742.106, 0.738125)","(553.934, 751.058, 0.804846)","(153.599, 627.465, 0.817162)","(153.505, 621.385, 0.791663)","(215.289, 577.355, 0.694085)"
232,"(533.255, 315.292, 0.905267)","(465.608, 342.003, 0.848091)","(483.26, 341.9, 0.91646)","(483.087, 412.701, 0.946634)","(503.635, 480.215, 0.914198)","(456.546, 342.061, 0.846982)","(439.02, 439.066, 0.706557)","(453.8, 483.272, 0.427353)","(480.318, 527.267, 0.74953)","(477.351, 527.273, 0.676765)","(412.557, 642.034, 0.884968)","(291.804, 571.425, 0.836095)","(486.098, 527.319, 0.634215)","(577.255, 621.533, 0.925023)","(603.962, 739.367, 0.848588)","(530.207, 297.735, 0.93101)","(0, 0, 0)","(503.7, 294.913, 0.917461)","(0, 0, 0)","(668.69, 765.66, 0.796378)","(668.559, 759.797, 0.744734)","(597.931, 762.79, 0.843254)","(218.278, 577.421, 0.679338)","(218.318, 571.472, 0.663164)","(288.966, 547.978, 0.687144)"
233,"(533.219, 315.31, 0.911925)","(468.433, 342.013, 0.844995)","(483.272, 341.911, 0.912385)","(483.1, 412.718, 0.941205)","(503.636, 480.205, 0.912709)","(456.555, 342.062, 0.850127)","(439.025, 436.193, 0.732995)","(453.721, 483.211, 0.481572)","(480.317, 527.289, 0.749985)","(477.349, 527.307, 0.679413)","(412.56, 642.046, 0.885044)","(291.764, 571.445, 0.831147)","(486.094, 527.338, 0.636678)","(577.276, 621.544, 0.92629)","(603.963, 739.35, 0.852008)","(530.192, 297.756, 0.929711)","(0, 0, 0)","(503.702, 294.907, 0.920733)","(0, 0, 0)","(668.715, 765.654, 0.803559)","(668.577, 759.776, 0.753258)","(597.924, 762.775, 0.851788)","(218.28, 577.434, 0.66832)","(218.309, 571.479, 0.659754)","(288.929, 550.777, 0.678443)"
234,"(533.218, 315.313, 0.912894)","(468.43, 342.011, 0.844819)","(483.266, 341.909, 0.913633)","(483.1, 412.728, 0.939317)","(503.643, 480.209, 0.914099)","(456.553, 342.06, 0.849774)","(439.023, 436.194, 0.729359)","(453.734, 483.21, 0.473951)","(480.323, 527.294, 0.751442)","(477.337, 527.31, 0.680563)","(412.563, 642.052, 0.885729)","(291.767, 571.445, 0.831157)","(486.116, 527.339, 0.639068)","(577.284, 621.55, 0.927125)","(603.962, 739.355, 0.851597)","(530.193, 297.76, 0.929581)","(0, 0, 0)","(503.705, 294.903, 0.920808)","(0, 0, 0)","(668.723, 765.662, 0.80261)","(668.582, 759.785, 0.753881)","(597.921, 762.78, 0.851809)","(218.278, 577.436, 0.668867)","(218.307, 571.481, 0.659946)","(288.933, 550.774, 0.678807)"
235,"(533.218, 315.312, 0.912777)","(468.431, 342.011, 0.844865)","(483.267, 341.909, 0.913616)","(483.1, 412.727, 0.939358)","(503.643, 480.209, 0.914201)","(456.553, 342.06, 0.849781)","(439.024, 436.194, 0.729054)","(453.734, 483.211, 0.472836)","(480.322, 527.291, 0.750601)","(477.339, 527.307, 0.679904)","(412.563, 642.052, 0.885787)","(291.77, 571.446, 0.831494)","(486.112, 527.337, 0.637955)","(577.283, 621.549, 0.927043)","(603.962, 739.355, 0.851528)","(530.194, 297.759, 0.929662)","(0, 0, 0)","(503.706, 294.902, 0.921147)","(0, 0, 0)","(668.724, 765.663, 0.802672)","(668.582, 759.786, 0.753987)","(597.921, 762.78, 0.851732)","(218.281, 577.436, 0.66908)","(218.308, 571.482, 0.659874)","(288.938, 550.774, 0.68075)"
236,"(568.585, 318.305, 0.935009)","(503.848, 356.665, 0.876761)","(521.502, 356.559, 0.831438)","(503.734, 412.515, 0.895724)","(489.095, 477.199, 0.821101)","(483.173, 356.602, 0.824052)","(480.146, 421.414, 0.358017)","(483.347, 474.413, 0.1982)","(524.35, 530.252, 0.728372)","(524.417, 530.312, 0.702393)","(506.732, 659.786, 0.883723)","(385.913, 574.348, 0.828672)","(521.453, 530.25, 0.596889)","(609.743, 630.359, 0.807343)","(621.48, 759.768, 0.860888)","(556.888, 309.488, 0.863081)","(0, 0, 0)","(530.245, 309.506, 0.896929)","(0, 0, 0)","(674.58, 765.857, 0.821758)","(671.529, 762.809, 0.836418)","(603.944, 771.641, 0.788612)","(312.386, 565.565, 0.560531)","(312.537, 556.761, 0.595247)","(383.142, 550.843, 0.607768)"
237,"(568.587, 318.301, 0.9356)","(503.844, 356.667, 0.87731)","(521.501, 356.559, 0.831047)","(503.736, 412.518, 0.896527)","(489.097, 477.206, 0.8221)","(483.165, 356.608, 0.825917)","(480.145, 421.419, 0.365856)","(483.348, 477.2, 0.204285)","(524.347, 530.251, 0.727521)","(524.42, 530.311, 0.702359)","(506.732, 659.789, 0.884298)","(385.912, 574.343, 0.827942)","(521.444, 530.25, 0.595301)","(609.756, 630.356, 0.807693)","(621.479, 759.77, 0.861068)","(556.887, 309.487, 0.863409)","(0, 0, 0)","(530.242, 309.519, 0.897137)","(0, 0, 0)","(674.574, 765.873, 0.815506)","(671.524, 762.825, 0.835916)","(603.942, 771.649, 0.788836)","(312.383, 565.563, 0.560999)","(312.534, 556.759, 0.595374)","(383.145, 550.84, 0.611589)"
238,"(568.587, 318.301, 0.935604)","(503.843, 356.667, 0.877355)","(521.501, 356.559, 0.831044)","(503.737, 412.518, 0.896627)","(489.097, 477.205, 0.822025)","(483.164, 356.608, 0.826067)","(480.145, 421.419, 0.36631)","(483.348, 477.2, 0.204816)","(524.346, 530.249, 0.727383)","(524.422, 530.31, 0.702559)","(506.732, 659.787, 0.884319)","(385.909, 574.339, 0.825617)","(521.442, 530.249, 0.595395)","(609.754, 630.355, 0.807776)","(621.479, 759.77, 0.861093)","(556.887, 309.487, 0.8634)","(0, 0, 0)","(530.242, 309.519, 0.897136)","(0, 0, 0)","(674.573, 765.873, 0.815522)","(671.524, 762.825, 0.835996)","(603.942, 771.649, 0.788789)","(309.581, 562.69, 0.563873)","(312.524, 556.744, 0.597819)","(383.14, 550.831, 0.610172)"
239,"(568.587, 318.301, 0.935604)","(503.843, 356.667, 0.877357)","(521.501, 356.559, 0.831046)","(503.737, 412.518, 0.896628)","(489.097, 477.205, 0.822022)","(483.164, 356.608, 0.826068)","(480.145, 421.419, 0.366315)","(483.348, 477.2, 0.20482)","(524.346, 530.249, 0.727387)","(524.422, 530.309, 0.702563)","(506.732, 659.787, 0.884265)","(385.909, 574.339, 0.825594)","(521.442, 530.249, 0.5954)","(609.754, 630.355, 0.80779)","(621.479, 759.77, 0.861078)","(556.887, 309.487, 0.8634)","(0, 0, 0)","(530.241, 309.519, 0.897136)","(0, 0, 0)","(674.574, 765.873, 0.815541)","(671.524, 762.825, 0.836004)","(603.942, 771.649, 0.788764)","(309.581, 562.69, 0.563918)","(312.524, 556.744, 0.59786)","(383.14, 550.831, 0.610147)"
240,"(600.883, 321.308, 0.946105)","(533.287, 362.538, 0.891507)","(553.744, 362.465, 0.902046)","(515.541, 412.533, 0.865956)","(480.256, 465.54, 0.911645)","(515.611, 362.578, 0.803664)","(536.151, 459.724, 0.420016)","(589.173, 500.765, 0.724207)","(547.91, 533.274, 0.744244)","(556.745, 533.197, 0.764118)","(621.611, 650.978, 0.851674)","(489.059, 621.487, 0.750875)","(530.276, 536.167, 0.671852)","(633.249, 642.092, 0.826539)","(624.381, 753.974, 0.852971)","(597.888, 312.522, 0.914639)","(0, 0, 0)","(568.591, 312.475, 0.841197)","(0, 0, 0)","(674.56, 765.844, 0.784276)","(671.499, 762.887, 0.808907)","(609.732, 765.903, 0.836614)","(424.304, 630.403, 0.643797)","(424.362, 624.407, 0.653182)","(480.235, 600.84, 0.581123)"
241,"(600.884, 321.304, 0.947739)","(533.297, 362.538, 0.890478)","(553.751, 362.467, 0.899525)","(515.537, 412.521, 0.86415)","(480.255, 465.547, 0.911898)","(515.624, 362.582, 0.804417)","(536.16, 459.704, 0.425267)","(589.159, 497.958, 0.722686)","(547.886, 533.269, 0.743096)","(556.729, 533.187, 0.765331)","(624.368, 650.98, 0.850912)","(486.162, 621.458, 0.74999)","(530.252, 536.167, 0.673733)","(630.398, 642.081, 0.824668)","(624.388, 753.975, 0.853448)","(597.894, 312.512, 0.913851)","(0, 0, 0)","(571.389, 312.459, 0.844708)","(0, 0, 0)","(674.588, 765.855, 0.788451)","(671.524, 762.898, 0.818847)","(609.751, 768.638, 0.834931)","(421.443, 630.399, 0.639937)","(424.325, 624.41, 0.650892)","(480.15, 598.055, 0.579945)"
242,"(600.885, 321.309, 0.946921)","(533.294, 362.543, 0.89093)","(553.752, 362.472, 0.8996)","(515.526, 412.527, 0.864417)","(480.246, 465.556, 0.911152)","(515.619, 362.587, 0.805055)","(536.149, 459.71, 0.424901)","(589.155, 497.953, 0.722957)","(547.876, 533.27, 0.742047)","(556.727, 533.186, 0.765442)","(624.368, 650.984, 0.850369)","(486.162, 621.46, 0.749178)","(530.237, 536.171, 0.675014)","(630.398, 642.076, 0.824111)","(624.386, 753.985, 0.853377)","(597.899, 312.516, 0.914651)","(0, 0, 0)","(571.398, 312.456, 0.845077)","(0, 0, 0)","(674.592, 765.853, 0.789012)","(671.525, 762.896, 0.818236)","(609.752, 768.651, 0.833316)","(421.441, 630.401, 0.638799)","(424.325, 624.412, 0.650043)","(480.145, 598.056, 0.577759)"
