Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-420.07	1503.6	78.58	2274.89	0	961.32	-13950.7
2	-335.01	1481.17	33.26	2287.25	0	959.78	-6242.7
3	-376.89	1547.55	0.08	2256.82	0	956.22	-1141.59
4	-343.78	1658.94	81.56	2271.06	0	961.7	9637.98
5	-288.09	1684.72	50.66	2274.31	0	958.29	-11896.5
6	-356.29	1882.93	28.38	2218.28	0	955.02	-14120.5
7	-260.77	1884.77	83.92	2244.46	0	960.02	24274.5
8	-221.63	1961.82	126.57	2220.22	0	960.91	-7439.17
9	-246.51	2049.1	90.87	2203.69	0	960.89	5728.86
10	-174.79	1993.26	81.79	2206.97	0	962.44	9688.83
11	-133.51	2149.81	102.23	2191.78	0	956.47	-15230.5
12	-201.8	2067.72	105.59	2154.21	0	958.6	5407.67
13	-87.28	2118.23	81.56	2166.98	0	958.49	11358.7
14	-112.53	2113.95	91.25	2163.4	0	955.29	3637.52
15	-121.46	2066.5	124.21	2130.94	0	962.41	-6110.92
16	-15.18	2117.77	92.24	2137.95	0	956.22	596.54
17	-102.31	2066.96	96.82	2127.51	0	957.79	9165.77
18	-35.86	2062.84	101.39	2104.9	0	957.94	219.66
19	-19.15	2062.68	90.87	2114.61	0	954.72	-9154.02
20	-70.95	2025.76	68.66	2098.67	0	954.85	10618.1
21	23.73	2017.36	77.21	2090.38	0	953.11	-1461.55
22	-40.82	1948.09	100.1	2071.75	0	954.31	-986.43
23	22.96	1940.77	107.12	2079.31	0	955.38	12681.9
24	35.32	1867.07	98.11	2063.14	0	953.7	7227.38
25	9.38	1825.87	103.84	2043.39	0	953.21	-1604.42
26	77.06	1829.53	109.48	2046.3	0	954.51	572.3
27	67.06	1737.21	72.48	2018.8	0	949.32	11549.3
28	116.88	1746.83	91.55	2024.5	0	954.28	-5076.5
29	127.49	1633.91	76.52	1999.37	0	952.35	1103.16
30	163.19	1610.11	62.1	1998.97	0	949.59	6704.47
31	182.5	1561.28	68.21	1994.3	0	954.03	-3413.2
32	175.7	1453.25	50.05	1960.26	0	950.88	6105.33
33	222.24	1429.75	57.22	1980.47	0	952.44	2517.78
34	189.29	1313.63	43.64	1941.69	0	955.28	-908.4
35	235.6	1264.19	42.57	1950.89	0	951.1	695.33
36	222.32	1165.01	44.17	1932.41	0	954.9	-371.82
37	220.72	1090.39	28.08	1907.84	0	952.46	-2686.97
38	253.14	1017.15	22.35	1930.56	0	947.01	360.35
39	209.88	923.77	28.53	1881.81	0	953.23	-1591.9
40	251.62	836.94	19.91	1889.72	0	949.51	-954.28
41	217.36	760.8	16.48	1883.53	0	945.92	-3383.72
42	210.34	664.37	26.32	1868.54	0	956.68	-7950.1
43	222.85	602.87	13.81	1869.88	0	945.83	-796.4
44	168.69	514.53	19.91	1831.62	0	951.96	-10078.4
45	198.9	432.74	18.92	1867.18	0	951.48	-6594.19
46	160.75	394.9	11.06	1861.6	0	940.46	-8393.15
47	124.89	311.74	12.44	1807.53	0	944.9	-13876.9
48	161.44	277.86	19.68	1853.87	0	944.13	-3326.71
49	113.6	213.93	19.23	1799.05	0	939.4	-9557.62
50	113.14	192.11	22.58	1885	0	937.81	-12331.7
51	99.56	128.48	26.02	1628.32	0	955.26	-15670.3
52	86.52	116.73	25.71	1893.84	0	955.96	-5335.13
53	80.18	81.79	28.76	1748.78	0	947	-19512.8
54	58.44	49.9	28.61	1508.77	0	965.54	-21497.9
55	43.33	55.24	31.97	2131.49	0	950.25	-5160.59
56	29.3	32.5	19.3	1356.42	0	896.36	-17035.4
57	-0	-0	-0	2149	0	976.7	-0
58	-0	-0	-0	2149	0	976.7	-0
59	-0	-0	-0	2149	0	976.7	-0
60	-0	-0	-0	2149	0	976.7	-0
61	0	0	0	2149	0	976.7	0
62	-0	-0	-0	2149	0	976.7	-0
63	-0	-0	-0	2149	0	976.7	-0
64	-0	-0	-0	2149	0	976.7	-0
65	-0	-0	-0	2149	0	976.7	-0
66	-0	-0	-0	2149	0	976.7	-0
67	-0	-0	-0	2149	0	976.7	-0
68	-0	-0	-0	2149	0	976.7	-0
69	-0	-0	-0	2149	0	976.7	-0
70	-0	-0	-0	2149	0	976.7	-0
71	-0	-0	-0	2149	0	976.7	-0
72	-0	-0	-0	2149	0	976.7	-0
73	-0	-0	-0	2149	0	976.7	-0
74	-0	-0	-0	2149	0	976.7	-0
75	-0	-0	-0	2149	0	976.7	-0
76	-0	-0	-0	2149	0	976.7	-0
77	-0	-0	-0	2149	0	976.7	-0
78	-0	-0	-0	2149	0	976.7	-0
79	-0	-0	-0	2149	0	976.7	-0
80	-0	-0	-0	2149	0	976.7	-0
81	-0	-0	-0	2149	0	976.7	-0
82	-0	-0	-0	2149	0	976.7	-0
83	-0	-0	-0	2149	0	976.7	-0
84	-0	-0	-0	2149	0	976.7	-0
85	-0	-0	-0	2149	0	976.7	-0
86	-0	-0	-0	2149	0	976.7	-0
87	9.16	30.67	20.98	2292.28	0	964.11	-1887.99
88	-0	-0	-0	2149	0	976.7	-0
89	-0	-0	-0	2149	0	976.7	-0
90	-0	-0	-0	2149	0	976.7	-0
91	-0	-0	-0	2149	0	976.7	-0
92	-0	-0	-0	2149	0	976.7	-0
93	-0	-0	-0	2149	0	976.7	-0
94	-0	-0	-0	2149	0	976.7	-0
95	-0	-0	-0	2149	0	976.7	-0
96	-0	-0	-0	2149	0	976.7	-0
97	2.52	32.04	25.33	2339.7	0	1083.65	622.92
98	-0	-0	-0	2149	0	976.7	-0
99	-91.17	125.27	26.55	2193.99	0	1105.64	-4598.92
100	56.61	305.94	61.04	2358.61	0	1138.19	332.35
101	-56.23	549.16	-2.37	2300.42	0	1144.37	1439.89
102	-204.01	817.72	-93.92	2350.09	0	1117.96	31866.3
103	-79.35	1008.91	-159.68	2314.25	0	1123.83	-7371.58
104	-119.55	1088.1	-272.14	2287.09	0	1098.62	-64807.9
105	4.2	1293.49	-124.21	2287.06	0	1095.3	-83759
106	-2.75	1291.5	61.72	2282.05	0	1100.94	85888.5
107	-45.09	1475.22	96.51	2275.77	0	1096.78	81957.8
108	-157.85	1395.26	48.22	2262.61	0	1095	-31666.8
109	-165.71	1474.91	131.84	2281.37	0	1105.41	-4631.36
110	-247.73	1452.48	34.71	2244.03	0	1097.36	8478.9
111	-304.64	1526.49	9.61	2267.84	0	1093.78	49297.7
112	-278.4	1553.34	44.25	2248.43	0	1098.2	10080.6
113	-284.04	1617.58	14.5	2231.56	0	1099.01	-7175.97
114	-280.3	1747.13	-12.82	2251.1	0	1097.72	34259.3
115	-278.7	1808.62	-26.93	2216.5	0	1093.85	31959.4
116	-244.9	1882.63	29.07	2216.41	0	1101.35	-3238.59
117	-214.54	1974.49	-43.49	2207.49	0	1095.37	25594.1
118	-195.24	2003.78	-67.14	2191.55	0	1097.46	12376.1
119	-196.46	2067.41	-9.69	2194.48	0	1101.42	14130.8
120	-123.14	2068.02	0.76	2189.24	0	1103.09	10192.5
121	-123.06	2149.81	-59.2	2162.73	0	1093.25	1563.99
122	-164.57	2109.99	-19.53	2142.59	0	1103.08	39062.4
123	-32.58	2158.05	35.32	2161.85	0	1102.15	-4823.62
124	-121.61	2129.06	-41.96	2121.3	0	1099.28	18414.4
125	-45.62	2116.39	-41.89	2124.81	0	1103.1	18316.8
126	-18.08	2133.18	-1.14	2115.94	0	1101.56	7551.42
127	-52.49	2067.57	-23.5	2091.42	0	1105.93	25255.3
128	30.21	2080.08	-35.86	2100.51	0	1104.48	1721.33
129	-18.84	2039.95	-1.75	2082.85	0	1107.87	20419.5
130	31.36	2001.04	-12.82	2077.91	0	1109.16	6227.95
