Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2258.15	1010.48	1131.71	2248.25	1009.14	899.979	2094.47	1037.79	1072.88	2094.82	1043.4	999.345	2191.18	1079.15	1183.07	2197.97	1085.52	881.024	2245.43	720.15	1189.2	2301.61	625.755	1180.76	2195.69	694.693	1149.68	2249.05	598.195	1138.43	2293.69	310.196	1146.36	2313.41	228.377	1134.86	2279.28	311.146	1094.93	2299.06	233.447	1085.93	2298.7	129.528	1075.91	2291.7	81.8134	1068.35	2316.32	96.9975	1120.67	2076.5	777.503	882.317	2057.83	669.318	894.96	2046.62	790.931	943.912	2022.42	683.889	957.258	1842.36	407.48	922.326	1796.27	342.615	934.665	1825.41	428.66	969.098	1777.95	363.599	980.987	1707.81	306.496	1009.44	1665.55	282.898	1018.67	1689.4	272.128	968.261	2500.89	109.525	1074.54	2452.9	80.0862	1170.05	1805.22	119.32	1005.08	1754.55	153.455	913.3
0.007	2257.93	1008.81	1132.59	2249.1	1008.15	900.192	2094.66	1035.72	1071.89	2095.24	1041.45	998.215	2191.2	1076.85	1182.81	2197.32	1084.52	880.371	2242.12	716.863	1189.01	2297.01	621.795	1180.17	2192.45	692.444	1148.72	2244.47	595.231	1137	2292.44	305.595	1143.62	2313.73	223.952	1132.96	2278.88	305.979	1092.2	2300.18	228.497	1083.67	2301.57	124.969	1074.94	2295.17	77.2283	1067.21	2319.52	92.5317	1119.58	2080.5	773.026	881.707	2062.69	664.608	892.427	2050.29	785.633	943.217	2028.42	678.06	956.527	1843.49	414.443	922.437	1794.46	351.89	934.452	1827.81	435.946	969.641	1777.43	373.003	981.174	1705.22	318.854	1010.11	1661.76	296.978	1018.87	1684.98	286.122	968.151	2504.08	107.217	1074.19	2456.06	76.8045	1169.32	1795.15	128.258	1002.24	1745.5	165.848	911.158
0.013	2257.82	1006.8	1133.15	2250	1006.5	900.487	2094.85	1033.13	1070.89	2095.59	1038.85	997.235	2191.21	1074.08	1182.74	2196.58	1082.74	879.808	2239.12	713.385	1188.09	2292.95	617.706	1179.14	2189.45	690.025	1147.8	2239.71	592.286	1136.17	2290.39	300.901	1141.57	2312.87	219.505	1131.27	2277.28	301.008	1090.32	2299.93	223.782	1081.86	2302.3	120.882	1073.17	2296.12	73.0981	1065.37	2320.22	88.3802	1117.88	2084.62	767.885	881.159	2069.13	659.207	891.429	2054.29	779.565	942.945	2034.88	671.503	955.914	1845.93	420.765	922.446	1794.27	360.518	933.98	1831.41	442.766	969.673	1778.21	382.127	980.703	1703.56	331.602	1010.03	1659.33	311.29	1018.48	1682.2	300.2	967.693	2504.93	103.75	1073.44	2456.61	72.9548	1168.27	1785.89	137.55	1000.04	1737.93	178.252	909.345
0.02	2257.54	1004.13	1133.86	2250.85	1004.26	900.772	2094.98	1030.14	1069.94	2095.96	1035.75	996.072	2190.95	1070.82	1182.57	2195.79	1080.29	879.196	2236.58	710.165	1187.32	2289.45	613.81	1178	2186.75	687.396	1146.99	2235.82	589.262	1134.86	2287.41	295.996	1140.07	2310.88	214.937	1129.58	2274.42	296.254	1089.07	2298.02	219.238	1080.06	2301.02	117.144	1070.98	2294.64	69.4807	1062.63	2318.5	84.2101	1115.67	2088.87	762.246	880.768	2075.76	653.128	890.63	2058.6	772.864	942.631	2041.83	664.34	955.262	1849.85	426.493	922.207	1795.37	368.73	933.518	1836.14	449.222	969.114	1780.22	391.022	979.947	1703.37	344.307	1009.67	1658.32	325.807	1017.79	1680.91	314.144	967.044	2503.55	99.2165	1072.25	2454.54	67.6036	1166.25	1777.79	147.071	998.428	1731.85	190.469	907.893
0.027	2257.27	1001.2	1134.51	2251.53	1001.54	901.105	2095.07	1026.72	1068.98	2096.3	1032.15	995.086	2190.53	1067.01	1182.6	2194.8	1077.13	878.623	2234.45	706.766	1186.55	2286.13	609.776	1177.2	2184.31	684.434	1146.4	2232.16	585.732	1134.13	2283.54	291.102	1139.09	2307.31	210.199	1128.13	2270.56	291.687	1088.24	2294.37	214.707	1078.6	2297.63	113.408	1068.54	2290.95	65.8648	1059.54	2314.66	79.7318	1112.77	2093.19	756.064	880.208	2082.7	646.715	889.799	2062.98	765.846	942.37	2048.88	656.856	954.741	1854.66	431.8	921.217	1797.67	376.521	932.19	1841.97	455.147	967.917	1783.35	399.584	978.546	1704.66	356.767	1009	1658.8	340.187	1016.66	1681.13	327.754	966.019	2500.08	93.8356	1070.62	2450.33	61.2991	1163.75	1771.08	156.722	997.323	1727.97	202.041	907.172
0.033	2257.07	997.989	1135.03	2251.98	998.285	901.405	2095.07	1022.84	1068.15	2096.51	1027.95	994.147	2190	1062.85	1182.74	2193.79	1073.33	878.211	2232.61	703.153	1185.87	2283.17	605.642	1176.64	2182.14	681.22	1146	2228.86	581.985	1133.79	2278.93	286.122	1138.19	2302.37	205.249	1126.56	2265.97	287.024	1087.37	2289.28	210.192	1077.1	2292.16	109.441	1066.27	2285.11	62.2813	1056.12	2308.77	74.7434	1109.76	2097.26	749.441	879.713	2089.88	639.816	889.042	2067.4	758.296	941.992	2056.16	648.96	954.235	1861.2	436.015	920.174	1800.94	383.998	930.659	1849.72	460.596	966.082	1787.7	407.681	976.993	1707.23	368.723	1008.02	1660.67	353.971	1015.61	1682.85	340.683	965.021	2494.31	87.9222	1067.93	2444.18	54.0153	1160.53	1766.03	166.365	996.645	1724.71	213.892	905.479
0.04	2256.79	994.265	1135.79	2252.25	994.48	901.682	2095.02	1018.36	1067.4	2096.56	1023.31	993.164	2188.52	1058.67	1183.06	2192.74	1068.86	877.951	2231.08	699.298	1185.42	2280.57	601.152	1176.31	2180.33	677.593	1145.79	2225.92	577.988	1133.75	2273.43	281.034	1137.33	2296.16	200.119	1125.38	2260.61	282.405	1086.02	2283.1	205.446	1075.91	2284.85	105.367	1064.5	2277.06	58.4609	1053.43	2301.17	69.4713	1107.06	2101.17	742.552	879.019	2097.09	632.733	889.524	2071.55	750.558	941.542	2063.4	640.906	953.768	1867.8	440.212	918.618	1805.56	390.731	929.04	1857.22	465.554	964.45	1793.42	415.282	975.355	1711.09	380.095	1007.05	1663.99	367.039	1014.37	1685.69	352.905	963.877	2486.58	81.0463	1064.62	2436.5	45.732	1156.78	1762.81	175.776	996.061	1723.18	224.505	904.739
0.047	2256.59	990.334	1136.41	2252.34	990.317	902.027	2094.8	1013.48	1066.75	2096.53	1018.21	992.419	2187.97	1053.63	1183.4	2191.9	1063.91	877.822	2229.87	694.98	1185.08	2278.42	596.299	1176.11	2178.3	673.557	1145.96	2223.32	573.552	1133.94	2267.41	276.029	1136.54	2289	194.677	1124.29	2254.57	277.611	1084.76	2275.98	200.383	1074.77	2275.94	101.186	1063.46	2267.1	54.5322	1051.57	2291.98	63.9766	1105.3	2105.18	735.481	878.362	2104.62	625.68	888.835	2075.5	742.526	940.93	2070.49	632.692	953.147	1875.91	443.463	917.107	1811.06	396.92	927.451	1865.76	469.781	962.42	1799.64	422.406	973.392	1716.15	390.678	1005.88	1668.56	379.319	1013.3	1689.84	364.186	962.79	2477.12	73.1235	1060.67	2427.49	36.8602	1152.83	1761.1	184.774	995.594	1723.31	234.366	904.079
0.053	2256.35	986.001	1137.22	2252.02	985.718	902.455	2094.57	1008.08	1066.31	2096.36	1012.61	991.905	2187.57	1048.22	1183.47	2191.12	1058.44	877.788	2229.12	689.853	1184.88	2276.44	591.002	1175.91	2176.92	668.946	1146.21	2221.07	568.535	1134.09	2260.85	270.717	1135.94	2280.85	189.125	1123.54	2247.66	272.471	1084.26	2267.65	194.983	1074.13	2265.28	97.6681	1062.03	2254.79	51.3095	1050.3	2280.25	59.934	1103.89	2109.92	728.729	877.933	2112.84	618.844	888.307	2079.33	734.388	940.175	2077.43	624.458	952.159	1884	446.545	915.007	1818.42	401.962	926.176	1874.92	473.427	960.382	1807.7	428.817	971.264	1722.39	400.408	1004.52	1674.45	390.633	1012.24	1695.12	374.649	961.679	2465.83	63.0634	1055.53	2414.88	32.5334	1150.19	1761.25	193.034	994.871	1724.13	243.695	903.55
0.06	2256.13	981.111	1138.04	2251.72	980.853	902.874	2094.16	1002.23	1065.99	2095.91	1006.67	991.568	2187.05	1042.44	1183.82	2190.76	1052.75	877.713	2228.1	684.373	1184.86	2274.57	585.147	1175.63	2175.49	663.716	1146.44	2218.87	563.025	1134.13	2253.52	265.075	1135.66	2271.7	183.082	1122.5	2239.64	267.429	1084	2257.41	189.4	1073.36	2251.93	94.6929	1060.07	2239.58	48.0816	1050.75	2266.02	58.3384	1103.45	2114.16	721.37	876.987	2120.38	611.527	887.115	2083.12	726.062	939.07	2084.53	616.017	950.776	1893.11	448.954	912.945	1825.8	406.752	924.443	1884.79	476.393	958.245	1815.95	434.355	969.439	1729.7	409.163	1003.21	1681.55	400.932	1010.97	1701.59	384.036	960.552	2451.29	53.3193	1050.31	2400.44	32.7544	1149.15	1761.93	200.861	994.875	1726.55	251.908	902.951
