Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2362	949.546	1195.48	2350.75	975.392	982.725	2207.84	1014.97	1134.4	2198.37	1010.26	1032.59	2325.79	1027.86	1209.5	2293.69	1032.65	929.193	2183.37	707.433	1238.37	2149.57	605.239	1215.54	2134.19	731.94	1197.55	2101.79	630.995	1169.51	1857.86	491.752	1174.49	1785.56	461.739	1151.76	1853.83	529.92	1136.86	1781.65	502.986	1114.73	1711.07	509.669	1091.62	1668.4	520.685	1081.43	1672.36	490.719	1122.61	2388.21	722.947	913.785	2446.36	632.773	934.295	2329.31	689.929	932.666	2385.73	598.115	955.67	2531.92	293.976	959.958	2559.95	221.63	982.91	2486.57	287.435	987.833	2516.13	210.505	1007.68	2522.69	103.825	1039.05	2533.68	56.9899	1040.79	2557.43	85.5977	998.938	1691.66	325.173	1037.91	1650.19	345.966	1135.32	2712.1	151.503	1091.09	2696.3	130.526	985.449
0.007	2363.05	948.711	1194.75	2350.97	974.419	981.821	2207.95	1012.24	1135.21	2197.55	1007.35	1033.28	2325.06	1025.97	1209.02	2292.88	1030.65	928.885	2188.67	703.643	1238.74	2156.41	600.589	1215.52	2139.36	727.609	1197.3	2108.72	625.566	1168.99	1867.24	503.623	1172.29	1793.21	477.805	1149.98	1865.7	541.177	1133.77	1792.04	518.346	1112.12	1721.93	529.002	1087.76	1680.31	543.022	1078.33	1682.79	514.973	1121.37	2382.77	715.545	912.247	2438.94	624.131	932.508	2323.68	684.566	933.327	2377.99	591.552	956.237	2528.22	287.673	958.411	2558.28	216.374	982.051	2483.19	280.269	986.593	2514.8	204.207	1006.98	2524.51	96.7228	1038.91	2536.64	50.1772	1042.14	2560.04	78.3014	999.674	1691.66	344.612	1040.08	1652.08	370.529	1135.91	2711.92	151.074	1091.53	2697.56	126.623	986.34
0.013	2363.86	947.308	1193.98	2348.52	972.214	981.871	2207.94	1008.74	1135.86	2196.72	1003.82	1033.73	2325.18	1023.63	1209.11	2292.04	1028.55	928.632	2193.31	699.257	1238.77	2163.26	595.504	1215.52	2144.17	722.258	1196.66	2115.83	619.599	1168.24	1878.51	514.389	1170.2	1802.87	492.945	1148.42	1879.23	551.054	1130.94	1804.31	533.057	1109.68	1735.32	547.654	1084.22	1694.39	563.385	1074.79	1694.79	535.692	1118.81	2377.58	708.721	911.021	2432.03	616.091	931.362	2318.55	679.35	934.379	2370.97	585.649	957.218	2520.13	280.599	957.413	2551.81	209.697	980.448	2477.52	273.664	988.59	2509.96	197.709	1007.63	2521.75	90.0716	1037.63	2534.44	43.7508	1041.92	2558.28	71.1331	999.536	1693.56	363.808	1041.5	1656.5	394.416	1136.86	2708.02	147.986	1090.93	2695.35	121.133	986.161
0.02	2364.59	945.247	1192.99	2348.4	969.939	980.242	2207.81	1004.77	1136.4	2195.85	999.721	1034.03	2325.63	1020.61	1209.12	2290.96	1026.26	928.217	2197.9	694.457	1238.2	2169.14	589.893	1216.36	2148.64	716.236	1195.83	2122.78	612.828	1167.63	1891.27	523.791	1168.47	1814.4	506.593	1147.15	1894.26	559.503	1128.5	1818.11	545.624	1107.72	1750.68	564.928	1080.89	1710.57	582.176	1071.4	1708.91	554.88	1116.33	2372.73	702.815	910.502	2425.75	608.915	930.694	2313.64	674.989	935.08	2364.11	580.177	957.458	2510.41	273.649	958.009	2542.08	202.056	979.133	2469.94	267.312	991.844	2502.41	190.715	1009.21	2515.08	83.2238	1035.61	2528.04	36.9788	1040.09	2551.57	64.5955	997.32	1697.65	382.068	1043.38	1663.63	417.491	1138.47	2700.66	142.085	1089.66	2689.11	114.784	984.814
0.027	2365.19	942.713	1191.84	2346.91	966.598	978.801	2207.6	1000.34	1136.81	2195.1	994.885	1034.09	2326.29	1016.96	1209.02	2289.51	1023.47	927.709	2202.55	688.891	1237.91	2175.6	584.101	1216.77	2153.18	709.369	1194.74	2129.94	605.277	1167.13	1905.51	531.541	1167.26	1827.72	518.81	1146.27	1910.56	566.385	1126.71	1833.52	556.781	1106.31	1767.74	580.492	1077.3	1728.35	599.007	1067.67	1726.66	573.254	1111.82	2368.3	697.961	910.263	2419.7	602.992	930.243	2308.99	671.279	935.373	2358.02	575.433	957.6	2499.35	266.327	959.13	2530.25	194.181	978.66	2460.61	261.041	994.999	2492.15	183.735	1010.98	2504.68	76.2004	1034.02	2517.38	29.7983	1037.67	2540.96	57.931	995.383	1704.09	399.126	1046	1673.24	439.178	1140.12	2691.05	133.173	1087.51	2678.47	107.569	982.472
0.033	2365.73	939.682	1190.61	2345.24	962.567	977.049	2207.22	995.443	1137.18	2194.18	989.499	1034.22	2326.39	1012.57	1209.18	2287.8	1019.97	927.235	2207.19	682.707	1237.54	2183.72	576.797	1216.74	2157.93	701.705	1193.64	2137.54	596.888	1166.62	1920.94	537.796	1166.49	1842.44	529.683	1145.77	1927.91	571.899	1125.59	1849.94	566.885	1106.29	1786.33	594.081	1074.28	1747.35	614.081	1064.58	1745	589.584	1109.64	2363.9	693.571	910.063	2414.1	597.694	929.963	2304.73	667.731	936.272	2352.13	571.169	957.786	2487.12	259.363	959.427	2516.87	186.413	978.472	2449.45	255.06	996.845	2479.65	177.034	1011.78	2490.63	69.3436	1033.88	2502.54	22.6359	1036.68	2525.67	51.0303	994.109	1712.81	414.884	1048.9	1685.19	459.295	1142.24	2678.66	121.94	1084.76	2663.74	98.2675	979.296
0.04	2366.08	936.214	1189.38	2343.71	958.13	975.207	2206.78	990.038	1137.44	2193.18	983.564	1034.33	2328.2	1008.61	1208.88	2285.57	1015.48	927.086	2212.1	675.753	1237.25	2192	569.081	1216.76	2163	693.282	1192.65	2145.42	587.753	1166.37	1937.36	542.627	1166.03	1858.39	539.16	1145.49	1946.29	576.029	1125	1868.43	576.076	1106.29	1804.63	604.775	1073.29	1767.27	627.569	1062.24	1764.08	604.535	1107.74	2359.56	689.083	909.778	2408.98	592.61	929.615	2300.58	664.169	936.888	2346.85	566.987	958.256	2474.25	252.163	959.329	2501.86	178.892	977.719	2436.81	249.304	997.105	2465.23	170.526	1011.92	2473.45	62.722	1035.46	2483.97	15.7983	1037.98	2506.01	43.23	994.239	1723.47	429.521	1051.64	1699.51	477.545	1144.51	2664.8	109.869	1080.49	2645.57	85.889	975.958
0.047	2366.32	932.236	1188.14	2342.35	953.387	973.273	2206.21	984.268	1137.69	2192.01	977.223	1034.58	2328.62	1003.72	1208.58	2283.52	1010.22	926.65	2217.3	668.275	1237.15	2199.64	561.183	1218.04	2168.14	684.278	1191.95	2153.74	577.985	1166.37	1954.7	546.288	1166	1875.7	547.016	1145.45	1965.53	579.079	1125.01	1887.99	582.187	1104.17	1824.41	615.117	1071.63	1787.8	639.361	1060.81	1784.42	617.199	1107	2356.2	683.587	909.776	2404.13	587.172	929.273	2296.6	659.956	937.49	2342.06	562.396	958.755	2461.03	245.233	958.716	2486.29	171.023	977.396	2423.64	243.686	996.627	2449.34	164.207	1011.53	2453.37	62.5708	1037.72	2459.36	14.946	1039.79	2482.77	39.9486	995.508	1735.82	443.124	1054.93	1715.8	493.405	1147.12	2648.39	95.7859	1074.89	2623.37	70.9171	972.233
0.053	2366.29	927.819	1187.04	2340.89	948.245	971.337	2205.57	978.09	1138.03	2190.69	970.488	1035.01	2328.85	998.344	1209.08	2281.78	1004.1	926.558	2222.79	660.092	1236.84	2208.3	552.587	1218.88	2173.76	674.542	1191.41	2162.4	567.711	1166.79	1972.89	548.827	1166.53	1894.11	553.494	1145.85	1985.4	580.787	1125.45	1908.08	588.005	1104.56	1845.03	624.106	1070.87	1809.13	649.546	1060.45	1805.77	628.087	1106.98	2351.92	677.962	908.566	2399.43	581.172	928.607	2292.53	655.09	937.546	2337.71	557.289	959.123	2447.56	238.243	958.032	2470.29	162.822	977.458	2409.97	238.206	995.793	2432.62	157.923	1011.55	2431.19	64.5482	1039.3	2431.87	16.8955	1040.81	2457.18	39.27	996.095	1750.01	455.141	1057.75	1733.76	507.045	1149.85	2628.62	77.6175	1071.35	2599.02	55.7384	969.967
0.06	2366.07	922.965	1186.08	2339.9	943.013	969.652	2204.64	971.564	1138.43	2188.97	963.565	1035.5	2328.75	993.321	1208.37	2279.7	997.263	925.851	2228.54	651.422	1237.45	2217.7	543.471	1219.67	2179.71	664.218	1191.13	2171.68	556.881	1167.2	1991.85	550.062	1167.33	1913.4	558.565	1146.64	2005.96	581.87	1126.51	1929.09	592.431	1105.24	1866.43	631.567	1071.18	1831.2	658.17	1061.31	1827.71	637.072	1108.41	2347.36	671.387	906.719	2395.06	575.122	927.523	2288.63	649.568	937.637	2333.65	551.748	959.3	2433.9	231.273	957.733	2453.19	155.093	977.77	2395.54	233.147	994.853	2415.33	152.024	1011.93	2409.22	66.1997	1040.35	2404.8	19.0387	1041.69	2431.53	38.583	996.71	1765.69	465.778	1060.04	1752.93	518.366	1152.58	2607.83	57.7621	1069.08	2573.74	39.2716	968.531
