Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-0	-0	-0	2149	0	976.7	-0
2	-0	-0	-0	2149	0	976.7	-0
3	-0	-0	-0	2149	0	976.7	-0
4	-0	-0	-0	2149	0	976.7	-0
5	-0	-0	-0	2149	0	976.7	-0
6	-0	-0	-0	2149	0	976.7	-0
7	-0	-0	-0	2149	0	976.7	-0
8	-0	-0	-0	2149	0	976.7	-0
9	-0	-0	-0	2149	0	976.7	-0
10	-0	-0	-0	2149	0	976.7	-0
11	-0	-0	-0	2149	0	976.7	-0
12	-0	-0	-0	2149	0	976.7	-0
13	-13.2	67.14	6.87	2564.23	0	1094.89	4.38
14	-27.47	41.96	-18.08	2949.73	0	980.87	-17920.7
15	86.59	189.82	6.71	2408.25	0	1047.53	-1936.93
16	-62.33	234.83	13.12	2461.39	0	1048.87	-16752.5
17	64.54	516.82	51.42	2489.02	0	1024.17	4733.24
18	32.12	629.12	28	2444.04	0	1018.08	4978.64
19	-84.69	1015.63	53.94	2462.89	0	1016.57	321.32
20	-85.91	1217.35	146.87	2427.49	0	1026.25	-30365.6
21	-243	1122.59	46.39	2434.28	0	1018.1	-43574.8
22	-86.75	1174.93	57.98	2440.62	0	1031.16	92212.2
23	13.96	1058.81	-93.31	2465.05	0	1019.13	6205.56
24	-247.19	1182.86	-43.64	2424.92	0	1032.33	-69356.6
25	-250.7	1057.89	-90.03	2433.27	0	1021.87	-7393.31
26	-225.14	1213.68	-41.5	2449.44	0	1028.35	-28527.5
27	-406.57	1156.62	44.1	2418.82	0	1025.99	-9873.35
28	-236.28	1312.26	91.25	2413.56	0	1014.16	50399.6
29	-341.72	1326.9	28.69	2402.91	0	1020.36	-25861.1
30	-317.61	1426.85	27.62	2385.9	0	1005.86	-35907
31	-207.67	1418.15	153.2	2388.1	0	1024.54	22687.9
32	-279.08	1426.54	58.59	2360.02	0	1013.97	8308.43
33	-196.99	1555.63	136.95	2398.25	0	1020.72	16113.7
34	-243.84	1440.58	113.3	2320.16	0	1012.82	6616.96
35	-168.15	1603.24	103	2337.29	0	1009.24	-19555.1
36	-163.35	1539.31	74.16	2314.74	0	1008.76	27099.3
37	-145.03	1517.64	109.02	2279.86	0	1014.49	12121.4
38	-129.39	1648.86	142.97	2310.49	0	1011.54	-13881.9
39	-134.2	1495.21	73.62	2248.57	0	1013.98	23804
40	12.21	1608.43	122.53	2270.5	0	1014.89	269.58
41	-99.49	1522.06	127.72	2237.85	0	1016.66	16992.6
42	56.46	1536.56	92.09	2228.22	0	1017.72	4497.26
43	85.98	1555.94	36.39	2232.16	0	1006.88	-11207.9
44	31.43	1473.85	71.56	2190.45	0	1015.98	10222.1
45	174.64	1479.49	55.08	2193.84	0	1011.43	-7443.26
46	82.93	1436.46	38.15	2178.87	0	1011.8	1178.12
47	182.95	1352.23	62.18	2158	0	1016.35	4504.23
48	208.44	1302.03	54.4	2153.22	0	1014.88	-9177.32
49	137.18	1234.28	39.29	2138.09	0	1018.67	3105.9
50	256.81	1143.04	30.14	2117.62	0	1018.04	-1859.3
51	194.02	1069.64	35.55	2090.98	0	1022.04	-5926.49
52	209.2	974.58	16.71	2098.31	0	1018.13	3150.76
53	255.58	900.88	9.54	2064.5	0	1016.59	-1353.95
54	192.49	802.15	23.65	2054.58	0	1020.62	-6512.73
55	259.93	760.04	18.46	2066.82	0	1014.98	3508.35
56	201.8	617.68	7.55	1991.85	0	1022.79	68.25
57	215.07	560.15	14.19	2058.03	0	1020.45	-9174.96
58	224.84	512.7	15.56	1998.67	0	1017.27	2293.85
59	167.47	369.72	2.06	1955.09	0	1034.86	-10221.4
60	185.39	369.57	-6.87	2058.51	0	1008.3	-3488.72
61	155.56	245.36	-5.34	1869.46	0	1019.6	2748.17
62	144.42	216.37	-14.72	1954.64	0	1018.12	-9047.61
63	97.89	172.58	-5.34	2042.65	0	1005.78	-2428.99
64	119.63	101.17	-10.99	1844.72	0	1029.58	-2206.93
65	76.29	95.67	-8.16	1877.23	0	1026.28	-7492.09
66	56.84	66.68	-2.06	2314.42	0	975.8	4491.39
67	-0	-0	-0	2149	0	976.7	-0
68	37.23	32.35	4.88	2315.32	0	1154.6	-10769.1
69	-0	-0	-0	2149	0	976.7	-0
70	-0	-0	-0	2149	0	976.7	-0
71	-0	-0	-0	2149	0	976.7	-0
72	-0	-0	-0	2149	0	976.7	-0
73	-0	-0	-0	2149	0	976.7	-0
74	-0	-0	-0	2149	0	976.7	-0
75	-0	-0	-0	2149	0	976.7	-0
76	-0	-0	-0	2149	0	976.7	-0
77	-0	-0	-0	2149	0	976.7	-0
78	-0	-0	-0	2149	0	976.7	-0
79	-0	-0	-0	2149	0	976.7	-0
80	-0	-0	-0	2149	0	976.7	-0
81	-0	-0	-0	2149	0	976.7	-0
82	-0	-0	-0	2149	0	976.7	-0
83	-0	-0	-0	2149	0	976.7	-0
84	-0	-0	-0	2149	0	976.7	-0
85	-0	-0	-0	2149	0	976.7	-0
86	-0	-0	-0	2149	0	976.7	-0
87	-0	-0	-0	2149	0	976.7	-0
88	-0	-0	-0	2149	0	976.7	-0
89	-0	-0	-0	2149	0	976.7	-0
90	-0	-0	-0	2149	0	976.7	-0
91	-0	-0	-0	2149	0	976.7	-0
92	-0	-0	-0	2149	0	976.7	-0
93	-0	-0	-0	2149	0	976.7	-0
94	-0	-0	-0	2149	0	976.7	-0
95	-0	-0	-0	2149	0	976.7	-0
96	-0	-0	-0	2149	0	976.7	-0
97	-0	-0	-0	2149	0	976.7	-0
98	-0	-0	-0	2149	0	976.7	-0
99	-0	-0	-0	2149	0	976.7	-0
100	-0	-0	-0	2149	0	976.7	-0
101	-0	-0	-0	2149	0	976.7	-0
102	-0	-0	-0	2149	0	976.7	-0
103	-0	-0	-0	2149	0	976.7	-0
104	-0	-0	-0	2149	0	976.7	-0
105	-0	-0	-0	2149	0	976.7	-0
106	-0	-0	-0	2149	0	976.7	-0
107	-0	-0	-0	2149	0	976.7	-0
108	-0	-0	-0	2149	0	976.7	-0
109	-0	-0	-0	2149	0	976.7	-0
110	-0	-0	-0	2149	0	976.7	-0
111	-26.25	41.05	-4.35	2229.74	0	987.69	-9439.92
112	-40.59	62.26	9.92	2409.81	0	1187.07	-3837.74
113	21.51	104.98	4.58	2490.45	0	1123.53	-6366.28
114	-41.43	263.98	10.22	2464.68	0	1120.84	10522.4
115	-50.35	335.08	-19.68	2490.83	0	1106.68	-8775.64
116	60.35	556.95	14.42	2424.76	0	1106.01	-8993.16
117	-37	823.06	47.45	2461.08	0	1112.3	10126.9
118	-27.24	1199.65	2.14	2421.9	0	1092.19	-1524.15
119	-83.47	1270.29	12.05	2436.44	0	1117.24	24231.2
120	-129.93	1371	-43.18	2404.35	0	1094.16	38081.3
121	-50.66	1231.54	-52.03	2431.58	0	1104.27	-54417.5
122	-55.31	1129.3	-16.33	2404.87	0	1103.2	-34139.3
123	-133.51	1219.94	121.84	2396.58	0	1106.27	28860.8
124	-138.63	1128.39	11.75	2422.22	0	1106.84	31088.3
125	-265.81	1262.05	38.45	2373.44	0	1102.76	34831.2
126	-267.87	1183.93	4.43	2398.85	0	1112.74	-7577.2
127	-213.7	1280.82	-41.89	2367.39	0	1115.98	-6532.56
128	-264.43	1320.5	-89.11	2400.7	0	1109.91	-9920.76
129	-208.36	1324.77	-66.07	2354.13	0	1111.84	-2223.37
130	-166.78	1436.61	-28.38	2340.66	0	1107.54	8721.71
131	-216.29	1426.24	-143.97	2359.13	0	1104.39	22774
132	-149.92	1482.54	-94.91	2297.22	0	1112.76	-29413.8
133	-110.47	1483.92	-70.04	2348.8	0	1112.68	606.78
134	-165.71	1461.64	-107.73	2288.24	0	1119.2	31760
135	-17.93	1503.14	-128.4	2301.79	0	1115.63	-19202.6
136	-122.22	1462.25	-76.83	2289.59	0	1118.33	4906.34
137	-46.84	1512.76	-102.23	2252.77	0	1112.91	-10698.1
138	-2.14	1469.88	-132.52	2266.48	0	1112.27	-6650.08
139	-73.32	1483.31	-103.91	2218.94	0	1105.55	20408
140	100.1	1464.69	-74.01	2238.13	0	1107.77	-18298.2
141	10.76	1415.25	-88.5	2198.5	0	1113.79	13014.4
142	89.04	1401.67	-75.53	2203.75	0	1109.03	12205.5
143	143.36	1350.1	-13.35	2182.06	0	1117.65	-18793.2
144	98.42	1322.94	-39.6	2151.62	0	1110.47	10674.1
145	212.94	1292.88	-51.8	2166.57	0	1106.43	-6479.01
146	161.97	1219.64	-31.74	2113.75	0	1111.33	-7495.02
147	215.38	1169.43	-23.42	2141.32	0	1100.9	-2513.16
148	224.69	1117.55	-37.16	2109.69	0	1105.03	-7012.41
149	197.37	1013.79	-24.26	2081.9	0	1106.31	854.28
150	244.9	964.97	10.83	2106.06	0	1101.59	-7205.08
151	213.39	879.97	-0.46	2049.45	0	1109.28	-1655.02
152	236.66	783.39	-4.58	2068.33	0	1106.03	-3428.07
153	223.62	740.51	12.28	2038.69	0	1095.32	-8848.35
154	216.75	626.22	18.62	2014.82	0	1113.23	-3919.83
155	226.06	564.73	0.23	2039.01	0	1096.04	-7632.84
156	189.59	484.77	-1.07	1988.14	0	1087.07	330.86
157	176.85	399.17	24.57	1993.87	0	1112.87	-6704.17
158	180.97	357.06	5.95	2003.61	0	1082.35	1210.63
159	133.74	261.38	15.87	1949.26	0	1114.65	-3825.65
160	125.5	222.32	13.43	1979.5	0	1096.82	-5551.85
