Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	826.039	1068.07	1341.43	831.017	1063.98	1125.97	644.401	1086.09	1282.82	646.802	1079.92	1174.09	739.534	1139.9	1380.22	749.898	1126.29	1073.87	704.586	790.508	1413.46	715.79	681.422	1418.42	659.957	785.572	1360.7	666.799	675.987	1363.7	697.882	265.635	1437.22	708.221	185.663	1426.36	653.484	264.042	1406.2	662.12	184.722	1395.22	642.539	87.8743	1373.41	632.322	40.6785	1373.82	662.136	58.4689	1416.94	734.315	823.375	1033.96	734.932	713.1	1031.57	678.97	824.264	1073.9	673.917	714.088	1069.52	697.522	257.963	1019.56	714.394	178.835	1030.46	655.256	254.744	1050.7	672.063	171.46	1058.29	649.895	87.6715	1080.2	639.436	41.3435	1077.95	668.764	61.472	1039.51	746.808	970.448	1403.03	727.206	558.914	1409.93	741.809	538.765	1291.78	725.637	492.97	1416.81	778.56	463.772	1371.98	698.52	105.012	1420.17	731.314	123.069	1340.02	854.308	53.9301	1331.21	829.025	47.4021	1447.19	862.951	71.0412	1376.13	766.571	977.181	1063.13	724.799	553.171	1046.41	716.442	529.202	1164.42	712.56	481.448	1034	771.564	462.821	1081.65	708.867	102.708	1034.66	735.042	121.982	1117.47	860.681	53.4913	1126.32	834.919	45.1355	1010.44	872.49	69.5679	1082.91
0.007	826.044	1068.07	1341.43	831.033	1063.98	1125.98	644.411	1086.09	1282.81	646.817	1079.92	1174.1	739.544	1139.89	1380.22	749.893	1126.31	1073.87	704.598	790.519	1413.47	715.79	681.431	1418.43	659.961	785.576	1360.72	666.806	675.983	1363.7	697.89	265.635	1437.22	708.23	185.658	1426.36	653.492	264.042	1406.21	662.121	184.717	1395.23	642.536	87.8745	1373.42	632.326	40.6805	1373.82	662.135	58.471	1416.95	734.311	823.383	1033.96	734.943	713.099	1031.57	678.976	824.269	1073.9	673.926	714.093	1069.51	697.526	257.968	1019.55	714.385	178.842	1030.45	655.267	254.743	1050.69	672.069	171.461	1058.3	649.901	87.674	1080.19	639.44	41.3375	1077.96	668.765	61.4685	1039.53	746.82	970.455	1403.03	727.215	558.92	1409.94	741.829	538.766	1291.79	725.638	492.975	1416.82	778.565	463.769	1371.98	698.512	105.017	1420.17	731.312	123.07	1340.01	854.311	53.9369	1331.22	829.033	47.4092	1447.19	862.953	71.0401	1376.13	766.578	977.182	1063.13	724.816	553.18	1046.41	716.447	529.196	1164.42	712.565	481.446	1034.01	771.573	462.813	1081.66	708.859	102.716	1034.66	735.033	121.986	1117.48	860.679	53.4955	1126.32	834.926	45.1432	1010.44	872.488	69.5657	1082.9
0.013	826.059	1068.07	1341.44	831.035	1063.99	1125.97	644.416	1086.08	1282.82	646.824	1079.92	1174.1	739.55	1139.9	1380.24	749.906	1126.3	1073.89	704.613	790.514	1413.47	715.81	681.431	1418.43	659.973	785.58	1360.72	666.805	675.989	1363.72	697.896	265.639	1437.23	708.232	185.653	1426.36	653.501	264.043	1406.22	662.122	184.724	1395.22	642.542	87.8755	1373.42	632.322	40.684	1373.82	662.133	58.4774	1416.94	734.313	823.381	1033.96	734.938	713.119	1031.56	678.976	824.275	1073.91	673.932	714.098	1069.51	697.525	257.973	1019.56	714.396	178.841	1030.47	655.272	254.739	1050.7	672.063	171.462	1058.3	649.892	87.6805	1080.19	639.433	41.3449	1077.96	668.775	61.4708	1039.52	746.836	970.449	1403.03	727.222	558.911	1409.93	741.826	538.768	1291.79	725.648	492.974	1416.81	778.569	463.759	1371.98	698.509	105.024	1420.19	731.324	123.061	1340.02	854.307	53.933	1331.21	829.037	47.4065	1447.18	862.953	71.0377	1376.13	766.571	977.185	1063.14	724.846	553.169	1046.41	716.456	529.2	1164.42	712.573	481.445	1034.01	771.576	462.811	1081.65	708.877	102.706	1034.67	735.05	121.992	1117.47	860.682	53.4877	1126.32	834.929	45.1468	1010.45	872.489	69.566	1082.9
0.02	826.071	1068.07	1341.43	831.043	1063.99	1125.98	644.427	1086.09	1282.83	646.828	1079.92	1174.11	739.563	1139.9	1380.26	749.932	1126.31	1073.89	704.625	790.516	1413.48	715.819	681.435	1418.44	659.982	785.577	1360.74	666.811	676.001	1363.73	697.898	265.629	1437.24	708.238	185.65	1426.36	653.508	264.042	1406.23	662.133	184.72	1395.23	642.539	87.8803	1373.41	632.328	40.6761	1373.82	662.134	58.4769	1416.94	734.327	823.38	1033.97	734.935	713.115	1031.56	678.982	824.273	1073.92	673.93	714.096	1069.52	697.536	257.97	1019.56	714.393	178.845	1030.46	655.272	254.743	1050.69	672.073	171.465	1058.3	649.895	87.6809	1080.18	639.438	41.3417	1077.96	668.777	61.4725	1039.53	746.842	970.452	1403.04	727.216	558.918	1409.95	741.829	538.763	1291.8	725.647	492.961	1416.81	778.585	463.765	1371.96	698.523	105.016	1420.17	731.323	123.063	1340.01	854.31	53.9342	1331.21	829.036	47.4042	1447.19	862.951	71.0347	1376.12	766.582	977.183	1063.14	724.828	553.183	1046.4	716.466	529.194	1164.42	712.585	481.453	1034	771.585	462.811	1081.65	708.859	102.707	1034.65	735.045	121.994	1117.47	860.681	53.4924	1126.32	834.927	45.1456	1010.44	872.488	69.5622	1082.91
0.027	826.082	1068.08	1341.44	831.038	1063.99	1125.97	644.431	1086.09	1282.84	646.836	1079.92	1174.12	739.57	1139.89	1380.25	749.934	1126.31	1073.89	704.641	790.512	1413.49	715.832	681.437	1418.44	659.995	785.579	1360.77	666.815	675.989	1363.74	697.916	265.632	1437.24	708.243	185.65	1426.37	653.512	264.044	1406.23	662.137	184.719	1395.24	642.539	87.8766	1373.42	632.325	40.679	1373.82	662.129	58.4763	1416.95	734.325	823.382	1033.98	734.953	713.1	1031.58	678.979	824.276	1073.91	673.94	714.097	1069.52	697.537	257.979	1019.55	714.399	178.837	1030.46	655.274	254.745	1050.7	672.072	171.47	1058.3	649.896	87.6763	1080.19	639.437	41.3429	1077.96	668.774	61.4809	1039.53	746.851	970.459	1403.04	727.23	558.924	1409.93	741.828	538.762	1291.79	725.664	492.965	1416.81	778.574	463.763	1371.97	698.516	105.023	1420.18	731.322	123.069	1340.01	854.306	53.9335	1331.21	829.035	47.404	1447.19	862.959	71.0234	1376.12	766.583	977.184	1063.15	724.846	553.179	1046.41	716.473	529.196	1164.42	712.586	481.452	1034.01	771.587	462.822	1081.66	708.864	102.711	1034.66	735.044	121.989	1117.47	860.682	53.4866	1126.32	834.93	45.1379	1010.45	872.487	69.5722	1082.9
0.033	826.094	1068.08	1341.44	831.044	1064	1125.98	644.451	1086.08	1282.85	646.836	1079.93	1174.13	739.576	1139.89	1380.25	749.955	1126.32	1073.9	704.653	790.518	1413.5	715.841	681.433	1418.45	660.007	785.581	1360.79	666.826	675.997	1363.75	697.922	265.62	1437.25	708.255	185.649	1426.36	653.52	264.048	1406.24	662.136	184.722	1395.24	642.54	87.877	1373.42	632.329	40.681	1373.82	662.137	58.4724	1416.96	734.325	823.381	1033.98	734.953	713.109	1031.58	678.992	824.277	1073.93	673.945	714.102	1069.53	697.536	257.974	1019.56	714.396	178.841	1030.46	655.279	254.743	1050.7	672.071	171.466	1058.31	649.898	87.6784	1080.19	639.444	41.3417	1077.96	668.772	61.4791	1039.52	746.867	970.443	1403.04	727.242	558.914	1409.94	741.832	538.762	1291.79	725.669	492.965	1416.82	778.59	463.762	1371.96	698.514	105.023	1420.19	731.333	123.063	1340.01	854.312	53.9353	1331.21	829.036	47.4092	1447.19	862.953	71.0287	1376.11	766.593	977.187	1063.15	724.852	553.179	1046.42	716.474	529.198	1164.42	712.591	481.442	1034.02	771.59	462.808	1081.65	708.864	102.708	1034.66	735.021	121.884	1117.52	860.675	53.4879	1126.32	834.928	45.1414	1010.45	872.483	69.5604	1082.9
0.04	826.112	1068.08	1341.44	831.053	1064	1125.98	644.453	1086.09	1282.87	646.852	1079.91	1174.14	739.588	1139.89	1380.26	749.967	1126.32	1073.9	704.672	790.511	1413.51	715.859	681.431	1418.46	660.018	785.583	1360.79	666.836	675.999	1363.76	697.927	265.625	1437.26	708.254	185.639	1426.36	653.528	264.045	1406.25	662.141	184.72	1395.25	642.541	87.8809	1373.42	632.324	40.684	1373.83	662.139	58.4723	1416.96	734.336	823.379	1033.99	734.942	713.115	1031.58	678.981	824.277	1073.93	673.946	714.106	1069.53	697.537	257.975	1019.56	714.397	178.845	1030.46	655.28	254.744	1050.7	672.069	171.466	1058.31	649.9	87.6804	1080.19	639.438	41.3381	1077.96	668.766	61.4736	1039.52	746.88	970.454	1403.05	727.253	558.917	1409.93	741.828	538.779	1291.79	725.67	492.964	1416.83	778.601	463.757	1371.95	698.511	105.02	1420.18	731.324	123.059	1340.02	854.313	53.9296	1331.22	829.026	47.4114	1447.19	862.956	71.0251	1376.12	766.599	977.191	1063.15	724.855	553.166	1046.41	716.482	529.197	1164.42	712.602	481.449	1034.03	771.593	462.823	1081.66	708.859	102.712	1034.66	735.051	121.993	1117.47	860.679	53.4821	1126.31	834.922	45.1425	1010.44	872.478	69.5619	1082.9
0.047	826.121	1068.08	1341.44	831.064	1064	1125.98	644.475	1086.08	1282.87	646.856	1079.92	1174.14	739.605	1139.89	1380.26	749.956	1126.32	1073.9	704.686	790.508	1413.52	715.866	681.433	1418.47	660.032	785.594	1360.79	666.844	675.997	1363.77	697.929	265.628	1437.25	708.259	185.639	1426.36	653.535	264.044	1406.24	662.146	184.716	1395.25	642.539	87.8822	1373.42	632.328	40.6826	1373.83	662.14	58.4743	1416.95	734.331	823.383	1033.99	734.952	713.119	1031.57	678.994	824.274	1073.93	673.942	714.11	1069.54	697.537	257.977	1019.56	714.396	178.843	1030.47	655.282	254.746	1050.71	672.072	171.468	1058.31	649.901	87.683	1080.19	639.438	41.3429	1077.97	668.77	61.4733	1039.54	746.895	970.449	1403.06	727.258	558.917	1409.95	741.826	538.776	1291.79	725.69	492.964	1416.83	778.602	463.761	1371.96	698.52	105.024	1420.18	731.313	123.069	1340.02	854.308	53.9377	1331.21	829.033	47.4035	1447.19	862.96	71.0314	1376.12	766.594	977.187	1063.16	724.878	553.174	1046.43	716.493	529.206	1164.42	712.597	481.453	1034.01	771.592	462.821	1081.65	708.862	102.711	1034.66	735.027	121.886	1117.52	860.678	53.4967	1126.31	834.922	45.1443	1010.45	872.482	69.5621	1082.9
0.053	826.134	1068.07	1341.43	831.073	1064	1125.98	644.486	1086.08	1282.88	646.865	1079.92	1174.16	739.631	1139.88	1380.26	749.954	1126.32	1073.91	704.697	790.516	1413.52	715.874	681.428	1418.47	660.048	785.585	1360.8	666.859	675.997	1363.77	697.932	265.622	1437.25	708.257	185.641	1426.37	653.538	264.047	1406.24	662.146	184.721	1395.25	642.539	87.8805	1373.42	632.329	40.6863	1373.83	662.134	58.4742	1416.95	734.33	823.38	1033.98	734.955	713.119	1031.58	678.999	824.279	1073.95	673.95	714.107	1069.54	697.545	257.973	1019.57	714.396	178.844	1030.46	655.285	254.743	1050.71	672.073	171.471	1058.31	649.899	87.6788	1080.2	639.437	41.3466	1077.96	668.766	61.469	1039.51	746.924	970.443	1403.05	727.268	558.917	1409.94	741.829	538.793	1291.78	725.689	492.955	1416.83	778.611	463.755	1371.95	698.517	105.029	1420.18	731.323	123.063	1340.02	854.306	53.9349	1331.2	829.036	47.4046	1447.19	862.957	71.0336	1376.12	766.604	977.193	1063.16	724.857	553.178	1046.43	716.499	529.207	1164.42	712.609	481.453	1034.03	771.606	462.824	1081.65	708.864	102.712	1034.66	735.047	121.991	1117.48	860.685	53.4944	1126.32	834.923	45.1404	1010.44	872.498	69.562	1082.89
0.06	826.15	1068.07	1341.43	831.067	1063.99	1125.97	644.496	1086.08	1282.89	646.875	1079.91	1174.15	739.659	1139.87	1380.26	749.962	1126.32	1073.91	704.706	790.511	1413.52	715.887	681.436	1418.48	660.066	785.592	1360.81	666.862	676.016	1363.78	697.94	265.62	1437.25	708.256	185.636	1426.37	653.544	264.045	1406.24	662.143	184.722	1395.25	642.544	87.8832	1373.42	632.325	40.6805	1373.82	662.139	58.4739	1416.95	734.344	823.378	1033.99	734.962	713.113	1031.59	678.998	824.279	1073.95	673.965	714.104	1069.55	697.541	257.976	1019.57	714.401	178.841	1030.48	655.286	254.747	1050.71	672.073	171.467	1058.32	649.901	87.6829	1080.2	639.437	41.3451	1077.97	668.775	61.4776	1039.53	746.95	970.448	1403.05	727.27	558.914	1409.96	741.829	538.777	1291.78	725.706	492.956	1416.82	778.618	463.761	1371.96	698.514	105.023	1420.16	731.319	123.071	1340.02	854.315	53.9301	1331.2	829.031	47.4123	1447.2	862.958	71.0378	1376.12	766.609	977.192	1063.16	724.873	553.17	1046.42	716.515	529.208	1164.42	712.614	481.445	1034.02	771.611	462.818	1081.65	708.855	102.71	1034.66	735.053	122.004	1117.48	860.687	53.4773	1126.31	834.931	45.144	1010.45	872.496	69.5647	1082.89
0.067	826.161	1068.07	1341.43	831.074	1063.99	1125.98	644.502	1086.08	1282.91	646.885	1079.92	1174.16	739.685	1139.89	1380.29	749.968	1126.32	1073.92	704.715	790.517	1413.53	715.898	681.433	1418.48	660.067	785.589	1360.82	666.864	676.005	1363.76	697.937	265.614	1437.26	708.268	185.635	1426.36	653.544	264.046	1406.24	662.142	184.722	1395.25	642.544	87.8829	1373.42	632.327	40.6924	1373.83	662.147	58.4775	1416.95	734.342	823.388	1033.99	734.957	713.119	1031.59	679.004	824.285	1073.94	673.966	714.11	1069.55	697.548	257.98	1019.57	714.396	178.847	1030.47	655.289	254.746	1050.71	672.069	171.472	1058.32	649.902	87.6841	1080.2	639.431	41.3444	1077.97	668.782	61.4707	1039.53	746.963	970.441	1403.06	727.286	558.909	1409.95	741.844	538.774	1291.8	725.699	492.95	1416.84	778.618	463.759	1371.96	698.508	105.031	1420.19	731.325	123.064	1340.03	854.314	53.9374	1331.2	829.035	47.4017	1447.2	862.961	71.0274	1376.1	766.625	977.189	1063.16	724.871	553.18	1046.43	716.518	529.2	1164.43	712.61	481.451	1034.03	771.61	462.825	1081.66	708.866	102.709	1034.66	735.046	121.993	1117.48	860.687	53.494	1126.32	834.926	45.1484	1010.44	872.486	69.5597	1082.9
