Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2131.14	994.529	1163.1	2143.91	983.588	872.269	1964.44	1059.07	1058.96	1969.09	1059.94	962.711	2063.11	1066.15	1200.06	2083.69	1075.77	839.41	2102.4	711.621	1176	2152.15	615.447	1159.14	2047.62	691.706	1138.34	2095.5	594.456	1118.25	2067.75	258.805	1120.52	2038.93	181.156	1101.74	2027.75	277.382	1089.07	2004.17	202.058	1070.37	1940.54	79.9815	1035.12	1927.76	33.8278	1033.81	1947.15	55.1456	1076.48	2092.76	719.058	810.465	2129.83	616.289	805.68	2040.38	700.433	850.418	2074.18	594.886	846.236	1877.22	494.813	824.671	1799.13	479.36	835.315	1876.02	532.896	862.513	1796.88	518.275	874.378	1683.02	531.085	901.85	1637.74	537.809	904.324	1652.9	520.865	864.188	2155.84	49.0225	1030.35	2102.73	37.8846	1137.44	1662.92	309.766	914.999	1637.07	356.891	813.747
0.007	2129.87	993.698	1162.87	2141.94	982.834	871.233	1963.4	1059.01	1059.48	1967.86	1059.45	962.742	2062.47	1067.37	1200.29	2078.81	1076.41	838.677	2097.3	710.522	1177.01	2145.53	613.588	1160.59	2041.61	691.36	1139.87	2088.23	593.135	1119.92	2054.18	258.516	1121.53	2024.59	181.089	1102.02	2014.58	277.796	1089.95	1989.62	202.997	1071.09	1923.76	80.5833	1035.97	1910.78	34.4123	1034.36	1930.29	55.4384	1077.01	2097.75	719.672	810.804	2137.92	617.648	805.882	2045.76	699.387	850.269	2082.31	594.845	846.002	1888.45	492.773	824.949	1810.6	476.192	835.414	1886.75	530.926	862.494	1807.92	515.112	874.339	1693.18	526.213	901.67	1647.8	532.297	903.953	1663.19	515.794	863.658	2138.93	48.9332	1030.91	2085.74	37.5553	1137.95	1677.27	304.918	915.568	1651.1	351.204	814.196
0.013	2128.59	993.263	1162.73	2140.17	983.559	870.542	1962.54	1059.73	1059.64	1966.87	1059.86	962.8	2062.24	1067.99	1200.9	2074.57	1077.51	837.766	2091.53	710.213	1177.76	2138.18	612.27	1161.88	2035.82	691.116	1141.1	2080.28	592.257	1122.28	2040.31	258.291	1122.55	2009.3	181.423	1102.96	2001.04	278.298	1090.86	1974.89	203.881	1072.02	1906.92	81.2729	1036.66	1893.96	35.1154	1034.91	1913.49	55.9608	1077.75	2102.71	721.169	811.061	2146.14	620.134	806.306	2050.92	699.283	849.976	2090.48	595.857	845.716	1899.59	490.221	825.088	1822.05	472.263	835.733	1896.99	528.735	862.521	1818.4	511.4	874.335	1703.26	520.235	901.372	1657.55	525.372	903.665	1673.9	508.649	863.584	2122.03	49.2378	1031.72	2068.73	37.111	1138.38	1692.14	298.803	916.369	1665.22	343.987	814.524
0.02	2128.35	993.704	1161.99	2138.96	985.523	870.172	1961.83	1061.08	1059.47	1965.97	1061.11	962.768	2062.04	1068.48	1201.07	2071.23	1079.13	837.568	2085.03	710.394	1178.44	2129.77	611.486	1163.31	2029.2	692.327	1141.65	2071.54	592.225	1123.9	2025.98	258.414	1123.9	1993.8	182.17	1104.23	1987.04	279.058	1092.13	1959.86	205.009	1073.09	1890.23	82.1698	1037.61	1877.23	36.1129	1035.47	1896.76	56.5257	1078.36	2107.53	723.535	811.274	2153.89	623.834	806.576	2055.88	700.038	849.586	2098.32	597.861	845.121	1910.18	487.332	825.493	1832.88	467.684	835.953	1906.66	526.106	862.587	1828.45	507.007	874.441	1712.79	512.935	901.321	1667.03	516.97	903.508	1684.02	500.631	863.621	2104.95	49.2009	1032.1	2051.81	36.6377	1138.88	1706.85	291.897	917.875	1679.91	335.612	815.153
0.027	2126.41	994.245	1162.8	2138.28	988.242	870.257	1961.27	1062.96	1059.05	1965.25	1063.06	962.514	2062.02	1069.28	1200.67	2068.55	1081.27	836.632	2077.99	711.14	1179.17	2120.69	611.316	1164.61	2022.03	694.148	1142.11	2062.22	593.04	1125.17	2011.19	259.1	1125.34	1978.2	183.026	1105.45	1972.66	280.055	1093.19	1944.63	206.433	1074.16	1873.62	83.292	1038.62	1860.48	37.2814	1036.04	1880.05	57.2459	1079.29	2112.31	726.826	811.417	2161.77	628.211	807.098	2060.68	701.643	848.722	2105.97	600.725	844.738	1920.65	483.985	826.207	1844.03	462.113	836.519	1915.79	523.136	862.544	1838.16	501.897	874.5	1721.99	504.376	901.57	1676.23	507.296	903.477	1693.86	491.267	863.742	2088.03	49.3237	1032.86	2034.96	36.2047	1139.51	1723.58	283.178	918.074	1694.96	326.015	815.738
0.033	2125.59	995.995	1162.84	2137.87	991.57	870.459	1960.8	1065.3	1058.41	1964.85	1065.64	961.969	2062.27	1070.82	1200.2	2066.27	1084.55	836.226	2069.69	712.694	1180.27	2111.1	611.727	1165.76	2014.43	696.94	1142.29	2051.84	595.344	1126.08	1995.52	260.177	1126.15	1962.17	184.42	1106.82	1957.77	281.402	1094.22	1929.18	208.023	1075.17	1857.02	84.6648	1039.63	1843.75	38.7392	1036.56	1863.47	58.2776	1079.93	2116.98	730.836	811.452	2169.75	633.025	807.561	2065.41	704.011	847.879	2113.43	604.344	844.122	1930.7	480.633	826.786	1854.82	456.356	837.139	1924.5	519.907	862.736	1847.61	496.146	874.651	1731.3	494.576	901.421	1685.2	496.185	903.525	1703.53	480.734	863.957	2071.24	49.6831	1033.09	2018.02	35.7983	1140.1	1740.3	273.955	919.179	1710.58	315.499	816.701
0.04	2124.81	998.366	1162.91	2137.85	994.842	870.713	1960.52	1068.27	1057.7	1964.68	1068.8	961.273	2062.62	1072.51	1200.03	2064.98	1088.6	836.187	2062.06	714.77	1180.67	2100.88	612.914	1166.81	2006.82	700.309	1142.2	2041.55	597.821	1126.78	1979.84	261.496	1127.47	1946.07	186.059	1108.02	1942.5	282.956	1095.17	1913.43	209.74	1076.1	1840.65	86.5228	1040.51	1827.12	40.7077	1036.95	1846.88	59.6354	1080.51	2121.64	735.243	811.46	2176.05	639.333	808.089	2070.2	707.257	847.198	2120.58	608.687	843.491	1939.83	477.322	827.611	1865.42	449.841	837.672	1932.71	516.123	862.924	1856.69	489.846	875.013	1740.19	484.004	901.655	1694.04	483.853	903.76	1713.12	468.914	864.051	2054.05	49.5793	1033.86	2001.01	35.4638	1140.64	1757.79	264.018	920.381	1726.89	304.013	817.695
0.047	2123.62	1000.85	1163.53	2137.99	998.448	871.259	1960.49	1071.75	1057.09	1964.68	1072.57	960.582	2063.25	1075.2	1199.57	2064.63	1093.27	836.505	2054.01	717.59	1180.88	2090.28	614.598	1167.56	1998.44	704.91	1141.65	2030.96	600.964	1127.05	1964	263.341	1128.72	1929.98	188.043	1109.12	1927.42	284.611	1095.88	1897.31	211.64	1077.19	1824.32	89.2316	1041.72	1810.43	43.6173	1037.46	1830.37	61.7946	1081.33	2125.97	740.348	811.318	2182.66	645.695	808.627	2074.77	711.022	845.96	2127.3	613.717	843.094	1949.57	472.886	828.304	1875.98	442.767	838.612	1940.43	512.059	863.375	1865.54	482.802	875.475	1748.98	472.228	902.109	1702.89	470.255	904.132	1722.69	456.085	864.507	2037.01	49.7882	1034.51	1983.92	35.0488	1140.98	1776.07	253.492	921.73	1743.9	291.741	818.62
0.053	2123.54	1004.19	1163.26	2138.18	1002.51	871.364	1960.75	1075.83	1056.69	1965.01	1076.84	959.739	2064.02	1078.53	1199.05	2065.51	1098.37	836.848	2045.59	721.069	1180.79	2079.13	616.903	1168.12	1990.15	709.925	1140.74	2019.91	605.008	1126.84	1947.77	265.908	1130	1913.78	190.716	1110.39	1912.43	287.113	1096.5	1881.37	214.38	1078.04	1808.3	92.597	1042.79	1793.93	47.2452	1038.04	1814.15	64.6076	1081.98	2130.37	745.825	811.084	2188.95	652.449	809.173	2079.08	715.539	845.045	2133.63	619.255	842.832	1958.98	468.374	829.398	1886.52	435.357	839.856	1947.68	507.785	864.067	1874.2	475.198	876.292	1757.77	459.388	902.67	1711.99	455.096	904.729	1732.5	442.055	865.075	2019.94	49.827	1035.04	1966.91	34.8544	1141.25	1795.37	242.469	923.129	1761.74	278.819	819.745
0.06	2123.19	1007.32	1163.51	2138.61	1006.9	871.49	1961.17	1080.36	1056.47	1965.44	1081.55	959.201	2065.15	1082.53	1198.39	2067.16	1103.63	837.218	2037.21	725.063	1180.27	2067.84	619.979	1168.34	1982	715.694	1139.55	2008.75	609.801	1126.27	1932.45	268.982	1130.77	1897.92	193.735	1111.35	1896.14	290.207	1097.6	1865.87	217.432	1078.65	1792.72	96.6141	1044.02	1777.81	51.4014	1038.5	1798.22	68.1192	1082.83	2134.54	751.81	810.936	2194.7	659.445	809.725	2083.15	720.488	843.941	2139.5	625.33	842.675	1968.08	463.428	830.421	1896.93	427.578	840.896	1955.12	502.537	864.691	1882.89	466.893	877.073	1766.73	445.541	903.438	1720.59	439.684	905.496	1742.58	427.028	866.028	2002.96	49.9437	1035.57	1949.89	34.7341	1141.52	1816.54	230.771	924.05	1780.36	265.415	821.047
