,R2_X,R2_Y,R2_Z,R2_Avg,Pearson_X,Pearson_Y,Pearson_Z,Pearson_Avg,PVal_X,PVal_Y,PVal_Z,PVal_Avg
Training,0.722860810256778,0.9466400899519629,0.29706505876240086,0.6555,0.8736391073376,0.9739318825422334,0.561345043653956,0.803,0.0,0.0,0.0,0.0
Validation,0.6734295718937724,0.9504483843165162,0.376741125756734,0.6669,0.8585959519755495,0.9759415952874818,0.6593480340922971,0.8313,0.0,0.0,0.0,0.0
Testing,0.6863411108053168,0.9594864971593098,0.057166305101510884,0.5677,0.8659862610135914,0.9809997413436762,0.43379955096126327,0.7603,0.0,0.0,0.0,0.0
