,R2_X,R2_Y,R2_Z,R2_Avg,Pearson_X,Pearson_Y,Pearson_Z,Pearson_Avg,PVal_X,PVal_Y,PVal_Z,PVal_Avg
Training,0.7946861042446611,0.9567008341159081,0.3632097272931133,0.7049,0.9107194767554337,0.9793513195315405,0.6228497792400265,0.8376,0.0,0.0,0.0,0.0
Validation,0.7667224481172047,0.9521847560631436,0.43810215804217956,0.719,0.9060344632712151,0.9759941513925563,0.7131319567700867,0.8651,0.0,0.0,0.0,0.0
Testing,0.8115330680188348,0.9618459690035386,0.10576324629611222,0.6264,0.9164674656777618,0.982805406131479,0.5068604691507932,0.802,0.0,0.0,0.0,0.0
