,R2_X,R2_Y,R2_Z,R2_Avg,Pearson_X,Pearson_Y,Pearson_Z,Pearson_Avg,PVal_X,PVal_Y,PVal_Z,PVal_Avg
Training,0.7786679158997551,0.8842800030904487,0.3488375478921496,0.6706,0.9013154091912149,0.9705357492512127,0.6039312422881737,0.8253,0.0,0.0,0.0,0.0
Validation,0.721913667152919,0.8898197868675046,0.3460693845081608,0.6526,0.8982774250440094,0.9743510386183529,0.6874199789862725,0.8533,0.0,0.0,0.0,0.0
Testing,0.7848330590502386,0.8965084415385033,0.14708610583925907,0.6095,0.9019805612925382,0.9764173878231209,0.5031434555259671,0.7938,0.0,0.0,0.0,0.0
