,R2_X,R2_Y,R2_Z,R2_Avg,Pearson_X,Pearson_Y,Pearson_Z,Pearson_Avg,PVal_X,PVal_Y,PVal_Z,PVal_Avg
Training,0.7760039950373665,0.9475996737685158,0.3511690232050393,0.6916,0.892969326317085,0.974858919566925,0.5992526335473193,0.8224,0.0,0.0,0.0,0.0
Validation,0.7107286700148538,0.9579120589207396,0.3749899075409683,0.6812,0.8732432382148354,0.979303837860047,0.6658120629665846,0.8395,0.0,0.0,0.0,0.0
Testing,0.7686399335753712,0.9595603984244611,0.16566696850444596,0.6313,0.8912400687484605,0.9815395675576972,0.4839397009104827,0.7856,0.0,0.0,0.0,0.0
